frase,agrupacion,letras,segundo,asignatura
Bale ba ikusiko gera eh,couple,23,30,nonexperimental
adiós que se me va el bus,couple,26,3,nonexperimental
"bai, bihar arte!",couple,16,10,nonexperimental
"Bueno, adiós",couple,13,2,nonexperimental
"Te tengo que dejar, me pasan a buscar en 10 minutos",couple,51,4,nonexperimental
"Adiós, mañana te veo",couple,22,73,nonexperimental
Ikusiko gara,couple,12,10,nonexperimental
 Me tengo que ir que me cierran la tienda,couple,41,15,nonexperimental
Me voy corriendo que no llego al bus,couple,36,5,nonexperimental
"bueno, hasta el jueves entonces",couple,31,22,nonexperimental
agur,couple,4,3,nonexperimental
"Vale, muchas gracias, hasta luego",couple,33,4,nonexperimental
"Bueno, me voy que nos podemos tirar aquí hasta mañana",couple,55,120,nonexperimental
Me tengo que ir a cenar,couple,23,60,nonexperimental
hasta mañana!',couple,15,11,nonexperimental
Ikusiko gara,couple,12,15,nonexperimental
See you later!,couple,14,2,nonexperimental
I'm a little late to class.,couple,27,41,nonexperimental
Me voy que me están esperando.,couple,31,34,nonexperimental
"Nahikoa prisa daukat, egongo gara bai?",couple,38,73,nonexperimental
"agur, que yo espero aqui",couple,24,5,nonexperimental
"bueno, pues nos vemos mañana",couple,29,5,nonexperimental
"Bueno tías, me voy a ir yendo",couple,30,17,nonexperimental
A: Bueno chicos me voy a ir que mi madre me está llamando ya para ir a cenar.,couple,78,4,nonexperimental
"Y: Bueno, ya nos veremos por aquí cuando saquemos de nuevo a los perros.",couple,73,27.74,nonexperimental
"Juan: Bueno Carla nos vemos mañana, Adiós!
Carla: Esta bien, hasta mañana!",couple,78,22,nonexperimental
"En fin, después hablamos",couple,25,13,nonexperimental
"Bueno tías, me voy a ir yendo",couple,30,17,nonexperimental
pues quedamos en eso entonces,couple,29,20,nonexperimental
"- Bueno, cuando lo tenga te escribo, quedamos y hablamos del tema
- Muy bien, mantenemos contacto entonces",couple,107,50,nonexperimental
"<span>“Bueno, pues ya estaremos ¿no?”</span>",couple,49,20,nonexperimental
"Venga, nos vamos viendo",couple,23,4,nonexperimental
"Perdón, me tengo que ir a ver a mi abuela, luego te llamo.",couple,59,24,nonexperimental
Despedida,couple,9,60,nonexperimental
Bueno me voy que he quedado con mi madre.,couple,41,15,nonexperimental
"Bueno chicos, creo que me voy a salir de la llamada que es tarde y mañana hay clase.",couple,85,36,nonexperimental
"Bueno, tengo que entrar a preguntar por la mochila",couple,50,14,nonexperimental
"Hasta mañana
Vale, agur",couple,25,28,nonexperimental
bueno me voy a ir yendo que estoy molida,couple,40,45,nonexperimental
"Creo que debería irme. Perdona, no debería haber venido.",couple,58,68,nonexperimental
Me tengo que ir ya,couple,18,15,nonexperimental
"venga, nos vemos la semana que viene para tomarnos un café",couple,59,40,nonexperimental
"“Bueno, agur!“",couple,18,20,nonexperimental
"Agur chicos, hasta mañana",couple,26,25,nonexperimental
"Ya la verdad que en piso mucho mejor que en la resi, pero tía me voy que llego tardísimo a primera.",couple,101,14,nonexperimental
"<span><span>Bueno, yo voy a ir tirando ya que tengo ahora clase</span></span>",couple,77,54,nonexperimental
"Bueno chicos, pasadlo muy bien hoy a la noche, nos vemos mañana",couple,64,13,nonexperimental
<span><span>Bueno tía me voy a imprimir lo de Diseños </span></span>,couple,70,36,nonexperimental
"A: Tranquila tía, ya lo hablaremos otro día más tranquilas.",couple,62,19,nonexperimental
Proxy:Y me voy a mimir,couple,22,0,nonexperimental
Me voy ya chicas,couple,16,19,nonexperimental
A:  Me voy chicas que llego tarde a clase,couple,41,40,nonexperimental
"A: ¡Ay que no llego al reloj, hija!",couple,36,27,nonexperimental
"Bueno, pues así...",couple,19,80,nonexperimental
#NAME?,couple,46,35,nonexperimental
"Bueno, pues ya estaremos, no?",couple,29,39.28,nonexperimental
"Bueno, yo me bajo aquí que he quedado con un colega.",couple,53,6.84,nonexperimental
A-Bueno me voy a ir yendo que se me va el autobús,couple,50,24,tecniques
"Bueno chicas, yo me tengo que ir ya a casa, que tengo que hacer la cena",couple,71,27,tecniques
Chicas me voy que tengo que coger el bus,couple,40,27,tecniques
Bueno tías me las piro ya,couple,26,20,tecniques
Bueno agur.,group,11,20,tecniques
Agurrrrrr.,group,10,30,tecniques
"Bueno, chicas...",group,16,6,tecniques
"¡Bueno, mañana estamos!",group,25,122,tecniques
"Bueno, mañana nos vemos.",group,25,52,tecniques
nos vemos mañana,group,17,46,tecniques
"Venga, hasta luego",group,18,300,tecniques
Hasta el viernes.,group,17,160,tecniques
Agur me voy para casa,group,21,24,tecniques
¡Hasta mañana chicas!,group,23,30,tecniques
"Bueno, agur!",group,12,8,tecniques
Agur! Estamos mañana,group,21,5,tecniques
"Agur, me voy ya",group,15,24,tecniques
Me voy a ir yendo...,group,20,152,tecniques
"Buenas noches, nos vemos este fin de semana.",group,44,120,tecniques
"Bueno, ikusiko gara",group,19,11,tecniques
bueno yo voy a ir que si no me cierran la tienda,group,48,145,tecniques
"Okay, chao. ¡Vamos hablando!",group,29,690,tecniques
"Bueno, me voy que se me ha hecho tardisimo",group,42,35,tecniques
ya nos veremos,group,14,7,tecniques
"Bueno, me voy que tengo inglés",group,31,4,tecniques
"Well, I have to go now.",group,23,143,tecniques
"Bueno, gero arte.",group,17,125,tecniques
"bueno, agur",group,11,10,tecniques
"<span><span>Bueno, tengo que irme a clase.</span></span>",group,56,67,tecniques
Bueno me voy a ir que tengo que hacer cosas de clase. ¡Nos vemos un día de estos!,group,83,46,tecniques
"Bueno, tengo que irme a clase.",group,30,67,tecniques
"A: (se levanta del banco en símbolo de deseo de marcharse): Bueno, pues entonces quedamos mañana por la tarde.",group,112,157,tecniques
"Pues muy bien cariño, pásalo bien y ven pronto.",group,49,170,tecniques
"Pues nada, aquí nos quedamos pues",group,34,152,tecniques
Bueno me voy a ir que llego tarde a cenar,group,41,25,tecniques
"Bueno, voy a cortar la llamada",group,30,117,tecniques
"Bueno, me voy a ir yendo...",group,27,420,tecniques
Me voy ya que es tarde,group,22,1800,tecniques
Ondo lo egin! (buenas noches),group,29,10,tecniques
"Bueno, gu ere bagoaz amonaren etxera (bueno, nosotras también nos vamos a casa de la abuela)",group,93,15,tecniques
"Buenas noches, hasta mañana!!",group,30,110,tecniques
"Bueno, ya nos veremos.",group,22,5,tecniques
¡Nos vemos!,group,12,20,tecniques
"Bueno, yo me voy pero lo vamos hablando",group,39,10,tecniques
"Bueno, yo me voy, hasta mañana",group,31,23,tecniques
"Bueno, nos tenemos que ir ya que se nos hace tarde",group,50,210,tecniques
Bueno chicos me voy !,group,21,300,tecniques
"Bueno, yo creo que me voy a ir yendo ya",group,39,189,tecniques
"Nos vamos al hotel, luego nos vemos",group,35,20,tecniques
Me voy que tengo que hacer la compra,group,36,180,tecniques
me voy que tengo que estudiar,group,29,232,tecniques
"Bueno, os dejo que me están esperando",group,38,56,tecniques
"Hotza ari naiz pasatzen, etxera joango naiz",group,43,60,tecniques
"Estoy cansada, me voy a dormir.",group,31,1800,tecniques
¿Nos movemos?,group,14,180,tecniques
Yo me voy a ir ya que tengo frío.,group,34,320,tecniques
"Vale, ya va siendo hora...",group,26,40,tecniques
Hasta mañana chicos!,group,21,40,tecniques
"me voy, que he quedado",group,22,600,tecniques
Nos vemos luego,group,15,128,tecniques
"Me acaba de llegar un mensaje de mi aita, me tengo que ir a casa",group,64,240,tecniques
"Bueno, nosotras ya nos vamos.",group,29,260,tecniques
me voy que he dicho que llegaría pronto a casa,group,47,900,tecniques
Terminanos ya,group,13,165,tecniques
