t,autorizo,sex,edad,prov,p.sex,p.edad,raza,Aitem1,Aitem2,Aitem3,Aitem4,Aitem5,Aitem6,Aitem7,Aitem8,Aitem9,Aitem10,Aitem11,Aitem12,Aitem13,Aitem14,Aitem15,Aitem16,Aitem17,Aitem18,Aitem19,Aitem20,Aitem21,Aitem22,Aitem23,Aitem24,Aitem25,Aitem26,Bitem1,Bitem2,Bitem3,Bitem4,Bitem5,Bitem6,Bitem7,Bitem8,Bitem9,Bitem10,Bitem11,Bitem12,Bitem13,Bitem14,Bitem15,Bitem16,Bitem17,Bitem18,Bitem19,Bitem20,Bitem21,Bitem22,Bitem23,Bitem24,Bitem25,Bitem26,COVIef,Notas
26/07/2021 16:06,Autorizo,Mujer,47,Bizkaia,Hembra,5,Bichon Maltes,5,1,5,5,3,5,1,5,3,3,5,5,3,5,2,3,5,1,5,5,2,1,5,2,1,1,5,1,5,5,3,5,1,4,4,3,5,5,3,5,3,3,5,1,5,5,5,1,5,5,1,1,5,
26/07/2021 16:06,Autorizo,Hombre,35,Gipuzkoa,Macho,2,Malinoise,5,5,1,1,3,5,2,4,4,3,4,4,4,3,4,2,5,4,2,5,5,2,2,3,3,1,5,4,1,1,1,5,1,4,4,4,4,4,4,3,4,2,5,2,5,5,5,2,2,3,3,1,4,
26/07/2021 18:46,Autorizo,Mujer,67,Bizkaia,Hembra,8,Mestiza,5,4,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,4,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,
27/07/2021 00:12,Autorizo,Mujer,55,Bizkaia,Macho,7,Pomerania,5,5,5,5,1,5,3,5,5,5,5,5,3,4,5,4,5,2,2,2,2,2,2,3,2,1,4,4,4,4,1,5,3,5,5,4,5,5,3,4,5,4,5,2,2,2,2,2,2,3,2,1,3,
27/07/2021 12:56,Autorizo,Hombre,47,Gipuzkoa,Hembra,4,Perro de aguas,5,1,4,4,3,5,3,3,5,4,4,5,3,3,5,1,5,3,4,4,4,3,4,5,4,3,4,1,4,4,3,5,3,3,3,3,3,5,4,4,5,2,5,4,3,2,4,3,4,5,4,3,2,
27/07/2021 13:06,Autorizo,Mujer,51,Gipuzkoa,Hembra,4,Artzaia,5,1,5,5,1,5,4,5,5,3,5,5,5,5,5,5,5,1,5,5,5,2,5,5,1,1,5,1,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,1,1,3,Ez zuelako beste txakurrekin jolasten
28/07/2021 03:03,Autorizo,Mujer,17,Bizkaia,Macho,8,Mestiza,3,5,5,5,3,5,3,4,5,3,4,5,5,5,4,5,5,2,5,5,2,1,5,2,1,1,3,4,5,5,1,5,3,4,5,3,4,5,5,5,4,5,5,1,5,5,5,1,5,5,1,1,4,Depresión perruna
28/07/2021 13:47,Autorizo,Mujer,21,Gipuzkoa,Macho,13,Golden Retriever,5,3,5,5,1,5,2,4,4,3,5,4,4,5,2,5,5,1,5,5,5,1,5,3,2,1,4,4,5,5,3,2,1,5,5,3,3,4,4,5,5,5,5,1,5,5,5,1,5,4,3,1,2,
28/07/2021 17:22,Autorizo,Mujer,50,Gipuzkoa,Macho,13,Golden Retriever,1,5,1,1,1,5,3,5,4,3,4,4,5,4,4,2,5,3,2,2,2,2,2,2,2,2,2,5,2,3,1,5,1,4,4,4,4,5,5,4,5,2,5,3,3,3,2,2,2,2,2,2,4,Estaba más contento de tenernos a todos en casa haciéndole mimos y compañía.
01/08/2021 20:06,Autorizo,Mujer,47,Bizkaia,Hembra,5,Bichon Maltes,5,1,5,5,3,5,1,5,3,3,5,5,3,5,2,3,5,1,5,5,2,1,5,2,1,1,5,1,5,5,3,5,1,4,4,3,5,5,3,5,3,3,5,1,5,5,5,1,5,5,1,1,5,
03/08/2021 10:28,Autorizo,Mujer,37,Bizkaia,Macho,12,Cocker,4,3,4,5,1,5,1,5,5,4,5,5,4,4,5,4,5,3,3,2,3,2,5,2,1,1,5,4,5,5,1,5,1,5,5,4,5,5,3,5,5,4,5,2,2,2,2,2,5,5,1,1,4,"Estaba todo el rato conmigo y lloraba cuando estaba solo, pedía que le acariciasen y le prestarán más atención de lo que pedía antes del confinamiento. "
03/08/2021 10:37,Autorizo,Hombre,31,Alaba,Macho,7,American stanford,5,4,5,5,1,5,1,5,3,3,4,5,3,5,4,3,5,1,3,2,3,2,2,2,2,1,5,4,5,5,1,5,1,5,4,5,4,5,3,5,4,5,5,1,2,2,2,1,2,2,2,1,4,Estaba mucho más alerta ante cualquier ruido
03/08/2021 10:46,Autorizo,Mujer,55,Bizkaia,Hembra,3,Teckel/pincher,1,1,1,1,3,5,3,4,5,3,5,5,4,4,4,3,4,2,2,5,2,2,2,2,2,2,5,3,1,1,1,5,3,4,5,3,5,5,4,4,4,3,4,2,2,5,2,2,2,2,2,2,2,
03/08/2021 15:05,Autorizo,Mujer,29,Bizkaia,Hembra,6,No tiene - adopción ,4,4,5,5,1,5,3,5,5,4,5,5,2,5,3,1,5,2,5,5,5,2,5,5,1,1,4,4,5,5,1,5,2,5,5,5,5,5,2,5,2,1,5,2,5,5,5,2,5,5,1,1,2,Estaba más contenta porque estábamos más en casa con ella. Es súper cariñosa así que fue la más feliz. 
04/08/2021 13:53,Autorizo,Mujer,19,Bizkaia,Macho,9,Yorks hire terrier,5,5,5,5,3,5,2,5,5,5,5,5,5,5,4,5,5,3,3,2,4,2,3,3,3,1,5,5,5,5,1,5,2,5,5,5,5,5,5,5,4,5,5,2,2,5,5,1,3,3,2,1,4,Estaba más nervioso y se portaba peor. 
04/08/2021 14:02,Autorizo,Hombre,23,Bizkaia,Macho,9,Yorkshire,5,5,1,4,5,5,1,5,5,5,4,5,4,5,5,5,5,4,3,5,3,1,3,3,3,1,5,5,1,3,4,5,2,5,5,5,5,5,5,5,5,5,5,4,5,5,3,1,3,3,3,1,5,Estaba mucho más nervioso cuando estaba en casa y ladraba con más frecuencia
04/08/2021 14:10,Autorizo,Hombre,21,Alaba,Hembra,8,Pastor alemán ,4,1,5,5,1,3,2,5,5,5,5,2,3,4,4,3,5,5,2,2,2,1,2,3,2,1,4,1,5,5,1,3,2,5,5,5,2,5,3,4,4,3,5,2,2,2,2,1,2,3,2,1,4,Quería que le prestarán más atención 
04/08/2021 14:31,Autorizo,Mujer,22,Gipuzkoa,Macho,9,Ratonero,2,4,3,2,3,5,3,4,4,4,4,5,4,5,4,4,5,2,4,2,4,3,4,5,3,3,4,5,5,5,1,5,2,5,5,5,5,5,4,5,4,4,5,1,5,5,2,2,5,5,2,1,5,"Mi perro estaba mucho más nervioso, estaba más irascible y ladraba por cualquier cosa. "
10/08/2021 22:43,Autorizo,Mujer,36,Bizkaia,Macho,7,Mastin,2,1,1,2,1,1,1,4,5,2,4,5,2,4,2,2,4,3,2,2,2,2,4,2,3,1,2,2,1,1,1,1,1,4,4,3,4,4,5,4,2,2,4,3,2,2,2,2,4,2,3,1,2,
10/08/2021 22:48,Autorizo,Mujer,36,Bizkaia,Macho,7,Mastin,2,1,1,2,1,1,1,4,5,2,4,5,2,4,2,2,4,3,2,2,2,2,4,2,3,1,2,2,1,1,1,1,1,4,4,3,4,4,5,4,3,2,4,3,2,2,2,2,4,2,3,1,2,
11/08/2021 12:47,Autorizo,Mujer,57,Gipuzkoa,Hembra,7,Pastor aleman,5,3,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,Se ha echo mas dependiente de mi
11/08/2021 13:06,Autorizo,Mujer,38,Gipuzkoa,Macho,5,Pastor alsaciano,4,1,5,1,1,5,3,5,5,5,4,5,5,5,4,4,5,3,5,5,5,2,2,3,3,1,4,5,5,4,1,5,3,5,5,5,5,5,5,5,4,3,5,3,2,5,5,2,5,2,3,1,4,Yo lo veia un poco raro y un poco m�s triste xq eso d salir cerca d casa y no poder ir a pasear y jugar pues era dif�cil�
11/08/2021 13:16,Autorizo,Mujer,23,Gipuzkoa,Macho,2,Bull dog,5,1,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,3,2,5,2,1,3,3,3,1,5,1,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,1,2,2,2,1,3,3,3,1,3,Cuando paso lo del confinamiento mi perro era un cachorro y no pudo salir tanto a la calle para disfrutar y descargar lo que el necesita descargar diariamente yo creo que el confinamiento le a echo muy imperactivo no llega nunca a descargar lo que el tiene que descargar por mucho que le de un paseo grande o me lo lleve toda la tarde�
11/08/2021 13:59,Autorizo,Mujer,38,Gipuzkoa,Macho,9,Birder collie,5,4,5,5,1,5,3,5,5,4,5,5,3,5,4,5,5,2,5,5,5,2,5,5,1,1,5,3,5,5,1,5,3,5,5,3,5,5,3,5,4,5,5,2,5,5,5,2,5,5,1,1,2,
11/08/2021 16:14,Autorizo,Mujer,42,Alaba,Hembra,16,Mix,1,3,4,4,1,5,1,4,4,4,4,4,4,4,3,3,5,3,3,3,5,2,2,2,3,2,1,3,4,4,1,5,1,4,4,4,4,4,4,5,3,3,5,4,2,2,3,3,2,5,3,2,2,
11/08/2021 17:59,Autorizo,Mujer,48,Gipuzkoa,Hembra,1.5,Mix Border Collie y ratonero,5,4,5,5,1,5,3,5,5,5,5,5,5,5,5,5,5,1,2,2,2,2,3,2,1,1,5,4,5,5,3,5,3,5,5,5,5,5,5,5,5,5,5,2,2,2,3,2,3,2,1,1,4,"Mi perra Enna desarroll� miedos. Enna era muy sociable y juguetona. Al no socializarse con otros perros en el confinamiento (ella tenia 7 meses en marzo 2020), al salir de paseo despu�s del confinamiento, se le ve�a con miedo de otros perros. En cuanto les veia de lejos, se quedaba quieta e intentaba dar una gran vuela para no acercarse al otro perro o se volv�a para atr�s. Tambi�n not� que ladraba a algunas personas especialmete hombres vestidos de negro, cosa que antes no hac�a."
11/08/2021 23:17,Autorizo,Mujer,29,Gipuzkoa,Hembra,10,Schnauzer mini,4,1,3,4,1,2,1,5,5,4,5,5,4,5,5,4,5,2,5,5,5,1,5,5,1,1,4,4,5,5,1,5,1,5,5,4,5,5,4,5,5,4,5,1,5,5,5,2,5,5,1,1,3,
13/08/2021 11:57,No autorizo,Hombre,66,Gipuzkoa,Macho,7,Pastor Alem�n�,5,4,4,4,3,5,3,4,4,4,4,5,4,4,4,4,5,4,3,3,2,2,2,3,2,1,4,4,4,5,4,1,3,4,4,3,4,4,3,4,4,4,4,1,3,3,3,1,5,4,2,1,3,No le not� cambios�
