"contexto","transcripción","tema","definición","Fuente","Categoría.Evaluativa","Notas"
"<p>Dos niños de aproximadamente 9 o 10 años están jugando solos en un parque. Uno de ellos baja del árbol sobre cuyas ramas estaban saltando y coge la bici. Al hacerlo mira la hora y se da cuenta de que quedan 20 minutos para que abra el supermercado y se lo hace saber a su amigo.</p>","<p>X: Faltan 20 minutos para que abra el Todotodo.</p>
<p>Y: No he traído dinero.</p>
<p>X: Yo sí.</p>
<p>Y: Pues me da igual.</p>
<p>X: Voy a ir.</p>
<p>Y: Es broma, tengo dinero.</p>
<p>X: Pues luego vamos.</p>","Planificación","<p>Acciones y decisiones que muestran la capacidad de organizar actividades futuras considerando el tiempo, los recursos y los pasos a seguir.</p>","real","Verosímil","<p>La conversación resulta totalmente verosímil, sobre todo en el contexto cotidiano infantil. Además, es una conversación que también podrían tener adolescentes y adultos adaptando el estilo comunicativo a sus respectivas etapas de desarrollo. </p>"
"<p>Caminando por la calle, una mujer de unos 35 años (Mujer 1) conversa con otra mujer (mujer 2), la cual parece su madre</p>","<p>Mujer 1: ¡Hombre! Me saqué la teta en las escaleras mecánicas del Corte Inglés.</p>
<p>Mujer 2: ¿En serio? ¿Y no te dijeron nada?</p>
<p>Mujer 1: Claro que si, que no le podía dar de comer al niño dentro, por eso se lo di en las escaleras al irnos.</p>
<p>Mujer 2: ¡Ay, hija! ¿En las escaleras mecánicas?</p>
<p>Mujer 1: Sí, total, ya nos habían echado. Así que cuando nos íbamos, zas… me saque la teta delante del segurata.</p>
<p>Mujer 2: Jajaja, bueno… mientras el niño parara de llorar.</p>
<p>Mujer 1: Alguno me miró raro, pero… ¿y qué? Me parece absurdo el no poder dar el pecho en público.</p>
<p>Mujer 2: Ya es algo natural, pero con los deprabados que andan sueltos últimamente yo que tu tendría más cuidado.</p>","Prácticas de cuidado en contextos públicos","<p>La conversación gira en torno a una tarea de cuidado (dar el pecho) en un espacio social donde hay normas implícitas/explicitas.</p>","real","Verosímil",""
"<p>Conversación entre el Zorro y el Principito del libro ""El Principito"" de Antoine de Saint-Exupéry</p>","<p>—¿Qué significa «domesticar»? —preguntó el principito.<br />—Es algo demasiado olvidado —dijo el zorro—. Significa «crear lazos...».<br />—¿Crear lazos?<br />—Sí —dijo el zorro—. Para mí no eres todavía más que un muchachito semejante a cien mil muchachitos. Y no te necesito. Y tú tampoco me necesitas. No soy para ti más que un zorro semejante a cien mil zorros. Pero, si me domesticas, tendremos necesidad el uno del otro. Tú serás para mí único en el mundo. Yo seré para ti único en el mundo...</p>","Vínculos","<p>La creación de vínculos afectivos y cómo las relaciones hacen que cada individuo se vuelva único e irreemplazable para otro.</p>","ficticia","Inusual",""
"<p>Después de clase, dos amigos se encuentran en el autobús de vuelta a casa y se ponen al día.</p>","<p>- Hoy un rollo las clases, pero bueno, mañana no vengo, que tengo el práctico.</p>
<p>+ ¿Mañana tienes, eh?</p>
<p>- A las 11.</p>
<p>+ ¿Cuándo tuviste el primero?</p>
<p>- A principios de agosto, creo.</p>
<p>+ ¿Y cómo vas para mañana?</p>
<p>- Bueno, según, porque nos suelen llevar a sitios de alrederor, enplan Hernani, Usurbil, Andoain y así.</p>","Detalles sobre examen","<p>Se trata de una conversación cotidiana centrada en los detalles, la preparación y las expectativas del examen práctico de conducir que tendrá uno de los estudiantes el próximo día.</p>","real","Verosímil",""
"<p>La conversación se sitúa en un bar de una plaza de Donosti, en la parte antigua. Esta se produce durante la tarde, entre una camarera (C) y un señor (S) de 60 años (aproximadamente), el cual quería pedir algo para tomar.</p>","<p>S: Buenas tardes ¿Pido dentro o salís fuera?</p>
<p> </p>
<p>C: Para pintxos tienes que pedir dentro, para la bebida te atendemos en la mesa.</p>
<p> </p>
<p>S: Perfecto ¿Me pones una croqueta?</p>
<p> </p>
<p>C: ¿De jamón?</p>
<p> </p>
<p>S: Sí, por favor.</p>
<p> </p>
<p>C: Aquí tienes. Ahora salimos a atenderte.</p>","Petición","<p>El tema de conversación hace referencia a la pedida de lo que desea tomar por parte del cliente.</p>","real","Verosímil","<p>Es una conversación verosímil debido a que es una situación que se produce en la vida real y le puede ocurrir a todas las personas en cualquier momento del día debido a que es algo muy común ir a tomar algo en un bar.</p>"
"<p>Esta conversación es parte de la serie Arcane. En esta escena, Vi y sus hermanos regresan de una misión y el padre, Vander, reprende a su hija mayor por no ser consciente y no tener cuidado con su influencia en los hermanos pequeños.</p>
<p> </p>","<p>Vander: Esos chavales te admiran.</p>
<p>Vi: Lo sé.</p>
<p>Vander: No lo sabes. Si alguien te admira, no puedes ser egoísta.</p>
<p>Vi: Yo no...</p>
<p>Vander: Si les dices que corran, ellos corren. Si les dices que naden, nadan. Si les dices que hagan un fuego, aparecen con aceite. Pero tú eres responsable de lo que pasa.</p>","Responsabilidad","<p>La conversación refleja cómo, en esta familia, el padre refuerza el rol de que ser la hermana mayor implica la responsabilidad de servir de modelo para los más pequeños. Explica que este rol no solo implica influencia, sino que la obligación de ser consciente de sus propias acciones, ya que estas marcan el comportamiento y pensamiento de las personas que la admiran y, en el caso de que les ocurriera algo, sería su culpa.</p>","ficticia","Verosímil",""
"<p>Es proveniente de un libro llamado los siete poderes. En este fragmento, un caballero se está adentrando en una importante misión.</p>","<p>Manluz: No te preocupes por ""el poder"", ocúpate más bien de ""tu poder"". Solo accediento a ""tu poder"" estarás en verdaderas condiciones de ejercer ""el poder"".</p>
<p>El caballero: ¡¿Y cuál es la diferencia entre uno y otro?!.</p>
<p>Manluz: Es muy simple: tú decides ser el resultado de tus actitudes, de tus acciones y de tus decisiones...¡eso es poder! Créeme, solo cuando desarrollas ""tu poder"" puedes ejercer con propiedad ""el poder"" de gobernar aquello que es mayor que tú.</p>","Asumir el poder","<p>Le da miedo abarcarse en la misión, ya que si la realiza correctamente, después debería asumir el poder del reino.</p>","ficticia","Verosímil","<p>La conversación puede clasificarse como verosímil, ya que, aunque surge de un libro ficiticio, refleja un diáologo o un temor que podría darse en la vida real, aunque con otro contexto.</p>"
"<p>Conversación en el metro entre dos amigos a los que llamaremos Luis y Juan.</p>","<p>Luis: Oye, ¿al final vienes al cine hoy?</p>
<p>Juan: ¡Sí!, ¿ A que hora quedamos?</p>
<p>Luis: A las 19 ya que la película empieza a las 19:30</p>
<p>Juan: Vale, llevaré palomitas de casa</p>","Ir al cine","<p>En esta comversación, se quiere saber si su amigo irá al cine, y concretar la hora en la que quedarán.</p>","real","Verosímil","<p>Es Verosímil ya que este tipo de conversaciones se tienen muy amenudo.</p>"
"<p>Un hombre se encuentra por la calle con su antigua casera y esta le cuenta sus problemas con los nuevos inquilinos</p>","<p>Casera: ¿Qué tal estaís todos?</p>
<p>Hombre: Bien bien, ¿y vosotros?</p>
<p>Casera: Bien, ahí andamos... pues fíjate que he estado pensando que cuantos años hacia desde que os alquilamos el piso.</p>
<p>Hombre: Muchos, muchos ya.</p>
<p>Casera: ¡Qué suerte tuvimos con vosotros! No cómo con los que tengo ahora... que hacen unas cosas muy raras. Lo último es que ayer me avisaron que se había caído un pato desde el balcón a la calle y estaba ahí espachurrado.</p>
<p>Hombre: Pero, ¿desde el balcón?</p>
<p>Casera: Sí, sí. Lo tenían en el balcón.</p>","Ponerse al día","<p>Dos personas se ponen al día después de mucho tiempo sin verse, contándose entre ellas lo más novedoso que les ha ocurrido.</p>","real","Inusual","<p>Es una parte de la conversación, la señora fue avisada por unos vecinos conocidos que vieron el pato en la calle. Se entiende que el pato vivía en el balcón.</p>"
"<p>La conversación transcurre durante el episodio 6 de la temporada 7 de la serie ""Dr. House"". House, como es tema recurrente en la serie, prefiere no seguir la conducta ética que le corresponde como profesional médico y sugiere que se le debería ocultar información a un paciente para tomar él la decisión sobre su tratamiento. Otra doctora argumenta en contra y asegura que el paciente elegirá la opción que, para ellos, es la más adecuada.</p>","<p>Masters: La mejor opción es la quimioterapia. Es más rapida y es más probable que le cure.</p>
<p>Paciente: Prefiero los esteroides.</p>
<p>House: ¡Ay!...la virgen. Ojalá alguien hubiera dicho que iba a tomar esa decisión tan estúpida antes.</p>
<p>Masters: Las náuseas y la fatiga de la quimio solo durarán unas semanas.</p>
<p>Paciente: La intención de voto se ha estancado a cinco días de las elecciones.</p>
<p>Acompañante: Doctor, ¿puede hacer que razone?</p>
<p>House: Ojalá pudiera, pero la ética dicta que él decide. Asi que ahora solo puedo volver a mi despacho, sabiendo que aunque mi paciente se pone en peligro, mi integridad sigue estando virgen e inmaculada.</p>
<p>Masters: Por favor, tómese un tiempo para pensarlo.</p>
<p>Paciente: No necesito tiempo, quiero esteroides.</p>
<p> </p>","Dilema ético","<p>Se presenta un dilema en el que un paciente debe elegir un tratamiento más agresivo, pero más eficiente y recomendado por sus médicos y un tratamiento con menos probabilidades de éxito pero cuyos efectos secundarios son menores.</p>","ficticia","Fantástico","<p>El paciente rechaza la quimioterapia porque es un candidato en las elecciones nacionales y necesita no padecer de efectos secundarios durante la recta final de la campaña, que coincide con la semana que se pone enfermo.</p>"
"<p>Se trata de un fragmento de la película ""Sonrisas y Lágrimas"". La conversación sucede después de que María logra que los niños canten y vuelvan a comportarse como niños alegres. El Capitán (el padre), que se volvió muy estricto y distante cuando murió su mujer, se sorprende y empieza a reconocer sus errores en la crianza.</p>","<p>Capitán: No recordaba cómo sonaban sus voces… Hace tanto que la casa estaba en silencio.</p>
<p>María: Los niños no deberían vivir en silencio, Capitán. Necesitan reír, cantar, jugar… es así como aprenden a amar.</p>
<p>Capitán: Creí que necesitaban disciplina, nada más.</p>
<p>María: Claro que la necesitan, pero también necesitan sentirse queridos.</p>","Educación y afecto","<p>La conversación nos hace reflexionar sobre las distintas formas de educar: la disciplina rígida frente a la importancia del afecto y la alegría en la crianza. El diálogo muestra cómo el Capitán empieza a cambiar su visión gracias a María que defiende que los niños deben crecer rodeados de amor, no solo de reglas.</p>","ficticia","Verosímil",""
"<p>Un grupo de tres amigas están hablando en un banco. Mientras conversan, una de ellas les cuenta a las demás que un amigo en común está teniendo problemas con sus compañeros de piso.</p>","<p>A: ¿Sabéis que a Ander no le están invitando a los planes sus compañeros de piso?</p>
<p>B: ¿Cómo que no? Pero si siempre iban juntos a todo.</p>
<p>C: Sí, pero ahora ni lo llaman para los cumpleaños, ni para salir. Se entera después con las historias de insta.</p>
<p>A: Me dijo que está muy mal, se siente apartado.</p>
<p>B: Pobrecito, es que la gente es muy mala.</p>","Exclusión social en la convivencia","<p>La conversación refleja cómo un grupo de amigas se entera de que otro amigo está siendo excluido por sus compañeros de piso. Más allá del hecho puntual, podemos entender que la exclusión en las relaciones de amistad a la convivencia.</p>","real","Verosímil",""
"<p>Dos mujeres jóvenes mantienen una conversación mientras unos músicos tocaban en la plaza de un pueblo. Tras finalizar una de las canciones, una de ellas le comenta algo a la otra.</p>","<p>A: ¿Sabes quién me ha escrito? </p>
<p>B: No sé si quiero saberlo...</p>
<p>A: Adivina.</p>
<p>B: El mismo de siempre.</p>
<p>A: Pero esta vez le he bloqueado. Ya he aprendido después de todas las putadas que me ha hecho...</p>
<p>B: Es que menudo tipo... Hay que ser cabrón para hacerle ilusiones a alguien, luego decir que no sientes nada y otra vez volver a meter fichas. </p>","Desamor","<p>Una mujer conversa con su amiga sobre un chico que le hizo daño emocionalmente y comenta su decisión de cortar lazos lazos con él. </p>","real","Verosímil",""
"<p>La conversación proviene del videojuego Honkai: Star Rail. Dos compañeros de trabajo buscan una maqueta de una ciudad. Tras encontrarla, uno de ellos se adentra dentro de la maqueta, encogiéndose drásticamente. </p>","<p>A: ¡Santo cielo! ¿Me encogí? ¿Sigo soñando?</p>
<p>B: Así es.</p>
<p>A: Doctor... ¡te volviste enorme! ¡Aquí abajo, en la maqueta! De hecho, creo que podríamos hacer que esto funcione. Solo tienes que ponerme en el cuello de la camisa de Sunday y me infiltraré. </p>
<p>B: ...</p>
<p>A: De acuerdo, estaba bromeando.</p>","Asuntos laborales ","<p>Un hombre encoge lo suficiente para entrar en la maqueta que buscaba con su compañero de trabajo, empleando la ironía para decirle que su plan podría funcionar. </p>","ficticia","Fantástico",""
"<p><span style=""font-family:arial, helvetica, sans-serif;"">Una camarera (C) y la dueña de un restaurante italiano (D) están teniendo una conversación durante el servicio del medio día. </span></p>","<p><span style=""font-family:arial, helvetica, sans-serif;"">D: ¿Todavía no está montada la mesa para la reserva del grupo de 13?</span></p>
<p><span style=""font-family:arial, helvetica, sans-serif;"">C: Llegan a las 15h entonces lo haremos después de preparar los manteles de las otras mesas. ¿No eran 11 personas?</span></p>
<p><span style=""font-family:arial, helvetica, sans-serif;"">D: No no, han llamado ayer y han confirmado que serán 13, y que vendrán a las 14h.</span></p>
<p><span style=""font-family:arial, helvetica, sans-serif;"">C: Vale pues no sabía, entonces lo preparamos ya.</span></p>","Organización","<p><span style=""font-family:arial, helvetica, sans-serif;"">Preparar una mesa a tiempo para la llegada de un grupo en el restaurante</span></p>","real","Verosímil","<p><span style=""font-family:arial, helvetica, sans-serif;"">La conversación es verosímil porque refleja errores y aclaraciones naturales, y lenguaje cotidiano en un entorno laboral real.</span></p>"
"<p>Dos personas estan en un restaurante.</p>","<p>Persona 1: “Creo que voy a pedir la ensalada de pollo, tiene muy buena pinta""</p>
<p>Persona 2: “Una vez la pedí y estaba muy buena.Yo quiero la pasta, pero no estoy seguro por si me quedo con hambre.”</p>
<p>Persona 1: “Luego podemos compartir un postre si todavía tenemos hueco.”</p>","Elección de la comida y comparten opiniones.","<p>Dos personas que se conocen y han ido más veces a este lugar, conversan sobre la selección de alimentos. </p>","ficticia","Verosímil","<p>Una situación muy cotidiana en la que podemos analizar como las personas negocian en simples hechos del día a día de manera pasiva. </p>"
"<p>En la película ""Del Revés"". Riley viaja en el coche con sus padres  hacia su nueva casa. Está nerviosapor la mudanza, mientras sus emociones en el ""centro de mandos"" reaccionan de diferentes maneras.</p>","<p>Papá: “Riley, ¿estás emocionada por tu nueva habitación?”</p>
<p>Riley: “No sé… todo es tan raro ahora.”</p>
<p>Mamá: “Va a ser divertido, conocerás nuevos amigos.”</p>
<p>Riley: “Espero que sí… pero extraño mi antigua casa.”</p>","Novedades en su vida y adaptación al cambio.","<p>Conversación que refleja como la protagonista puede experimentar una mezcla de emociones ante cambios importantes y como sus padres intentan que lo haga de la mejor forma posible.</p>","ficticia","Verosímil","<p>Una escena usual, que muestra la complejidad emocional que tienen estas situaciones de cambios y cómo la comunicación con los padres puede ayudar a procesar estos sentimientos.</p>
<p> </p>"
"<p><span>Dos surfistas están conversando en el line-up antes de tomar una ola. Yo también estoy en el line-up y escucho su conversación. No estoy seguro de haber entendido todo porque soy extranjero y he traducido aproximadamente lo que escuché.</span></p>","<ul>
<li>
<p>Surfista 1: « Ayer la marea estaba perfecta a la derecha de la punta, ¿lo viste? »</p>
</li>
<li>
<p>Surfista 2: « Sí, cogí dos olas realmente largas, pero había mucha gente… »</p>
</li>
<li>
<p>Surfista 1: « ¡Hay que llegar temprano mañana por la mañana, si no estaremos en medio de todos! »</p>
</li>
<li>
<p>Surfista 2: « Exacto, creo que el viento también cambiará por la tarde… »</p>
</li>
</ul>","Organización y reparto de los spots de surf","<p><span>La conversación trata sobre el momento y el lugar ideales para surfear, la disponibilidad de las olas y cómo manejar la presencia de otros surfistas, ilustrando la coordinación y la estrategia informal entre surfistas para optimizar su sesión.</span></p>","real","Verosímil","<p><span>La información puede no ser totalmente precisa porque soy extranjero y he interpretado la conversación a mi manera. Sin embargo, el tema principal sigue siendo claro: se trata de planificar la sesión de surf y evaluar la concurrencia del spot para aprovechar las olas.</span></p>"
"<p>Dos estudiantes esperando el bus a las 08h de la mañana. </p>","<p>Persona 1: El bus lleva más de 10 minutos de retraso</p>
<p>Persona 2: Sí, igual ha habido un accidente</p>
<p>Persona 1: Llegaremos tarde</p>","Transporte público","<p>Conversación entre dos personas que buscan una causa que explique el retraso del autobus. </p>","real","Verosímil","<p><span>Nos encontramos con esta conversación muchas veces en nuestro día a día. En este caso son dos estudiantes que, por la manera en que fluye toda la conversación, parece ser que se conocen. La rápida búsqueda de motivos que expliquen el porqué del retraso del autobús nos indica que, probablemente, se hayan encontrado con esta situación más de una vez. </span></p>"
"<p><span>Restaurante Louis, Nueva York. Michael Corleone se encuentra con Sollozzo, un traficante de drogas, para discutir una propuesta comercial.</span></p>","<p>Sollozzo: ""Lo siento...""</p>
<p>Michael: ""Déjalo.""</p>
<p>Sollozzo: ""Lo que le pasó a tu padre fueron negocios. Tengo mucho respeto por tu padre. Pero la forma de pensar de tu padre está desfasada. Debes entender por qué tuve que hacer esto.""</p>
<p>Michael: ""Entiendo estas cosas...""</p>
<p>Sollozzo: ""Ahora, veamos hacia dónde vamos desde aquí.""</p>
<p>Michael: ""¿Cómo decirlo...?""</p>
<p>Sollozzo: ""¿Todo bien? Me respeto, ¿entiendes?, y no puedo permitir que otro hombre me detenga. Lo que pasó era inevitable. Contaba con el apoyo tácito de los demás jefes de familia. Si tu padre estuviera más sano, sin su hijo mayor al mando, sin querer faltarte al respeto, no tendríamos este caos. Dejaremos de pelear hasta que tu padre mejore y pueda retomar las negociaciones. No habrá venganza. Tendremos paz, pero tu familia no debería interferir más.""</p>","Negociación de poder y respeto a las tradiciones familiares","<p><span>La conversación explora las dinámicas de poder, el respeto a las tradiciones familiares y las tensiones entre generaciones, mostrando cómo los negocios y los valores familiares se entrelazan en el mundo del crimen organizado.</span></p>","ficticia","Inusual","<p><span>Tuve que hacer una traducción a partir de lo que transcribí de la película en francés, por lo que puede haber errores. </span></p>"
