"";"pareja";"actividad";"quien"
"284";352;"cena";"mujer"
"285";353;"platos";"conjuntamente"
"286";354;"seguro";"mujer"
"287";355;"platos";"conjuntamente"
"288";356;"lunch";"mujer"
"289";357;"lunch";"mujer"
"290";358;"ropa";"conjuntamente"
"291";359;"cena";"mujer"
"292";361;"seguro";"hombre"
"293";362;"seguro";"conjuntamente"
"294";363;"cena";"mujer"
"295";364;"platos";"mujer"
"296";365;"seguro";"hombre"
"297";367;"arreglos";"alternativamente"
"298";370;"conducir";"hombre"
"299";372;"ropa";"alternativamente"
"300";373;"conducir";"alternativamente"
"301";374;"lunch";"mujer"
"302";376;"lunch";"mujer"
"303";377;"arreglos";"hombre"
"304";378;"ropa";"mujer"
"305";379;"platos";"conjuntamente"
"306";380;"lunch";"mujer"
"307";381;"conducir";"hombre"
"308";383;"finanzas";"mujer"
"309";384;"ropa";"alternativamente"
"310";386;"cena";"mujer"
"311";387;"arreglos";"hombre"
"312";389;"lunch";"mujer"
"313";390;"seguro";"hombre"
"314";391;"cena";"conjuntamente"
"315";392;"cena";"mujer"
"316";393;"compras";"hombre"
"317";394;"lunch";"alternativamente"
"318";395;"seguro";"hombre"
"319";396;"finanzas";"hombre"
"320";398;"lunch";"mujer"
"321";399;"conducir";"alternativamente"
"322";400;"seguro";"hombre"
"323";401;"lunch";"mujer"
"324";402;"ropa";"mujer"
"325";403;"seguro";"conjuntamente"
"326";404;"arreglos";"hombre"
"327";407;"lunch";"mujer"
"328";408;"lunch";"mujer"
"329";410;"compras";"conjuntamente"
"330";411;"lunch";"mujer"
"331";412;"seguro";"conjuntamente"
"332";413;"seguro";"conjuntamente"
"333";414;"platos";"conjuntamente"
"334";416;"lunch";"mujer"
"335";417;"cena";"mujer"
"336";418;"lunch";"alternativamente"
"337";419;"conducir";"hombre"
"338";420;"lunch";"mujer"
"339";421;"finanzas";"conjuntamente"
"340";422;"lunch";"alternativamente"
"341";423;"seguro";"conjuntamente"
"342";425;"lunch";"mujer"
"343";426;"platos";"conjuntamente"
"344";427;"platos";"conjuntamente"
"345";429;"finanzas";"conjuntamente"
"346";430;"cena";"mujer"
"347";431;"cena";"mujer"
"348";433;"compras";"mujer"
"349";434;"compras";"conjuntamente"
"350";435;"conducir";"hombre"
"351";436;"ropa";"alternativamente"
"352";437;"seguro";"hombre"
"353";438;"cena";"mujer"
"354";439;"finanzas";"hombre"
"355";440;"cena";"mujer"
"356";441;"cena";"conjuntamente"
"357";442;"arreglos";"hombre"
"358";443;"arreglos";"hombre"
"359";444;"arreglos";"hombre"
"360";445;"seguro";"conjuntamente"
"361";446;"lunch";"mujer"
"362";447;"conducir";"hombre"
"363";448;"cena";"mujer"
"364";449;"conducir";"alternativamente"
"365";450;"seguro";"conjuntamente"
"366";451;"lunch";"mujer"
"367";452;"seguro";"conjuntamente"
"368";453;"seguro";"conjuntamente"
"369";454;"lunch";"mujer"
"370";457;"cena";"mujer"
"371";458;"conducir";"hombre"
"372";459;"seguro";"mujer"
"373";460;"finanzas";"conjuntamente"
"374";461;"lunch";"alternativamente"
"375";462;"lunch";"mujer"
"376";463;"cena";"mujer"
"377";464;"ropa";"mujer"
"378";465;"compras";"conjuntamente"
"379";467;"platos";"mujer"
"380";468;"seguro";"conjuntamente"
"381";469;"lunch";"alternativamente"
"382";470;"seguro";"hombre"
"383";472;"arreglos";"hombre"
"384";473;"cena";"mujer"
"385";475;"arreglos";"hombre"
"386";476;"lunch";"mujer"
"387";478;"lunch";"mujer"
"388";479;"cena";"mujer"
"389";480;"lunch";"mujer"
"390";481;"conducir";"alternativamente"
"391";482;"platos";"mujer"
"392";483;"seguro";"conjuntamente"
"393";484;"platos";"conjuntamente"
"394";485;"arreglos";"hombre"
"395";487;"platos";"conjuntamente"
"396";488;"platos";"mujer"
"397";489;"finanzas";"hombre"
"398";491;"finanzas";"mujer"
"399";494;"arreglos";"hombre"
"400";495;"seguro";"conjuntamente"
"401";497;"platos";"conjuntamente"
"402";498;"conducir";"hombre"
"403";499;"lunch";"mujer"
"404";500;"lunch";"mujer"
"405";501;"conducir";"hombre"
"406";502;"arreglos";"hombre"
"407";505;"lunch";"mujer"
"408";507;"ropa";"conjuntamente"
"409";508;"compras";"conjuntamente"
"410";509;"lunch";"mujer"
"411";512;"arreglos";"hombre"
"412";513;"lunch";"alternativamente"
"413";514;"ropa";"conjuntamente"
"414";516;"lunch";"alternativamente"
"415";517;"lunch";"mujer"
"416";518;"lunch";"mujer"
"417";519;"platos";"mujer"
"418";520;"arreglos";"hombre"
"419";521;"compras";"conjuntamente"
"420";522;"ropa";"conjuntamente"
"421";523;"arreglos";"hombre"
"422";524;"arreglos";"hombre"
"423";525;"cena";"mujer"
"424";526;"lunch";"mujer"
"425";527;"lunch";"mujer"
"426";530;"ropa";"mujer"
"427";531;"lunch";"mujer"
"428";532;"conducir";"hombre"
"429";533;"platos";"conjuntamente"
"430";534;"ropa";"conjuntamente"
"431";535;"lunch";"mujer"
"432";536;"lunch";"mujer"
"433";538;"lunch";"mujer"
"434";539;"lunch";"alternativamente"
"435";541;"seguro";"hombre"
"436";542;"lunch";"mujer"
"437";544;"seguro";"conjuntamente"
"438";546;"lunch";"alternativamente"
"439";547;"conducir";"hombre"
"440";548;"lunch";"mujer"
"441";549;"lunch";"hombre"
"442";551;"arreglos";"hombre"
"443";553;"seguro";"conjuntamente"
"444";554;"lunch";"alternativamente"
"445";555;"ropa";"mujer"
"446";556;"seguro";"conjuntamente"
"447";557;"cena";"mujer"
"448";558;"platos";"mujer"
"449";559;"conducir";"mujer"
"450";560;"compras";"conjuntamente"
"451";561;"conducir";"hombre"
"452";562;"finanzas";"conjuntamente"
"453";563;"seguro";"conjuntamente"
"454";564;"seguro";"conjuntamente"
"455";565;"lunch";"mujer"
"456";566;"cena";"mujer"
"457";567;"platos";"conjuntamente"
"458";568;"seguro";"hombre"
"459";569;"cena";"mujer"
"460";570;"finanzas";"alternativamente"
"461";571;"finanzas";"conjuntamente"
"462";572;"lunch";"mujer"
"463";573;"conducir";"hombre"
"464";574;"arreglos";"hombre"
"465";575;"ropa";"mujer"
"466";576;"lunch";"mujer"
"467";577;"lunch";"hombre"
"468";578;"lunch";"mujer"
"469";579;"lunch";"mujer"
"470";580;"lunch";"mujer"
"471";582;"ropa";"conjuntamente"
"472";583;"lunch";"mujer"
"473";586;"lunch";"mujer"
"474";587;"platos";"conjuntamente"
"475";589;"lunch";"alternativamente"
"476";590;"arreglos";"hombre"
"477";591;"compras";"conjuntamente"
"478";592;"conducir";"alternativamente"
"479";593;"conducir";"hombre"
"480";594;"lunch";"mujer"
"481";595;"finanzas";"conjuntamente"
"482";597;"conducir";"hombre"
"483";599;"cena";"mujer"
"484";600;"platos";"conjuntamente"
"485";601;"platos";"conjuntamente"
"486";602;"ropa";"mujer"
"487";604;"seguro";"mujer"
"488";605;"compras";"conjuntamente"
"489";606;"cena";"mujer"
"490";607;"arreglos";"hombre"
"491";609;"lunch";"alternativamente"
"492";612;"lunch";"mujer"
"493";613;"conducir";"hombre"
"494";615;"arreglos";"hombre"
"495";616;"finanzas";"mujer"
"496";617;"arreglos";"hombre"
"497";620;"lunch";"mujer"
"498";621;"arreglos";"hombre"
"499";623;"lunch";"mujer"
"500";624;"ropa";"conjuntamente"
"501";625;"arreglos";"hombre"
"502";626;"finanzas";"conjuntamente"
"503";627;"lunch";"mujer"
"504";628;"finanzas";"conjuntamente"
"505";629;"lunch";"mujer"
"506";630;"conducir";"hombre"
"507";631;"finanzas";"conjuntamente"
"508";632;"conducir";"hombre"
"509";633;"lunch";"mujer"
"510";634;"arreglos";"hombre"
"511";635;"finanzas";"mujer"
"512";636;"cena";"mujer"
"513";638;"conducir";"alternativamente"
"514";639;"arreglos";"hombre"
"515";640;"compras";"conjuntamente"
"516";641;"conducir";"alternativamente"
"517";642;"cena";"conjuntamente"
"518";644;"conducir";"mujer"
"519";645;"finanzas";"conjuntamente"
"520";646;"arreglos";"hombre"
"521";647;"conducir";"alternativamente"
"522";649;"lunch";"mujer"
"523";650;"conducir";"hombre"
"524";651;"platos";"conjuntamente"
"525";652;"ropa";"conjuntamente"
"526";653;"arreglos";"hombre"
"527";654;"lunch";"mujer"
"528";655;"seguro";"conjuntamente"
"529";656;"seguro";"hombre"
"530";657;"lunch";"mujer"
"531";658;"platos";"mujer"
"532";660;"arreglos";"hombre"
"533";661;"ropa";"mujer"
"534";662;"cena";"mujer"
"535";663;"arreglos";"hombre"
"536";664;"lunch";"mujer"
"537";665;"lunch";"hombre"
"538";667;"conducir";"hombre"
"539";668;"seguro";"conjuntamente"
"540";669;"arreglos";"conjuntamente"
"541";670;"cena";"mujer"
"542";671;"conducir";"hombre"
"543";672;"cena";"mujer"
"544";673;"finanzas";"conjuntamente"
"545";674;"lunch";"mujer"
"546";676;"cena";"conjuntamente"
"547";677;"lunch";"mujer"
"548";678;"conducir";"hombre"
"549";680;"lunch";"hombre"
"550";681;"platos";"conjuntamente"
"551";682;"ropa";"conjuntamente"
"552";683;"compras";"hombre"
"553";686;"ropa";"conjuntamente"
"554";687;"lunch";"mujer"
"555";689;"lunch";"mujer"
"556";690;"ropa";"conjuntamente"
"557";692;"lunch";"mujer"
"558";693;"ropa";"mujer"
"559";694;"seguro";"conjuntamente"
"560";695;"conducir";"conjuntamente"
"561";696;"lunch";"hombre"
"562";697;"lunch";"mujer"
"563";698;"lunch";"mujer"
"564";700;"seguro";"conjuntamente"
"565";702;"platos";"conjuntamente"
"566";703;"cena";"mujer"
"567";704;"seguro";"conjuntamente"
"568";705;"arreglos";"hombre"
"569";706;"platos";"conjuntamente"
"570";707;"seguro";"conjuntamente"
"571";708;"lunch";"mujer"
"572";709;"lunch";"mujer"
"573";710;"lunch";"hombre"
"574";711;"lunch";"mujer"
"575";712;"seguro";"conjuntamente"
"576";714;"lunch";"mujer"
"577";715;"lunch";"alternativamente"
"578";717;"ropa";"mujer"
"579";718;"lunch";"mujer"
"580";721;"compras";"conjuntamente"
"581";722;"lunch";"mujer"
"582";723;"arreglos";"hombre"
"583";724;"arreglos";"hombre"
"584";725;"lunch";"mujer"
"585";726;"lunch";"mujer"
"586";727;"ropa";"mujer"
"587";728;"lunch";"mujer"
"588";729;"cena";"mujer"
"589";731;"seguro";"mujer"
"590";732;"seguro";"hombre"
"591";734;"lunch";"mujer"
"592";735;"lunch";"alternativamente"
"593";736;"lunch";"alternativamente"
"594";737;"lunch";"mujer"
"595";738;"conducir";"alternativamente"
"596";740;"conducir";"alternativamente"
"597";741;"platos";"conjuntamente"
"598";742;"conducir";"hombre"
"599";743;"lunch";"alternativamente"
"600";744;"lunch";"mujer"
"601";745;"seguro";"hombre"
"602";746;"conducir";"alternativamente"
"603";748;"lunch";"mujer"
"604";749;"platos";"conjuntamente"
"605";750;"arreglos";"hombre"
"606";751;"conducir";"hombre"
"607";752;"compras";"mujer"
"608";753;"arreglos";"hombre"
"609";754;"finanzas";"alternativamente"
"610";755;"lunch";"mujer"
"611";756;"seguro";"conjuntamente"
"612";757;"lunch";"mujer"
"613";758;"seguro";"conjuntamente"
"614";759;"finanzas";"conjuntamente"
"615";760;"cena";"conjuntamente"
"616";761;"finanzas";"conjuntamente"
"617";762;"cena";"mujer"
"618";765;"finanzas";"mujer"
"619";766;"lunch";"alternativamente"
"620";767;"ropa";"conjuntamente"
"621";769;"arreglos";"hombre"
"622";770;"ropa";"mujer"
"623";772;"compras";"conjuntamente"
"624";773;"arreglos";"hombre"
"625";774;"arreglos";"hombre"
"626";778;"lunch";"mujer"
"627";779;"platos";"conjuntamente"
"628";782;"cena";"alternativamente"
"629";783;"arreglos";"hombre"
"630";784;"arreglos";"hombre"
"631";787;"finanzas";"hombre"
"632";789;"arreglos";"hombre"
"633";790;"seguro";"conjuntamente"
"634";791;"platos";"conjuntamente"
"635";792;"seguro";"conjuntamente"
"636";793;"finanzas";"conjuntamente"
"637";794;"platos";"mujer"
"638";795;"seguro";"mujer"
"639";796;"ropa";"mujer"
"640";798;"conducir";"hombre"
"641";799;"lunch";"mujer"
"642";801;"conducir";"alternativamente"
"643";802;"seguro";"conjuntamente"
"644";803;"cena";"alternativamente"
"645";804;"conducir";"hombre"
"646";805;"seguro";"hombre"
"647";806;"conducir";"hombre"
"648";807;"ropa";"mujer"
"649";808;"conducir";"alternativamente"
"650";809;"lunch";"hombre"
"651";812;"arreglos";"hombre"
"652";813;"seguro";"conjuntamente"
"653";814;"conducir";"hombre"
"654";815;"lunch";"mujer"
"655";816;"compras";"mujer"
"656";817;"cena";"mujer"
"657";818;"cena";"mujer"
"658";819;"cena";"hombre"
"659";820;"finanzas";"hombre"
"660";821;"seguro";"alternativamente"
"661";822;"arreglos";"hombre"
"662";823;"lunch";"mujer"
"663";825;"conducir";"hombre"
"664";826;"finanzas";"conjuntamente"
"665";827;"arreglos";"hombre"
"666";829;"lunch";"conjuntamente"
"667";830;"conducir";"alternativamente"
"668";831;"compras";"conjuntamente"
"669";832;"arreglos";"hombre"
"670";833;"cena";"mujer"
"671";834;"lunch";"mujer"
"672";835;"lunch";"mujer"
"673";836;"platos";"conjuntamente"
"674";837;"seguro";"hombre"
"675";838;"seguro";"hombre"
"676";839;"arreglos";"hombre"
"677";840;"ropa";"conjuntamente"
"678";841;"arreglos";"hombre"
"679";842;"seguro";"hombre"
"680";843;"lunch";"mujer"
"681";844;"ropa";"mujer"
"682";845;"seguro";"conjuntamente"
"683";846;"cena";"mujer"
"684";847;"arreglos";"hombre"
"685";849;"conducir";"hombre"
"686";850;"conducir";"alternativamente"
"687";852;"lunch";"mujer"
"688";853;"ropa";"mujer"
"689";854;"cena";"mujer"
"690";856;"arreglos";"hombre"
"691";857;"cena";"alternativamente"
"692";858;"finanzas";"hombre"
"693";859;"seguro";"conjuntamente"
"694";860;"cena";"mujer"
"695";861;"arreglos";"hombre"
"696";862;"conducir";"hombre"
"697";863;"ropa";"mujer"
"698";866;"seguro";"conjuntamente"
"699";868;"lunch";"alternativamente"
"700";869;"ropa";"mujer"
"701";871;"cena";"conjuntamente"
"702";872;"compras";"hombre"
"703";873;"arreglos";"hombre"
"704";875;"arreglos";"hombre"
"705";876;"conducir";"hombre"
"706";877;"ropa";"mujer"
"707";878;"lunch";"mujer"
"708";879;"lunch";"mujer"
"709";880;"lunch";"mujer"
"710";881;"cena";"mujer"
"711";882;"lunch";"mujer"
"712";883;"cena";"mujer"
"713";885;"finanzas";"conjuntamente"
"714";886;"ropa";"conjuntamente"
"715";887;"arreglos";"hombre"
"716";890;"compras";"hombre"
"717";891;"finanzas";"conjuntamente"
"718";892;"finanzas";"conjuntamente"
"719";893;"seguro";"hombre"
"720";894;"lunch";"mujer"
"721";895;"seguro";"conjuntamente"
"722";896;"compras";"conjuntamente"
"723";898;"lunch";"alternativamente"
"724";899;"platos";"conjuntamente"
"725";900;"ropa";"conjuntamente"
"726";902;"arreglos";"hombre"
"727";903;"compras";"mujer"
"728";904;"ropa";"alternativamente"
"729";905;"arreglos";"hombre"
"730";906;"conducir";"alternativamente"
"731";907;"ropa";"mujer"
"732";908;"lunch";"mujer"
"733";911;"arreglos";"hombre"
"734";912;"cena";"mujer"
"735";913;"conducir";"alternativamente"
"736";914;"compras";"conjuntamente"
"737";915;"conducir";"hombre"
"738";916;"compras";"mujer"
"739";917;"ropa";"mujer"
"740";918;"seguro";"hombre"
"741";919;"lunch";"mujer"
"742";920;"ropa";"mujer"
"743";921;"lunch";"mujer"
"744";922;"cena";"mujer"
"745";923;"conducir";"hombre"
"746";924;"arreglos";"hombre"
"747";925;"lunch";"mujer"
"748";926;"lunch";"mujer"
"749";927;"seguro";"hombre"
"750";928;"ropa";"mujer"
"751";929;"lunch";"mujer"
"752";930;"platos";"mujer"
"753";931;"conducir";"hombre"
"754";933;"lunch";"alternativamente"
"755";934;"seguro";"hombre"
"756";935;"arreglos";"hombre"
"757";936;"seguro";"hombre"
"758";937;"compras";"conjuntamente"
"759";938;"compras";"conjuntamente"
"760";939;"seguro";"hombre"
"761";940;"platos";"conjuntamente"
"762";941;"lunch";"mujer"
"763";942;"compras";"conjuntamente"
"764";943;"compras";"conjuntamente"
"765";944;"lunch";"mujer"
"766";946;"compras";"mujer"
"767";948;"lunch";"mujer"
"768";949;"conducir";"mujer"
"769";950;"conducir";"hombre"
"770";951;"cena";"mujer"
"771";952;"platos";"mujer"
"772";953;"lunch";"alternativamente"
"773";954;"conducir";"hombre"
"774";956;"conducir";"hombre"
"775";958;"lunch";"mujer"
"776";959;"lunch";"mujer"
"777";960;"arreglos";"hombre"
"778";961;"finanzas";"conjuntamente"
"779";962;"conducir";"alternativamente"
"780";963;"lunch";"alternativamente"
"781";964;"compras";"conjuntamente"
"782";965;"cena";"mujer"
"783";966;"lunch";"conjuntamente"
"784";967;"platos";"conjuntamente"
"785";968;"platos";"mujer"
"786";969;"platos";"conjuntamente"
"787";970;"finanzas";"conjuntamente"
"788";971;"ropa";"mujer"
"789";972;"compras";"conjuntamente"
"790";973;"cena";"mujer"
"791";974;"platos";"conjuntamente"
"792";975;"seguro";"mujer"
"793";976;"finanzas";"conjuntamente"
"794";978;"lunch";"hombre"
"795";979;"lunch";"mujer"
"796";980;"conducir";"hombre"
"797";981;"lunch";"mujer"
"798";982;"lunch";"mujer"
"799";983;"lunch";"mujer"
"800";984;"seguro";"conjuntamente"
"801";986;"finanzas";"conjuntamente"
"802";988;"compras";"hombre"
"803";989;"finanzas";"conjuntamente"
"804";990;"cena";"mujer"
"805";991;"lunch";"mujer"
"806";992;"lunch";"hombre"
"807";995;"cena";"mujer"
"808";996;"arreglos";"hombre"
"809";997;"seguro";"hombre"
"810";998;"compras";"conjuntamente"
"811";1000;"lunch";"mujer"
"812";1001;"conducir";"alternativamente"
"813";1002;"arreglos";"hombre"
"814";1003;"seguro";"conjuntamente"
"815";1004;"platos";"mujer"
"816";1005;"conducir";"hombre"
"817";1006;"seguro";"hombre"
"818";1007;"ropa";"alternativamente"
"819";1008;"compras";"hombre"
"820";1009;"conducir";"hombre"
"821";1010;"seguro";"hombre"
"822";1011;"conducir";"hombre"
