"","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15"
"192",2,2,1,1,2,3,1,1,1,4,2,2,2,3,2
"193",4,2,1,2,2,2,2,1,2,2,2,2,1,2,4
"194",4,4,3,2,4,1,2,2,3,3,4,3,2,1,2
"195",4,1,1,1,3,4,1,1,1,5,3,1,1,2,3
"196",3,1,1,2,3,4,5,4,1,4,1,1,1,4,4
"197",4,3,1,4,4,4,3,1,1,2,4,4,2,4,5
"198",1,3,1,3,4,4,2,1,1,5,4,2,1,4,5
"199",2,5,1,1,5,1,1,1,4,4,3,1,1,1,4
"200",1,1,1,1,4,1,1,1,1,4,1,1,1,1,4
"201",4,4,3,3,4,4,4,4,3,4,3,5,2,4,5
"202",1,1,1,1,3,4,1,1,1,5,4,1,1,1,5
"203",2,3,1,2,4,2,1,1,1,4,4,1,1,2,5
"204",2,1,1,1,1,1,1,1,1,1,1,1,1,1,3
"205",1,1,5,2,5,1,2,5,2,2,1,1,5,3,4
"206",1,2,1,2,3,1,2,1,2,3,2,2,1,2,3
"207",3,4,3,3,3,4,4,2,4,4,4,3,2,4,4
"208",3,1,1,1,1,1,1,1,1,1,1,1,1,1,5
"209",5,5,1,5,5,3,1,1,1,5,5,1,1,2,5
"210",5,4,1,1,2,3,4,2,1,4,4,5,1,1,5
"211",1,2,1,2,1,1,1,1,1,4,2,2,1,1,4
"212",3,2,2,2,1,4,1,4,2,4,4,1,1,1,3
"213",2,1,0,3,5,4,1,3,1,4,3,1,1,5,5
"214",5,3,1,4,4,4,3,2,1,4,5,2,1,4,5
"215",1,2,1,1,1,1,1,1,1,3,1,1,1,1,3
"216",3,4,1,1,1,4,2,1,1,3,3,3,1,4,5
"217",1,1,1,2,4,1,4,3,4,4,4,1,2,4,4
"218",5,5,2,5,5,5,5,4,5,5,5,5,4,5,5
"219",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"220",2,2,1,2,4,2,1,1,1,4,3,2,1,1,4
"221",4,2,1,3,5,4,1,3,2,3,3,2,3,3,5
"222",5,5,3,4,5,5,5,3,2,4,5,5,2,5,5
"223",4,5,1,5,5,4,5,1,5,5,5,5,1,3,5
"224",5,5,3,5,4,5,5,3,5,4,5,5,3,4,5
"225",5,5,1,3,2,5,5,1,5,1,4,5,1,5,5
"226",1,1,1,1,1,1,1,1,1,4,1,1,1,1,4
"227",2,5,5,5,4,4,5,5,1,4,3,3,5,2,4
"228",4,4,1,1,1,4,2,3,1,1,3,2,1,3,4
"229",2,1,1,4,2,3,3,2,1,4,3,2,2,2,4
"230",5,2,1,4,5,5,1,1,1,5,4,3,1,4,5
"231",5,4,3,4,4,4,5,4,2,4,4,4,4,5,5
"232",3,1,3,4,4,2,1,5,1,2,3,1,4,4,5
"233",1,1,1,1,1,1,1,1,1,1,1,1,1,3,4
"234",3,2,1,1,2,4,4,1,1,4,1,2,1,2,4
"235",4,3,2,3,2,3,4,2,2,3,4,2,2,4,4
"236",3,2,3,3,2,4,2,4,3,4,4,2,4,2,4
"237",4,3,5,5,4,4,3,5,5,4,5,3,4,5,5
"238",2,2,3,2,4,2,2,3,2,4,3,2,3,4,4
"239",2,2,1,3,2,1,1,1,2,1,1,1,2,2,2
"240",5,3,3,3,5,4,3,3,5,5,4,3,4,5,5
"241",2,2,1,1,2,2,3,1,1,2,2,2,1,1,4
"242",4,4,2,2,2,4,4,5,1,5,5,4,3,5,5
"243",3,2,1,1,3,3,1,1,3,1,4,1,1,3,5
"244",5,4,4,4,5,5,3,4,2,5,5,3,4,3,5
"245",3,3,5,3,5,5,4,5,5,5,3,2,5,5,5
"246",4,2,1,4,5,2,4,5,2,5,5,4,4,3,5
"247",5,2,1,5,5,5,1,3,5,4,5,4,4,5,5
"248",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"249",4,2,1,5,2,5,1,1,1,3,5,1,1,1,5
"250",1,1,1,1,4,1,1,1,1,2,3,1,1,1,3
"251",3,2,1,4,2,4,4,1,1,4,3,4,1,2,5
"252",2,2,2,5,5,4,5,4,5,5,4,4,2,2,2
"253",1,1,1,1,2,1,1,1,1,2,1,1,1,2,3
"254",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"255",3,5,1,1,2,2,4,3,2,1,4,5,3,2,5
"256",3,3,1,3,4,3,3,1,2,3,3,3,1,2,4
"257",4,2,5,4,5,2,4,5,5,5,2,4,5,5,5
"258",4,3,1,1,1,2,2,1,1,4,2,2,1,1,4
"259",1,1,1,1,1,1,1,1,1,1,1,0,1,1,5
"260",3,2,1,2,5,3,1,1,2,2,2,2,1,1,5
"261",5,5,5,4,5,5,4,5,4,4,5,5,4,4,5
"262",5,5,5,5,4,2,5,2,5,5,4,3,1,4,5
"263",2,4,2,4,4,2,4,2,2,4,2,2,1,4,4
"264",4,1,4,2,3,4,1,5,2,5,5,3,0,2,5
"265",5,5,1,5,5,5,5,1,5,5,5,5,1,5,5
"266",4,5,2,2,4,5,4,5,2,4,4,5,4,1,4
"267",4,2,4,1,2,2,2,4,3,4,2,2,2,3,4
"268",1,3,1,1,3,3,4,1,1,3,4,1,1,1,5
"269",3,2,1,3,5,4,2,2,2,4,3,2,2,2,4
"270",1,2,2,1,1,1,3,4,2,4,3,1,1,1,5
"271",2,1,1,1,4,3,2,1,2,5,3,1,2,2,4
"272",4,5,3,3,4,5,4,5,2,4,4,3,5,3,5
"273",5,5,1,4,3,3,3,3,5,3,5,4,3,4,5
"274",2,1,1,1,1,1,1,1,2,1,4,1,1,4,4
"275",4,4,2,2,4,2,4,1,2,4,5,4,3,4,4
"276",4,4,1,1,4,3,4,1,1,4,4,4,1,1,4
"277",5,1,1,4,4,5,1,1,1,5,4,1,1,4,4
"278",1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
"279",4,2,1,4,4,4,1,1,1,4,4,1,1,1,5
"280",3,4,1,2,4,2,1,1,1,4,1,1,1,3,5
"281",1,1,2,1,1,1,1,3,1,2,4,2,1,1,5
"282",1,1,1,1,1,1,2,1,1,1,1,1,1,1,2
"283",5,5,3,3,5,3,4,4,4,4,4,4,4,3,4
"284",2,3,1,2,2,2,3,1,1,4,3,2,1,1,4
"285",4,4,3,4,4,4,4,4,4,4,4,4,3,4,4
"286",1,1,1,1,1,1,1,1,1,5,4,2,1,1,4
"287",4,5,3,4,5,5,4,3,5,5,4,4,3,4,5
"288",4,4,3,4,5,4,3,5,3,5,3,3,4,3,3
"289",4,3,4,4,5,5,2,5,4,5,4,2,4,4,5
"290",5,5,2,3,2,5,3,2,4,3,5,5,1,3,5
"291",5,5,2,4,4,4,5,4,3,5,5,4,3,4,5
"292",5,3,1,3,1,5,4,1,1,3,5,2,1,3,5
"293",5,5,5,5,5,5,5,1,2,5,5,5,1,5,5
"294",2,3,1,1,3,3,3,1,1,5,5,2,1,1,5
"295",5,4,4,5,5,5,5,4,5,5,4,4,4,5,5
"296",4,1,1,1,4,2,1,1,2,3,2,2,1,2,5
"297",5,1,1,1,1,1,1,1,1,1,5,1,1,1,4
"298",4,1,1,1,3,2,1,1,1,3,1,1,1,1,1
"299",3,1,1,1,1,2,1,1,1,1,1,1,1,1,4
"300",5,2,1,1,2,3,2,2,4,4,4,2,1,4,2
"301",5,4,4,1,5,5,1,1,1,5,5,1,1,5,5
"302",5,3,2,3,4,5,3,3,3,4,4,4,2,3,5
"303",3,2,1,3,4,4,2,1,2,5,4,2,1,4,4
"304",5,4,3,4,4,5,4,4,2,4,3,4,3,3,4
"305",1,2,1,1,1,1,2,1,1,2,1,2,1,1,4
"306",4,2,1,1,4,4,2,1,4,1,4,1,1,3,5
"307",5,5,2,4,4,5,5,2,1,5,3,5,1,5,3
"308",4,5,1,3,3,3,4,1,1,3,3,3,1,3,5
"309",5,3,1,1,2,1,1,1,1,1,4,1,1,1,5
"310",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"311",3,3,1,1,2,3,3,1,1,2,2,2,1,2,4
"312",5,5,3,3,2,4,2,3,2,4,4,4,3,1,5
"313",4,3,4,4,4,5,4,5,4,3,2,1,4,2,5
"314",4,5,1,3,5,2,4,1,1,4,4,5,2,5,5
"315",5,5,1,4,5,4,5,1,1,4,4,5,2,2,4
"316",2,4,1,1,2,1,5,1,2,5,2,3,2,3,5
"317",2,4,1,1,1,2,1,1,1,1,4,1,1,2,3
"318",4,3,2,3,3,5,5,4,1,3,3,4,4,3,3
"319",2,2,2,2,4,2,2,4,1,4,4,1,2,4,5
"320",2,2,4,2,4,2,2,5,2,2,4,2,5,2,5
"321",4,5,1,3,4,5,4,4,2,5,4,5,2,5,5
"322",5,3,1,4,5,4,5,4,1,5,3,4,2,2,4
"323",2,4,2,2,4,2,3,3,2,4,2,2,4,4,3
"324",4,1,1,1,4,2,1,1,1,4,4,1,1,2,5
"325",4,2,5,4,5,3,5,4,3,3,4,1,3,4,5
"326",2,1,1,2,3,1,1,1,1,5,4,1,1,2,5
"327",5,5,1,3,4,4,0,1,4,4,3,3,2,3,4
"328",1,1,3,1,1,1,1,4,1,3,4,1,4,1,4
"329",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
"330",1,1,1,2,1,1,1,2,1,5,3,1,2,1,5
"331",2,1,1,2,5,5,2,2,2,4,4,2,3,2,5
"332",4,1,1,1,2,1,1,1,1,5,2,1,1,1,5
"333",3,2,1,1,1,2,1,2,1,2,3,2,1,2,4
"334",3,3,1,1,3,3,1,1,3,3,4,4,1,3,4
"335",2,2,1,1,3,1,1,1,1,3,1,1,1,0,3
"336",4,5,2,2,2,4,2,1,1,4,3,2,3,3,4
"337",5,3,2,4,5,5,2,3,3,2,5,2,4,5,4
"338",2,2,1,5,4,4,0,3,0,2,4,2,1,5,5
"339",3,2,3,4,3,4,2,3,2,5,4,2,2,5,4
"340",4,3,3,3,3,3,3,3,2,3,3,3,3,3,4
"341",4,1,1,4,5,4,1,4,5,5,4,1,1,4,5
"342",3,3,3,3,4,3,3,3,3,4,4,3,3,4,3
"343",2,3,1,1,2,4,2,1,2,4,3,1,1,3,5
"344",4,4,4,4,4,4,4,3,3,4,4,4,2,4,4
"345",5,5,5,3,4,4,2,5,4,4,4,4,5,5,5
"346",1,1,1,4,1,1,1,1,1,1,1,1,1,2,4
"347",3,4,1,2,0,4,5,1,1,4,2,4,1,2,4
"348",3,1,1,2,4,1,2,1,1,2,1,1,1,2,4
"349",5,5,1,2,2,5,5,1,2,5,5,5,1,4,5
"350",1,1,1,1,4,1,3,1,3,4,1,1,1,4,4
"351",5,5,3,3,4,5,3,3,4,5,5,3,3,4,5
"352",4,4,4,5,5,3,5,5,5,4,5,5,5,5,5
"353",1,1,1,1,4,2,1,1,1,1,1,1,1,1,4
"354",3,2,1,1,2,3,2,1,1,5,3,1,2,1,5
"355",5,4,2,2,2,5,4,2,3,5,5,3,2,2,5
"356",5,5,1,3,5,5,5,3,5,5,5,5,3,4,5
"357",3,2,1,1,1,1,5,1,3,4,3,4,2,3,3
"358",3,2,1,2,3,4,2,3,3,5,3,2,2,2,4
"359",1,1,1,1,1,1,1,1,1,2,2,1,1,2,4
"360",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"361",1,1,1,1,4,1,3,1,1,4,2,1,1,1,5
"362",3,4,5,4,5,4,3,4,1,5,5,3,4,5,5
"363",4,1,2,2,3,2,2,2,3,3,2,2,1,4,3
"364",3,1,1,4,4,1,1,1,2,5,4,1,1,4,5
"365",4,4,4,5,4,4,1,3,1,5,4,1,4,5,4
"366",4,1,1,3,2,2,4,1,1,4,4,2,1,1,5
"367",1,3,1,3,4,2,2,2,4,4,2,2,2,4,5
"368",2,1,1,1,4,1,1,1,1,1,1,1,1,1,4
"369",4,2,1,2,2,5,3,2,1,4,5,4,4,5,4
"370",5,4,1,2,4,4,4,1,3,5,3,2,1,2,5
"371",3,4,4,2,4,1,2,4,2,2,3,3,5,5,4
"372",3,3,1,1,3,2,4,1,1,4,3,2,1,1,5
"373",5,4,1,2,2,1,3,3,2,1,4,2,3,4,5
"374",4,1,1,4,5,2,1,1,3,4,5,2,2,4,5
"375",5,4,1,4,5,5,2,1,5,1,5,4,1,5,5
"376",4,2,3,3,4,3,1,5,4,2,1,1,2,4,4
"377",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"378",1,5,1,1,1,1,1,1,3,3,3,3,1,1,3
"379",5,5,2,5,5,5,5,3,4,4,5,4,3,5,5
"380",3,3,1,2,2,1,3,2,0,5,4,3,2,3,5
"381",3,4,3,2,4,3,3,3,3,5,4,4,2,5,5
"382",2,1,1,1,2,1,1,1,1,2,1,1,1,1,2
"383",3,3,1,3,2,3,4,1,1,3,2,4,1,1,5
"384",5,5,2,5,4,5,4,4,5,5,5,5,2,4,5
"385",5,1,3,3,4,1,1,5,1,5,3,1,1,4,5
"386",3,2,4,4,4,3,3,0,4,4,4,3,3,4,4
"387",1,1,1,2,1,1,1,1,1,2,1,1,1,1,1
"388",2,4,1,1,3,4,5,1,1,5,5,1,1,3,5
"389",5,3,4,3,3,4,3,1,1,4,4,3,1,2,5
"390",5,5,3,4,4,5,5,3,5,4,4,3,3,5,5
"391",5,4,4,3,5,4,2,4,2,4,5,4,3,4,5
"392",2,3,2,5,5,4,4,2,2,5,4,3,1,5,5
"393",3,2,3,1,2,2,5,4,2,2,5,4,1,2,5
"394",3,4,3,3,5,2,3,2,3,5,4,4,1,5,5
"395",4,1,1,1,1,3,3,1,1,3,3,3,1,3,4
"396",4,4,1,2,4,4,3,1,3,3,4,4,2,4,5
"397",4,4,2,2,3,3,4,2,1,3,4,4,2,3,4
"398",4,2,5,3,4,4,2,5,4,4,3,2,5,3,5
"399",4,1,3,2,2,4,5,5,2,5,5,5,3,3,5
"400",1,1,1,1,1,1,1,1,1,1,1,1,1,2,4
"401",2,3,1,1,4,1,2,2,2,2,4,5,1,4,5
"402",5,2,5,3,3,5,3,5,1,4,5,3,3,5,5
"403",4,4,2,1,5,5,1,5,4,5,5,1,4,5,5
"404",3,1,1,1,2,1,1,1,1,1,1,1,1,2,3
"405",4,1,2,4,5,3,1,3,1,5,4,1,2,3,5
"406",4,4,1,3,3,4,4,2,3,4,3,3,1,1,4
"407",4,3,5,1,2,3,2,5,4,4,2,2,4,4,4
"408",5,3,1,3,5,5,4,1,2,4,3,4,1,3,5
"409",4,2,1,1,1,1,1,1,1,5,2,1,1,1,5
"410",1,3,3,4,4,4,5,4,4,4,4,4,4,4,4
"411",4,5,4,3,5,2,5,5,4,5,4,5,5,5,5
"412",3,1,1,1,1,4,1,1,1,2,2,1,1,1,4
"413",4,1,1,1,1,1,1,1,1,1,4,1,1,1,1
"414",5,1,1,1,5,1,1,1,1,5,1,1,1,5,5
"415",5,3,1,3,4,3,1,1,3,5,5,3,1,4,5
"416",5,3,3,4,4,5,2,4,2,4,4,4,2,4,5
"417",4,5,2,4,4,4,2,3,1,4,4,2,1,2,4
"418",1,1,1,1,2,1,1,1,1,1,1,2,1,2,2
"419",1,5,2,1,5,1,5,5,0,5,5,5,1,1,5
"420",1,1,1,2,2,1,1,1,1,2,1,1,1,1,2
