month,season,age,temp
Jun,summer-autum,32,3.3
Jun,summer-autum,30,3.2
Jun,summer-autum,31,3.5
Jun,summer-autum,30,4.3
Jun,summer-autum,30,3.1
Jul,summer-autum,33,-0.1
Jul,summer-autum,33,1.3
Jul,summer-autum,33,0.9
Jul,summer-autum,32,2.3
Jul,summer-autum,34,1
Jul,summer-autum,33,0.4
Jul,summer-autum,35,0.5
Jul,summer-autum,33,0.6
Jul,summer-autum,34,0.5
Jul,summer-autum,35,1.3
Jul,summer-autum,33,1.7
Jul,summer-autum,34,-0.4
Jul,summer-autum,31,0.7
Jul,summer-autum,32,-0.4
Jul,summer-autum,34,1.1
Jul,summer-autum,35,0.1
Jul,summer-autum,34,0.6
Jul,summer-autum,32,-1.8
Jul,summer-autum,32,0.5
Jul,summer-autum,33,0.7
Jul,summer-autum,34,0.6
Aug,summer-autum,32,2.5
Aug,summer-autum,33,1.3
Aug,summer-autum,31,2.1
Aug,summer-autum,35,3.5
Aug,summer-autum,33,0.4
Aug,summer-autum,32,2.6
Aug,summer-autum,35,2.6
Aug,summer-autum,31,3.8
Aug,summer-autum,32,2.3
Aug,summer-autum,34,3.1
Aug,summer-autum,32,2.3
Aug,summer-autum,31,3.3
Aug,summer-autum,33,4.4
Aug,summer-autum,30,2.6
Aug,summer-autum,30,2.3
Aug,summer-autum,34,3.3
Aug,summer-autum,33,2.6
Aug,summer-autum,33,3.2
Aug,summer-autum,29,1.6
Aug,summer-autum,35,3.5
Aug,summer-autum,32,1.9
Aug,summer-autum,32,3.4
Aug,summer-autum,33,3.6
Aug,summer-autum,34,2.2
Aug,summer-autum,32,3.1
Aug,summer-autum,32,4
Aug,summer-autum,32,3
Aug,summer-autum,33,2.8
Aug,summer-autum,31,3.6
Aug,summer-autum,31,1.8
Aug,summer-autum,35,2.7
Aug,summer-autum,35,4.3
Aug,summer-autum,31,1.3
Aug,summer-autum,30,3.6
Aug,summer-autum,30,3.6
Aug,summer-autum,33,3.3
Aug,summer-autum,37,3.2
Aug,summer-autum,33,3
Aug,summer-autum,35,3.2
Aug,summer-autum,33,1.3
Aug,summer-autum,32,1.3
Aug,summer-autum,35,1.1
Aug,summer-autum,34,3
Aug,summer-autum,35,2.9
Aug,summer-autum,34,2.9
Sep,summer-autum,32,-0.3
Sep,summer-autum,33,1.2
Sep,summer-autum,33,1.4
Sep,summer-autum,37,-1.5
Sep,summer-autum,32,0.1
Sep,summer-autum,33,-0.3
Sep,summer-autum,31,0.9
Sep,summer-autum,37,-0.1
Sep,summer-autum,35,1.1
Sep,summer-autum,35,0.4
Sep,summer-autum,33,-2.3
Sep,summer-autum,34,1
Sep,summer-autum,33,0.2
Sep,summer-autum,33,-0.9
Sep,summer-autum,34,1.3
Sep,summer-autum,33,1
Sep,summer-autum,36,1.8
Sep,summer-autum,35,1.3
Sep,summer-autum,35,-1.1
Sep,summer-autum,36,-0.9
Sep,summer-autum,36,-1.3
Sep,summer-autum,34,1.5
Sep,summer-autum,33,1.5
Sep,summer-autum,35,0.9
Sep,summer-autum,35,1.4
Sep,summer-autum,33,3.2
Sep,summer-autum,35,0.8
Sep,summer-autum,34,0.6
Sep,summer-autum,32,-0.2
Sep,summer-autum,37,2.2
Sep,summer-autum,32,1.3
Sep,summer-autum,34,0.6
Sep,summer-autum,34,0.2
Sep,summer-autum,30,2.3
Sep,summer-autum,33,0
Sep,summer-autum,36,-0.6
Sep,summer-autum,34,1.2
Sep,summer-autum,35,1.2
Oct,summer-autum,36,2.6
Oct,summer-autum,31,3.5
Oct,summer-autum,35,3.9
Oct,summer-autum,31,1.9
Oct,summer-autum,31,4.2
Oct,summer-autum,34,1.6
Oct,summer-autum,36,2.3
Oct,summer-autum,33,4.2
Oct,summer-autum,35,2.8
Oct,summer-autum,33,2.4
Oct,summer-autum,34,2.7
Oct,summer-autum,34,3
Oct,summer-autum,32,3
Oct,summer-autum,33,2.7
Oct,summer-autum,33,2.3
Oct,summer-autum,32,3.1
Oct,summer-autum,33,2.2
Oct,summer-autum,32,2.5
Oct,summer-autum,31,3.7
Oct,summer-autum,32,2.7
Oct,summer-autum,35,3.2
Oct,summer-autum,34,2.1
Oct,summer-autum,35,2.5
Oct,summer-autum,33,2.7
Oct,summer-autum,33,3.7
Oct,summer-autum,34,2.8
Oct,summer-autum,36,3.8
Oct,summer-autum,34,2.3
Oct,summer-autum,33,1.2
Oct,summer-autum,33,2.7
Oct,summer-autum,35,1.9
Oct,summer-autum,31,2.6
Oct,summer-autum,31,2.3
Oct,summer-autum,34,1.2
Oct,summer-autum,36,3.4
Oct,summer-autum,31,2.4
Oct,summer-autum,32,4.8
Oct,summer-autum,35,2.5
Oct,summer-autum,35,1.5
Oct,summer-autum,36,1.3
Oct,summer-autum,33,3.4
Oct,summer-autum,35,3.1
Oct,summer-autum,33,3.1
Oct,summer-autum,32,2.2
Nov,summer-autum,35,9.4
Nov,summer-autum,32,9.4
Nov,summer-autum,34,9.6
Nov,summer-autum,36,8.6
Nov,summer-autum,33,9
Nov,summer-autum,34,9.1
Nov,summer-autum,33,9.6
Nov,summer-autum,34,9.9
Nov,summer-autum,33,9.3
Nov,summer-autum,35,7.7
Nov,summer-autum,33,7.5
Nov,summer-autum,34,8.2
Nov,summer-autum,32,8.8
Nov,summer-autum,34,8.8
Nov,summer-autum,32,8.7
Nov,summer-autum,34,8
Nov,summer-autum,35,7.2
Nov,summer-autum,31,9.1
Nov,summer-autum,34,10.4
Nov,summer-autum,31,8.3
Nov,summer-autum,32,9.7
Nov,summer-autum,32,8.5
Nov,summer-autum,39,10.1
Nov,summer-autum,32,8.7
Nov,summer-autum,33,9.4
Nov,summer-autum,35,8.3
Nov,summer-autum,33,8.4
Nov,summer-autum,32,8.8
Nov,summer-autum,31,9.8
Nov,summer-autum,33,11
Nov,summer-autum,34,8.9
Nov,summer-autum,36,8.2
Nov,summer-autum,34,8.7
Nov,summer-autum,34,9.2
Nov,summer-autum,33,9.7
Nov,summer-autum,34,7.3
Nov,summer-autum,33,8.3
Nov,summer-autum,31,9.4
Nov,summer-autum,34,9
Nov,summer-autum,33,7.6
Nov,summer-autum,33,9.6
Nov,summer-autum,34,10
Nov,summer-autum,33,9.6
Nov,summer-autum,35,8.5
Nov,summer-autum,33,9.2
Nov,summer-autum,35,8.2
Nov,summer-autum,33,10.5
Nov,summer-autum,35,9
Nov,summer-autum,32,8.1
Dec,summer-autum,31,13.8
Dec,winter-spring,31,12.6
Dec,winter-spring,33,13.5
Dec,winter-spring,32,13.4
Dec,winter-spring,33,12.8
Dec,winter-spring,31,13.3
Dec,winter-spring,33,14
Dec,winter-spring,33,15
Dec,winter-spring,32,13.6
Dec,winter-spring,34,13.2
Dec,winter-spring,32,14.9
Dec,winter-spring,32,13.6
Dec,winter-spring,31,13.5
Dec,winter-spring,33,13.1
Dec,winter-spring,31,14.2
Dec,winter-spring,32,14.1
Dec,winter-spring,36,14.2
Dec,winter-spring,30,13.3
Dec,winter-spring,33,15.3
Dec,winter-spring,33,15.5
Dec,winter-spring,32,14.6
Dec,winter-spring,31,13.6
Dec,winter-spring,31,12.9
Dec,winter-spring,34,14.2
Dec,winter-spring,32,14.1
Dec,winter-spring,33,13.7
Dec,winter-spring,33,12.4
Dec,winter-spring,30,14.4
Dec,winter-spring,31,13.8
Dec,winter-spring,35,13.7
Dec,winter-spring,33,13
Dec,winter-spring,32,14.8
Dec,winter-spring,30,14.3
Dec,winter-spring,31,13.7
Dec,winter-spring,30,15.2
Dec,winter-spring,35,14.9
Dec,winter-spring,32,13.4
Dec,winter-spring,33,13.5
Dec,winter-spring,32,13.4
Dec,winter-spring,31,14.3
Dec,winter-spring,31,13.2
Dec,winter-spring,31,13.7
Dec,winter-spring,35,12.5
Dec,winter-spring,30,15
