frase,tamano,letras,segundos,asignatura,curso
"¬øMa√±ana te llamo, vale?",pareja,25,3,diseños,criminologia
"Adi√≥s, ama",pareja,11,120,diseños,criminologia
test,pareja,4,3,diseños,criminologia
"hala, gero arte.",pareja,16,170,diseños,criminologia
"bai, joan beharra dut",pareja,21,3,diseños,criminologia
gero hitz egingo dugu hortaz,pareja,28,5,diseños,criminologia
"bueno, agur",pareja,11,5,diseños,criminologia
Bale ba ikusiko gera eh,pareja,23,30,diseños,criminologia
adi√≥s que se me va el bus,pareja,26,3,diseños,criminologia
"bai, bihar arte!",pareja,16,10,diseños,criminologia
"Bueno, adi√≥s",pareja,13,2,diseños,criminologia
"Te tengo que dejar, me pasan a buscar en 10 minutos",pareja,51,4,diseños,criminologia
"Adi√≥s, ma√±ana te veo",pareja,22,73,diseños,criminologia
Ikusiko gara,pareja,12,10,diseños,criminologia
 Me tengo que ir que me cierran la tienda,pareja,41,15,diseños,criminologia
Me voy corriendo que no llego al bus,pareja,36,5,diseños,criminologia
"bueno, hasta el jueves entonces",pareja,31,22,diseños,criminologia
agur,pareja,4,3,diseños,criminologia
"Vale, muchas gracias, hasta luego",pareja,33,4,diseños,criminologia
"Bueno, me voy que nos podemos tirar aqu√≠ hasta ma√±ana",pareja,55,120,diseños,criminologia
Me tengo que ir a cenar,pareja,23,60,diseños,criminologia
hasta ma√±ana!',pareja,15,11,diseños,criminologia
Ikusiko gara,pareja,12,15,diseños,criminologia
See you later!,pareja,14,2,diseños,criminologia
I'm a little late to class.,pareja,27,41,diseños,criminologia
Me voy que me est√°n esperando.,pareja,31,34,diseños,criminologia
"Nahikoa prisa daukat, egongo gara bai?",pareja,38,73,diseños,criminologia
"agur, que yo espero aqui",pareja,24,5,diseños,criminologia
"bueno, pues nos vemos ma√±ana",pareja,29,5,diseños,criminologia
"Bueno t√≠as, me voy a ir yendo",pareja,30,17,diseños,criminologia
A: Bueno chicos me voy a ir que mi madre me est√° llamando ya para ir a cenar.,pareja,78,4,diseños,criminologia
"Y: Bueno, ya nos veremos por aqu√≠ cuando saquemos de nuevo a los perros.",pareja,73,27.74,diseños,criminologia
"Juan: Bueno Carla nos vemos ma√±ana, Adi√≥s!
Carla: Esta bien, hasta ma√±ana!",pareja,78,22,diseños,criminologia
"En fin, despu√©s hablamos",pareja,25,13,diseños,criminologia
"Bueno t√≠as, me voy a ir yendo",pareja,30,17,diseños,criminologia
pues quedamos en eso entonces,pareja,29,20,diseños,criminologia
"- Bueno, cuando lo tenga te escribo, quedamos y hablamos del tema
- Muy bien, mantenemos contacto entonces",pareja,107,50,diseños,criminologia
"<span>‚ÄúBueno, pues ya estaremos ¬øno?‚Äù</span>",pareja,49,20,diseños,criminologia
"Venga, nos vamos viendo",pareja,23,4,diseños,criminologia
"Perd√≥n, me tengo que ir a ver a mi abuela, luego te llamo.",pareja,59,24,diseños,criminologia
Despedida,pareja,9,60,diseños,criminologia
Bueno me voy que he quedado con mi madre.,pareja,41,15,diseños,criminologia
"Bueno chicos, creo que me voy a salir de la llamada que es tarde y ma√±ana hay clase.",pareja,85,36,diseños,criminologia
"Bueno, tengo que entrar a preguntar por la mochila",pareja,50,14,diseños,criminologia
"Hasta ma√±ana
Vale, agur",pareja,25,28,diseños,criminologia
bueno me voy a ir yendo que estoy molida,pareja,40,45,diseños,criminologia
"Creo que deber√≠a irme. Perdona, no deber√≠a haber venido.",pareja,58,68,diseños,criminologia
Me tengo que ir ya,pareja,18,15,diseños,criminologia
"venga, nos vemos la semana que viene para tomarnos un caf√©",pareja,59,40,diseños,criminologia
"‚ÄúBueno, agur!‚Äú",pareja,18,20,diseños,criminologia
"Agur chicos, hasta ma√±ana",pareja,26,25,diseños,criminologia
"Ya la verdad que en piso mucho mejor que en la resi, pero t√≠a me voy que llego tard√≠simo a primera.",pareja,101,14,diseños,criminologia
"<span><span>Bueno, yo voy a ir tirando ya que tengo ahora clase</span></span>",pareja,77,54,diseños,criminologia
"Bueno chicos, pasadlo muy bien hoy a la noche, nos vemos ma√±ana",pareja,64,13,diseños,criminologia
<span><span>Bueno t√≠a me voy a imprimir lo de Dise√±os </span></span>,pareja,70,36,diseños,criminologia
"A: Tranquila t√≠a, ya lo hablaremos otro d√≠a m√°s tranquilas.",pareja,62,19,diseños,criminologia
Proxy:Y me voy a mimir,pareja,22,0,diseños,criminologia
Me voy ya chicas,pareja,16,19,diseños,criminologia
A:  Me voy chicas que llego tarde a clase,pareja,41,40,diseños,criminologia
"A: ¬°Ay que no llego al reloj, hija!",pareja,36,27,diseños,criminologia
"Bueno, pues as√≠...",pareja,19,80,diseños,criminologia
Vale,pareja,46,35,diseños,criminologia
"Bueno, pues ya estaremos, no?",pareja,29,39.28,diseños,criminologia
"Bueno, yo me bajo aqu√≠ que he quedado con un colega.",pareja,53,6.84,diseños,criminologia
A-Bueno me voy a ir yendo que se me va el autob√∫s,pareja,50,24,ténicas,psicologia
"Bueno chicas, yo me tengo que ir ya a casa, que tengo que hacer la cena",pareja,71,27,ténicas,psicologia
Chicas me voy que tengo que coger el bus,pareja,40,27,ténicas,psicologia
Bueno t√≠as me las piro ya,pareja,26,20,ténicas,psicologia
Bueno agur.,grupo,11,20,ténicas,psicologia
Agurrrrrr.,grupo,10,30,ténicas,psicologia
"Bueno, chicas...",grupo,16,6,ténicas,psicologia
"¬°Bueno, ma√±ana estamos!",grupo,25,122,ténicas,psicologia
"Bueno, ma√±ana nos vemos.",grupo,25,52,ténicas,psicologia
nos vemos ma√±ana,grupo,17,46,ténicas,psicologia
"Venga, hasta luego",grupo,18,300,ténicas,psicologia
Hasta el viernes.,grupo,17,160,ténicas,psicologia
Agur me voy para casa,grupo,21,24,ténicas,psicologia
¬°Hasta ma√±ana chicas!,grupo,23,30,ténicas,psicologia
"Bueno, agur!",grupo,12,8,ténicas,psicologia
Agur! Estamos ma√±ana,grupo,21,5,ténicas,psicologia
"Agur, me voy ya",grupo,15,24,ténicas,psicologia
Me voy a ir yendo...,grupo,20,152,ténicas,psicologia
"Buenas noches, nos vemos este fin de semana.",grupo,44,120,ténicas,psicologia
"Bueno, ikusiko gara",grupo,19,11,ténicas,psicologia
bueno yo voy a ir que si no me cierran la tienda,grupo,48,145,ténicas,psicologia
"Okay, chao. ¬°Vamos hablando!",grupo,29,690,ténicas,psicologia
"Bueno, me voy que se me ha hecho tardisimo",grupo,42,35,ténicas,psicologia
ya nos veremos,grupo,14,7,ténicas,psicologia
"Bueno, me voy que tengo ingl√©s",grupo,31,4,ténicas,psicologia
"Well, I have to go now.",grupo,23,143,ténicas,psicologia
"Bueno, gero arte.",grupo,17,125,ténicas,psicologia
"bueno, agur",grupo,11,10,ténicas,psicologia
"<span><span>Bueno, tengo que irme a clase.</span></span>",grupo,56,67,ténicas,psicologia
Bueno me voy a ir que tengo que hacer cosas de clase. ¬°Nos vemos un d√≠a de estos!,grupo,83,46,ténicas,psicologia
"Bueno, tengo que irme a clase.",grupo,30,67,ténicas,psicologia
"A: (se levanta del banco en s√≠mbolo de deseo de marcharse): Bueno, pues entonces quedamos ma√±ana por la tarde.",grupo,112,157,ténicas,psicologia
"Pues muy bien cari√±o, p√°salo bien y ven pronto.",grupo,49,170,ténicas,psicologia
"Pues nada, aqu√≠ nos quedamos pues",grupo,34,152,ténicas,psicologia
Bueno me voy a ir que llego tarde a cenar,grupo,41,25,ténicas,psicologia
"Bueno, voy a cortar la llamada",grupo,30,117,ténicas,psicologia
"Bueno, me voy a ir yendo...",grupo,27,420,ténicas,psicologia
Me voy ya que es tarde,grupo,22,1800,ténicas,psicologia
Ondo lo egin! (buenas noches),grupo,29,10,ténicas,psicologia
"Bueno, gu ere bagoaz amonaren etxera (bueno, nosotras tambi√©n nos vamos a casa de la abuela)",grupo,93,15,ténicas,psicologia
"Buenas noches, hasta ma√±ana!!",grupo,30,110,ténicas,psicologia
"Bueno, ya nos veremos.",grupo,22,5,ténicas,psicologia
¬°Nos vemos!,grupo,12,20,ténicas,psicologia
"Bueno, yo me voy pero lo vamos hablando",grupo,39,10,ténicas,psicologia
"Bueno, yo me voy, hasta ma√±ana",grupo,31,23,ténicas,psicologia
"Bueno, nos tenemos que ir ya que se nos hace tarde",grupo,50,210,ténicas,psicologia
Bueno chicos me voy !,grupo,21,300,ténicas,psicologia
"Bueno, yo creo que me voy a ir yendo ya",grupo,39,189,ténicas,psicologia
"Nos vamos al hotel, luego nos vemos",grupo,35,20,ténicas,psicologia
Me voy que tengo que hacer la compra,grupo,36,180,ténicas,psicologia
me voy que tengo que estudiar,grupo,29,232,ténicas,psicologia
"Bueno, os dejo que me est√°n esperando",grupo,38,56,ténicas,psicologia
"Hotza ari naiz pasatzen, etxera joango naiz",grupo,43,60,ténicas,psicologia
"Estoy cansada, me voy a dormir.",grupo,31,1800,ténicas,psicologia
¬øNos movemos?,grupo,14,180,ténicas,psicologia
Yo me voy a ir ya que tengo fr√≠o.,grupo,34,320,ténicas,psicologia
"Vale, ya va siendo hora...",grupo,26,40,ténicas,psicologia
Hasta ma√±ana chicos!,grupo,21,40,ténicas,psicologia
"me voy, que he quedado",grupo,22,600,ténicas,psicologia
Nos vemos luego,grupo,15,128,ténicas,psicologia
"Me acaba de llegar un mensaje de mi aita, me tengo que ir a casa",grupo,64,240,ténicas,psicologia
"Bueno, nosotras ya nos vamos.",grupo,29,260,ténicas,psicologia
me voy que he dicho que llegar√≠a pronto a casa,grupo,47,900,ténicas,psicologia
Terminanos ya,grupo,13,165,ténicas,psicologia
