elkarrizketatua;generoa;kodea;kategoria;testua
Ajla Tomljanović;f;epaiketa teknikoak;evaluacion;the thing is that i lost that second set not by doing much wrong she just played great and i couldn’t dwell too long because i know if i’m not focused for two seconds she will run off with that third set so i just tried to hang in there and take one point at a time
Bianca Andreescu;f;epaiketa teknikoak;evaluacion;yes and no there’s definitely some moments where i’m obviously a bit more nervous than others but you have to learn how to deal with them
Bianca Andreescu;f;epaiketa teknikoak;evaluacion;i was listening to a little bit of drake and a lot of eminem he’s super motivational very inspiring and it always gets me pumped up you are super motivational and inspiring to so many of us come on make some noise so be the north bianca
Casper Ruud;m;epaiketa teknikoak;evaluacion;I think we were playing well um we were whenever someone broke one the other guy seemed to break right away back so it was tough to kind of get the lead and keep going with it because we both want to win obviously and we were sort of uh always always closed on the scoreline so honestly I don’t know but it seemed like the only time I could break him was when I was broken first so that’s not a good sign but uh in the fifth head
Iga Swiatek;f;epaiketa teknikoak;evaluacion;i’m trying to you know adjust to any possible situation uh this season and last season for sure i gained some experience in playing night sessions but um still it’s a totally different rhythm
Iga Swiatek;f;epaiketa teknikoak;evaluacion;even though the conditions aren’t you know perfect for them so i’m yeah trying to kind of find solution in in any situation
Jessica Pegula;f;epaiketa teknikoak;evaluacion;I just maybe got a little tentative in the tie break so I felt like I was playing like better so the third set I just wanted to get out to an early lead and try to stay focused
Nick Kyrgios;m;epaiketa teknikoak;evaluacion;i knew i had to be on my guns today serve well
Novak Djokovic;m;epaiketa teknikoak;evaluacion;all the sets were quite close a few points decided really a winner today
Novak Djokovic;m;epaiketa teknikoak;evaluacion;i don’t think i started off very well i was quite passive i was too far back in the court
Ons Jabeur;f;epaiketa teknikoak;evaluacion;i was playing good you know it’s not like i was playing bad that i had to get my rhythm so uh for me i was waiting for uh for that moment
Ons Jabeur;f;epaiketa teknikoak;evaluacion;the trick with a drop shot is to always uh make it the opposite side of the player running
Rafael Nadal;m;epaiketa teknikoak;evaluacion;i increased a little bit the level today i think uh so that’s important for me no when when the tournament is uh is keep going i am able to to rise a little bit to raise a little bit the level
Casper Ruud;m;positibotasuna;actitud;I’m of course enjoying the moment and it’s a nice situation to be and uh I don’t feel any pressure I I used it as motivation
Casper Ruud;m;positibotasuna;actitud;I know there are many tough matches and many more sets that needs to be played in one but uh it’s nice to meet the situation
Iga Swiatek;f;positibotasuna;actitud;well you know i’m just trying to enjoy um any match even even when i’m not playing perfectly i’m trying to just you know go
Nick Kyrgios;m;positibotasuna;actitud;i’m really excited to play medev
Ons Jabeur;f;positibotasuna;actitud;i’m just enjoying playing tennis and uh i started in in like a very very small tennis clubs and so to be able to play here one day it’s unbelievable
Rafael Nadal;m;positibotasuna;actitud;let’s see if i am able to to play a little bit better and i hope to give myself a chance to keep going
Ajla Tomljanović;f;arerioari errespetua;relaciones;i love sereno just as much as you guys do and what she’s done for me for the sport of tennis is incredible and i never thought that i’d have a chance to play her in in her last match when i remember watching her as a kid in all those finals so this is a surreal moment for me
Ajla Tomljanović;f;arerioari errespetua;relaciones;that’s just who she is and she’s the greatest of all time period she threw everything at you even down 5-1
Ajla Tomljanović;f;arerioari errespetua;relaciones;we know how special serena is to you can you describe what she means to everybody else
Ajla Tomljanović;f;arerioari errespetua;relaciones;i think she’s embodies that no dream is too big and doesn’t matter where you come from
Ajla Tomljanović;f;arerioari errespetua;relaciones;i will definitely miss seeing her on the courts it will not be the same
Bianca Andreescu;f;arerioari errespetua;relaciones;she played like she was top 10 and i’m sure she’s going to get there she’s an incredible player
Iga Swiatek;f;arerioari errespetua;relaciones;she played pretty smart
Jannik Sinner;m;arerioari errespetua;relaciones;it was a very very tough match against him for me was the first time that we play against so i didn’t know exactly what to expect but i knew that i had to play very very well and i raised my level
Jessica Pegula;f;arerioari errespetua;relaciones;she was swinging pretty free today
Jessica Pegula;f;arerioari errespetua;relaciones;after second serve but I could tell she was maybe a little bit tired um you know she’s played a lot of matches the last couple weeks
Jessica Pegula;f;arerioari errespetua;relaciones;what she’s done for the game is incredible
Jessica Pegula;f;arerioari errespetua;relaciones;I played her last two years ago I think um so gonna be tough
Nick Kyrgios;m;arerioari errespetua;relaciones;i know you appreciate what she’s done for the sport what you were trying to do in your own unique way
Nick Kyrgios;m;arerioari errespetua;relaciones;nadal serena federer novak these these are once in generation athletes and i wouldn’t even put myself in the same category
Nick Kyrgios;m;arerioari errespetua;relaciones;i just appreciate what she’s done i’m sure everyone in this building uh does as well
Novak Djokovic;m;arerioari errespetua;relaciones;big credit to 2k who played on a very very high level today tough luck for him
Novak Djokovic;m;arerioari errespetua;relaciones;i always knew that he he possesses a lot of quality he’s been on the tour for quite a few years but uh i must say that he he did surprise me um with his level today he was he was playing very quick it was it was uh it was tough you know even though i won
Novak Djokovic;m;arerioari errespetua;relaciones;all the sets were quite close a few points decided really a winner today so you know a huge congratulations for the great fight to him
Novak Djokovic;m;arerioari errespetua;relaciones;he was dictating the play i was still trying to find find the rhythm find the tempo obviously he played much quicker and more aggressive than than my opponents in the opening rounds
Novak Djokovic;m;arerioari errespetua;relaciones;i think he’s a very intelligent player he uses the court very well
Novak Djokovic;m;arerioari errespetua;relaciones;is one of the best players in the world this year
Ons Jabeur;f;arerioari errespetua;relaciones;shelby plays really well
Rafael Nadal;m;arerioari errespetua;relaciones;i wish him all the very best
Rafael Nadal;m;arerioari errespetua;relaciones;he’s a great player no he’s very charismatic uh very fast he can play very aggressive
Ajla Tomljanović;f;ahalegin pertsonala;evaluacion;you can do anything if you believe in yourself you love what you do and you have an incredible support system and family around you
Bianca Andreescu;f;ahalegin pertsonala;evaluacion;i’m very happy with my performance today it hasn’t been an easy last couple months and for me to perform like this
Casper Ruud;m;ahalegin pertsonala;evaluacion;very tough match like everyone saw
Casper Ruud;m;ahalegin pertsonala;evaluacion;I played some of my best tennis this year and the best tennis I played this tournament and very happy that uh everything went my way in the fifth set
Casper Ruud;m;ahalegin pertsonala;evaluacion;it’s not every day that you surpass four hours on court playing the match so but that’s what we trained for
Jannik Sinner;m;ahalegin pertsonala;evaluacion;you have to stay positive we we work very hard also in the practice sessions with with this kind of uh um yeah emotions
Novak Djokovic;m;ahalegin pertsonala;evaluacion;i was determined i was concentrated and that’s what matters in the end
Ons Jabeur;f;ahalegin pertsonala;evaluacion;i’m very happy that i kept fighting and went till the end
Rafael Nadal;m;ahalegin pertsonala;evaluacion;i need to to keep improving to keep playing better and better to to have chances to to go through
Rafael Nadal;m;ahalegin pertsonala;evaluacion;i have a day to keep practicing uh hopefully a victory like today helps me to to grow in the level of tennis level of confidence
