"occupation","house_count"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"Politicians","3 or More Houses"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","1 House"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","2 Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
"General Population","3 or More Houses"
