"gender","education_level"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"female","PhD"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","high school"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","bachelor"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","master"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
"male","PhD"
