coupleID,activity,who
358,washing,together
359,dinner,woman
361,home_policy,man
362,home_policy,together
363,dinner,woman
364,dishes,woman
365,home_policy,man
367,amends,alternatively
370,driving,man
372,washing,alternatively
373,driving,alternatively
374,lunch,woman
376,lunch,woman
377,amends,man
378,washing,woman
379,dishes,together
380,lunch,woman
381,driving,man
383,finance,woman
384,washing,alternatively
386,dinner,woman
387,amends,man
389,lunch,woman
390,home_policy,man
391,dinner,together
392,dinner,woman
393,shopping,man
394,lunch,alternatively
395,home_policy,man
396,finance,man
398,lunch,woman
399,driving,alternatively
400,home_policy,man
401,lunch,woman
402,washing,woman
403,home_policy,together
404,amends,man
407,lunch,woman
408,lunch,woman
410,shopping,together
411,lunch,woman
412,home_policy,together
413,home_policy,together
414,dishes,together
416,lunch,woman
417,dinner,woman
418,lunch,alternatively
419,driving,man
420,lunch,woman
421,finance,together
422,lunch,alternatively
423,home_policy,together
425,lunch,woman
426,dishes,together
427,dishes,together
429,finance,together
430,dinner,woman
431,dinner,woman
433,shopping,woman
434,shopping,together
435,driving,man
436,washing,alternatively
437,home_policy,man
438,dinner,woman
439,finance,man
440,dinner,woman
441,dinner,together
442,amends,man
443,amends,man
444,amends,man
445,home_policy,together
446,lunch,woman
447,driving,man
448,dinner,woman
449,driving,alternatively
450,home_policy,together
451,lunch,woman
452,home_policy,together
453,home_policy,together
454,lunch,woman
457,dinner,woman
458,driving,man
459,home_policy,woman
460,finance,together
461,lunch,alternatively
462,lunch,woman
463,dinner,woman
464,washing,woman
465,shopping,together
467,dishes,woman
468,home_policy,together
469,lunch,alternatively
470,home_policy,man
472,amends,man
473,dinner,woman
475,amends,man
476,lunch,woman
478,lunch,woman
479,dinner,woman
480,lunch,woman
481,driving,alternatively
482,dishes,woman
483,home_policy,together
484,dishes,together
485,amends,man
487,dishes,together
488,dishes,woman
489,finance,man
491,finance,woman
494,amends,man
495,home_policy,together
497,dishes,together
498,driving,man
499,lunch,woman
500,lunch,woman
501,driving,man
502,amends,man
505,lunch,woman
507,washing,together
508,shopping,together
509,lunch,woman
512,amends,man
513,lunch,alternatively
514,washing,together
516,lunch,alternatively
517,lunch,woman
518,lunch,woman
519,dishes,woman
520,amends,man
521,shopping,together
522,washing,together
523,amends,man
524,amends,man
525,dinner,woman
526,lunch,woman
527,lunch,woman
530,washing,woman
531,lunch,woman
532,driving,man
533,dishes,together
534,washing,together
535,lunch,woman
536,lunch,woman
538,lunch,woman
539,lunch,alternatively
541,home_policy,man
542,lunch,woman
544,home_policy,together
546,lunch,alternatively
547,driving,man
548,lunch,woman
549,lunch,man
551,amends,man
553,home_policy,together
554,lunch,alternatively
555,washing,woman
556,home_policy,together
557,dinner,woman
558,dishes,woman
559,driving,woman
560,shopping,together
561,driving,man
562,finance,together
563,home_policy,together
564,home_policy,together
565,lunch,woman
566,dinner,woman
567,dishes,together
568,home_policy,man
569,dinner,woman
570,finance,alternatively
571,finance,together
572,lunch,woman
573,driving,man
574,amends,man
575,washing,woman
576,lunch,woman
577,lunch,man
578,lunch,woman
579,lunch,woman
580,lunch,woman
582,washing,together
583,lunch,woman
586,lunch,woman
587,dishes,together
589,lunch,alternatively
590,amends,man
591,shopping,together
592,driving,alternatively
593,driving,man
594,lunch,woman
595,finance,together
597,driving,man
599,dinner,woman
600,dishes,together
601,dishes,together
602,washing,woman
604,home_policy,woman
605,shopping,together
606,dinner,woman
607,amends,man
609,lunch,alternatively
612,lunch,woman
613,driving,man
615,amends,man
616,finance,woman
617,amends,man
620,lunch,woman
621,amends,man
623,lunch,woman
624,washing,together
625,amends,man
626,finance,together
627,lunch,woman
628,finance,together
629,lunch,woman
630,driving,man
631,finance,together
632,driving,man
633,lunch,woman
634,amends,man
635,finance,woman
636,dinner,woman
638,driving,alternatively
639,amends,man
640,shopping,together
641,driving,alternatively
642,dinner,together
644,driving,woman
645,finance,together
646,amends,man
647,driving,alternatively
649,lunch,woman
650,driving,man
651,dishes,together
652,washing,together
653,amends,man
654,lunch,woman
655,home_policy,together
656,home_policy,man
657,lunch,woman
658,dishes,woman
660,amends,man
661,washing,woman
662,dinner,woman
663,amends,man
664,lunch,woman
665,lunch,man
667,driving,man
668,home_policy,together
669,amends,together
670,dinner,woman
671,driving,man
672,dinner,woman
673,finance,together
674,lunch,woman
676,dinner,together
677,lunch,woman
678,driving,man
680,lunch,man
681,dishes,together
682,washing,together
683,shopping,man
686,washing,together
687,lunch,woman
689,lunch,woman
690,washing,together
692,lunch,woman
693,washing,woman
694,home_policy,together
695,driving,together
696,lunch,man
697,lunch,woman
698,lunch,woman
700,home_policy,together
702,dishes,together
703,dinner,woman
704,home_policy,together
705,amends,man
706,dishes,together
707,home_policy,together
708,lunch,woman
709,lunch,woman
710,lunch,man
711,lunch,woman
712,home_policy,together
714,lunch,woman
715,lunch,alternatively
717,washing,woman
718,lunch,woman
721,shopping,together
722,lunch,woman
723,amends,man
724,amends,man
725,lunch,woman
726,lunch,woman
727,washing,woman
728,lunch,woman
729,dinner,woman
731,home_policy,woman
732,home_policy,man
734,lunch,woman
735,lunch,alternatively
736,lunch,alternatively
737,lunch,woman
738,driving,alternatively
740,driving,alternatively
741,dishes,together
742,driving,man
743,lunch,alternatively
744,lunch,woman
745,home_policy,man
746,driving,alternatively
748,lunch,woman
749,dishes,together
750,amends,man
751,driving,man
752,shopping,woman
753,amends,man
754,finance,alternatively
755,lunch,woman
756,home_policy,together
757,lunch,woman
758,home_policy,together
759,finance,together
760,dinner,together
761,finance,together
762,dinner,woman
765,finance,woman
766,lunch,alternatively
767,washing,together
769,amends,man
770,washing,woman
772,shopping,together
773,amends,man
774,amends,man
778,lunch,woman
779,dishes,together
782,dinner,alternatively
783,amends,man
784,amends,man
787,finance,man
789,amends,man
790,home_policy,together
791,dishes,together
792,home_policy,together
793,finance,together
794,dishes,woman
795,home_policy,woman
796,washing,woman
798,driving,man
799,lunch,woman
801,driving,alternatively
802,home_policy,together
803,dinner,alternatively
804,driving,man
805,home_policy,man
806,driving,man
807,washing,woman
808,driving,alternatively
809,lunch,man
812,amends,man
813,home_policy,together
814,driving,man
815,lunch,woman
816,shopping,woman
817,dinner,woman
818,dinner,woman
819,dinner,man
820,finance,man
821,home_policy,alternatively
822,amends,man
823,lunch,woman
825,driving,man
826,finance,together
827,amends,man
829,lunch,together
830,driving,alternatively
831,shopping,together
832,amends,man
833,dinner,woman
834,lunch,woman
835,lunch,woman
836,dishes,together
837,home_policy,man
838,home_policy,man
839,amends,man
840,washing,together
841,amends,man
842,home_policy,man
843,lunch,woman
844,washing,woman
845,home_policy,together
846,dinner,woman
847,amends,man
849,driving,man
850,driving,alternatively
852,lunch,woman
853,washing,woman
854,dinner,woman
856,amends,man
857,dinner,alternatively
858,finance,man
859,home_policy,together
860,dinner,woman
861,amends,man
862,driving,man
863,washing,woman
866,home_policy,together
868,lunch,alternatively
869,washing,woman
871,dinner,together
872,shopping,man
873,amends,man
875,amends,man
876,driving,man
877,washing,woman
878,lunch,woman
879,lunch,woman
880,lunch,woman
881,dinner,woman
882,lunch,woman
883,dinner,woman
885,finance,together
886,washing,together
887,amends,man
890,shopping,man
891,finance,together
892,finance,together
893,home_policy,man
894,lunch,woman
895,home_policy,together
896,shopping,together
898,lunch,alternatively
899,dishes,together
900,washing,together
902,amends,man
903,shopping,woman
904,washing,alternatively
905,amends,man
906,driving,alternatively
907,washing,woman
908,lunch,woman
911,amends,man
912,dinner,woman
913,driving,alternatively
914,shopping,together
915,driving,man
916,shopping,woman
917,washing,woman
918,home_policy,man
919,lunch,woman
920,washing,woman
921,lunch,woman
922,dinner,woman
923,driving,man
924,amends,man
925,lunch,woman
926,lunch,woman
927,home_policy,man
928,washing,woman
929,lunch,woman
930,dishes,woman
931,driving,man
933,lunch,alternatively
934,home_policy,man
935,amends,man
936,home_policy,man
937,shopping,together
938,shopping,together
939,home_policy,man
940,dishes,together
941,lunch,woman
942,shopping,together
943,shopping,together
944,lunch,woman
946,shopping,woman
948,lunch,woman
949,driving,woman
950,driving,man
951,dinner,woman
952,dishes,woman
953,lunch,alternatively
954,driving,man
956,driving,man
958,lunch,woman
959,lunch,woman
960,amends,man
961,finance,together
962,driving,alternatively
963,lunch,alternatively
964,shopping,together
965,dinner,woman
966,lunch,together
967,dishes,together
968,dishes,woman
969,dishes,together
970,finance,together
971,washing,woman
972,shopping,together
973,dinner,woman
974,dishes,together
975,home_policy,woman
976,finance,together
978,lunch,man
979,lunch,woman
980,driving,man
981,lunch,woman
982,lunch,woman
983,lunch,woman
984,home_policy,together
986,finance,together
988,shopping,man
989,finance,together
990,dinner,woman
991,lunch,woman
992,lunch,man
995,dinner,woman
996,amends,man
997,home_policy,man
998,shopping,together
1000,lunch,woman
1001,driving,alternatively
1002,amends,man
1003,home_policy,together
1004,dishes,woman
1005,driving,man
1006,home_policy,man
1007,washing,alternatively
1008,shopping,man
1009,driving,man
1010,home_policy,man
1011,driving,man
1012,lunch,together
1013,home_policy,woman
1014,home_policy,woman
1015,dishes,together
1016,lunch,woman
1017,driving,man
1018,driving,alternatively
1019,home_policy,man
1022,amends,man
1023,driving,alternatively
1024,finance,together
1025,home_policy,man
1026,home_policy,together
1028,amends,man
1029,home_policy,man
1033,shopping,together
1034,amends,alternatively
1035,finance,woman
1036,driving,man
1038,lunch,woman
1039,shopping,together
1042,finance,together
1043,washing,together
1044,shopping,together
1045,lunch,woman
1046,dinner,woman
1047,lunch,woman
1048,lunch,together
1049,finance,man
1050,finance,man
1052,finance,together
1053,washing,together
1054,home_policy,together
1055,lunch,man
1056,lunch,alternatively
1057,finance,together
1058,lunch,alternatively
1060,home_policy,together
1061,washing,together
1065,home_policy,man
1066,washing,woman
1068,home_policy,together
1069,amends,man
1070,amends,man
1071,washing,together
1073,dishes,together
1074,dinner,woman
1077,driving,man
1078,lunch,alternatively
1079,dishes,woman
1080,dishes,woman
1081,dinner,woman
1082,driving,alternatively
1083,lunch,alternatively
1084,dinner,woman
1085,lunch,alternatively
1087,amends,man
1088,dishes,man
1090,washing,together
1091,finance,together
1092,lunch,alternatively
1093,lunch,woman
1095,lunch,woman
1096,home_policy,together
1097,amends,man
1100,home_policy,man
1101,dinner,alternatively
1102,lunch,man
1103,lunch,woman
1104,finance,together
1105,washing,together
1106,amends,man
1107,amends,man
1109,washing,together
1110,amends,man
1112,dinner,woman
1113,home_policy,together
1114,dishes,woman
1115,dinner,alternatively
1116,lunch,woman
1118,amends,man
1119,amends,man
1120,amends,man
1121,lunch,alternatively
1122,washing,woman
1123,shopping,man
1124,amends,man
1125,shopping,together
1126,lunch,woman
1127,washing,together
1128,lunch,woman
1130,lunch,man
1131,washing,together
1132,dinner,together
1133,driving,man
1134,dinner,woman
1135,home_policy,together
1136,finance,together
1137,amends,man
1138,shopping,together
1139,finance,together
1140,dishes,together
1142,shopping,together
1144,dishes,together
1145,finance,alternatively
1147,lunch,woman
1148,dinner,woman
1150,washing,woman
1151,washing,together
1152,lunch,alternatively
1153,home_policy,man
1154,dinner,together
1155,amends,man
1156,amends,man
1157,driving,man
1158,finance,together
1159,finance,woman
1160,amends,man
1161,lunch,together
1162,amends,man
1163,driving,alternatively
1164,washing,together
1165,dishes,together
1166,lunch,woman
1167,lunch,woman
1168,driving,woman
1169,amends,man
1171,dishes,woman
1172,washing,woman
1173,lunch,woman
1174,amends,man
1175,amends,man
1176,lunch,alternatively
1177,driving,man
1178,driving,alternatively
1179,dinner,woman
1180,dinner,woman
1181,dishes,woman
1183,lunch,woman
1184,dishes,together
1185,shopping,woman
1188,home_policy,man
1189,dishes,woman
1190,home_policy,together
1191,home_policy,together
1192,finance,alternatively
1193,lunch,woman
1194,amends,man
1195,driving,alternatively
1197,finance,together
1198,lunch,together
1199,amends,alternatively
1200,driving,man
1201,dinner,alternatively
1202,lunch,alternatively
1203,amends,man
1204,amends,man
1206,finance,together
1207,lunch,woman
1208,dishes,man
1209,dinner,woman
1210,home_policy,man
1211,amends,man
1214,dishes,together
1215,lunch,woman
1216,driving,man
1217,driving,alternatively
1218,washing,woman
1219,lunch,woman
1220,dishes,woman
1222,washing,woman
1223,shopping,together
1224,dinner,alternatively
1226,shopping,woman
1227,washing,woman
1228,lunch,woman
1229,driving,man
1230,lunch,woman
1231,amends,man
1232,driving,alternatively
1233,amends,man
1234,lunch,man
1235,dinner,man
1236,amends,man
1237,driving,man
1238,washing,woman
1239,driving,alternatively
1240,amends,man
1242,washing,together
1243,dinner,woman
1246,lunch,woman
1247,lunch,woman
1248,lunch,woman
1249,home_policy,man
1250,finance,woman
1251,dinner,together
1252,amends,man
1253,washing,together
1254,amends,man
1255,home_policy,man
1257,dinner,woman
1258,dinner,woman
1259,dinner,woman
1260,lunch,woman
1261,dishes,together
1262,driving,man
1263,washing,man
1264,lunch,together
1265,home_policy,together
1266,shopping,together
1267,driving,alternatively
1268,finance,together
1269,home_policy,together
1270,lunch,woman
1272,shopping,together
1273,home_policy,together
1274,washing,woman
1275,finance,together
1276,dinner,woman
1277,lunch,woman
1278,amends,man
1279,driving,man
1280,driving,woman
1282,lunch,woman
1283,dinner,together
1284,lunch,alternatively
1285,amends,man
1286,washing,together
1287,finance,together
1288,amends,man
1289,lunch,woman
1290,home_policy,together
1291,home_policy,man
1292,amends,man
1294,shopping,man
1295,amends,man
1296,lunch,woman
1298,lunch,alternatively
1299,dishes,woman
1300,home_policy,man
1301,amends,man
1302,washing,woman
1303,finance,man
1304,washing,together
1305,shopping,man
1306,washing,alternatively
1307,lunch,woman
1308,dinner,woman
1309,home_policy,together
1310,lunch,woman
1311,shopping,together
1312,lunch,woman
1314,shopping,woman
1315,driving,man
1316,lunch,woman
1317,home_policy,man
1319,dinner,woman
1320,driving,alternatively
1321,dishes,man
1323,dinner,man
1325,washing,alternatively
1327,finance,man
1328,finance,man
1329,washing,woman
1332,home_policy,together
1333,lunch,woman
1334,lunch,alternatively
1335,driving,alternatively
1336,finance,man
1337,shopping,together
1338,lunch,woman
1339,amends,man
1340,lunch,woman
1341,washing,together
1342,washing,together
1345,washing,together
1346,amends,man
1348,home_policy,together
1349,lunch,woman
1350,lunch,alternatively
1351,home_policy,together
1352,amends,man
1353,lunch,woman
1354,lunch,alternatively
1355,home_policy,together
1356,amends,man
1357,home_policy,man
1358,finance,alternatively
1359,shopping,woman
1360,finance,together
1361,lunch,alternatively
1362,lunch,woman
1364,finance,together
1365,shopping,together
1366,amends,man
1367,driving,man
1368,home_policy,together
1369,lunch,woman
1371,washing,together
1372,lunch,together
1373,amends,man
1374,driving,alternatively
1375,amends,man
1376,dinner,woman
1377,amends,man
1378,finance,man
1379,driving,alternatively
1380,driving,man
1381,amends,man
1382,shopping,together
1383,lunch,woman
1384,lunch,man
1386,washing,together
1387,lunch,woman
1388,lunch,woman
1390,home_policy,together
1391,amends,man
1392,amends,man
1393,amends,man
1394,shopping,woman
1395,driving,alternatively
1396,finance,alternatively
1397,washing,together
1398,dinner,man
1399,lunch,woman
1400,lunch,alternatively
1401,finance,man
1402,washing,together
1403,shopping,woman
1404,finance,woman
1405,shopping,together
1406,lunch,woman
1409,dishes,woman
1410,washing,together
1411,lunch,alternatively
1412,finance,man
1413,shopping,woman
1414,dinner,woman
1415,amends,man
1416,amends,man
1417,shopping,together
1418,shopping,together
1420,dinner,man
1421,finance,together
1422,washing,woman
1423,lunch,man
1424,amends,man
1425,home_policy,man
1426,amends,man
1427,lunch,woman
1429,dinner,woman
1430,home_policy,man
1431,finance,man
1434,lunch,woman
1435,dishes,together
1436,lunch,woman
1438,amends,man
1439,lunch,man
1440,dinner,man
1441,washing,woman
1442,washing,together
1446,driving,alternatively
1447,driving,alternatively
1448,driving,man
1449,driving,together
1450,shopping,together
1451,amends,man
1452,shopping,together
1453,amends,together
1455,finance,alternatively
1457,lunch,woman
1458,amends,man
1460,home_policy,together
1461,driving,woman
1462,washing,together
1463,driving,alternatively
1464,shopping,together
1465,driving,woman
1466,amends,man
1467,lunch,woman
1469,lunch,woman
1470,dishes,together
1471,dishes,together
1472,lunch,alternatively
1473,lunch,woman
1474,washing,woman
1475,amends,man
1476,driving,man
1477,lunch,together
1478,driving,alternatively
1479,finance,together
1480,amends,man
1481,lunch,woman
1482,amends,man
1483,finance,together
1484,finance,man
1485,washing,woman
1486,home_policy,together
1487,amends,man
1488,home_policy,man
1489,dishes,woman
1490,washing,woman
1491,finance,together
1492,driving,man
1494,finance,together
1496,amends,man
1497,shopping,together
1498,lunch,woman
1500,shopping,together
1501,amends,man
1503,washing,together
1505,driving,alternatively
1506,washing,together
1507,lunch,woman
1508,washing,woman
1510,dinner,woman
1511,home_policy,man
1512,lunch,woman
1513,finance,together
1514,driving,alternatively
1515,lunch,alternatively
1516,driving,alternatively
1517,lunch,woman
1518,shopping,together
1519,finance,together
1520,home_policy,together
1521,finance,together
1522,dishes,together
1523,lunch,woman
1524,home_policy,together
1525,dishes,together
1526,washing,together
1527,home_policy,together
1528,lunch,woman
1529,lunch,woman
1530,washing,together
1531,washing,together
