id,document,tag,content
85,gori,raza-etnicidad,"Dejé de tratar de ocultar mi lado indio a mis amigos blancos, incluso l evándolos a espectáculos culturales y obsequiándolos con nuevos alimentos. A amigos indios, les presioné y les mostré que sí, yo era ""estadounidense"", pero aún así, me mantenía en contacto con mi cultura yendo a la escuela dominical, continuado aprendiendo hindi y demostrándoles que no estaba tan ""confundida"" como pensaban. Me volví más consciente de mi entorno y comencé a educar a mis amigos blancos ya mis amigos indios en cambiar sus percepciones. Dicho eso, también acepté que no necesitaba que los demás me aceptaran, y que mientras entendiera que era una sudasiática americana de primera generación, sabía a dónde pertenecía."
48,gori,Amigos,"A amigos indios, les presioné y les mostré que sí, yo era ""estadounidense"", pero aún así, me mantenía en contacto con mi cultura yendo a la escuela dominical, continuado aprendiendo hindi y demostrándoles que no estaba tan ""confundida"" como pensaban"
48,gori,lucha o acción educativa,"A amigos indios, les presioné y les mostré que sí, yo era ""estadounidense"", pero aún así, me mantenía en contacto con mi cultura yendo a la escuela dominical, continuado aprendiendo hindi y demostrándoles que no estaba tan ""confundida"" como pensaban"
49,gori,Amigos,Me volví más consciente de mi entorno y comencé a educar a mis amigos blancos ya mis amigos indios en cambiar sus percepciones.
36,Etijazz.pdf,Familia,Mis padres me enseñaron quién soy. Inculcaron un sentido de orgul o por mi ascendencia y mi cultura a través de historias. Mi padre me contó acerca de mi bisabuelo que se escapó de la iglesia para continuar su educación y luego fue encarcelado en Italia cuando los italianos l egaron a colonizar Etiopía.
37,Etijazz.pdf,Familia,"Mi madre me hablaba sobre la fuerza de la matriarca de su familia, enfatizando que no importa qué o quién se interponga en nuestro camino, nos hemos mantenido sensatos y unidos."
38,Etijazz.pdf,Familia,"Mis tías y tíos me hablaban sobre los diferentes reyes y reinas etíopes. Sentada en medio de sonidos instrumentales de jazz etíope y olores de café recién tostado, absorbí estas historias cuando era niña. Los elementos de cada historia se mezclaron con la definición de quién era yo. Como hija, como etíope, estas historias fueron la base de cómo enmarqué mi narrativa."
57,Etijazz.pdf,experiencia immigracion,"Cuando mi familia se mudó a Kenia, me resultó natural representarme a mí misma a través de mi cultura. Había tantos estudiantes diferentes de varios países africanos en mi clase que evocamos formas de entrelazar nuestras respectivas tradiciones. Nuestras identidades nunca se definieron por el color de la piel sino por los orígenes; nos reíamos en diferentes idiomas, tomando prestadas palabras cuando nuestro propio idioma era insuficiente para expresar un sentimiento. Crecimos en esta interconexión, aprendiendo todos de todos."
14,Etijazz.pdf,Sentirse etiquetado:,Pero Estados Unidos abandonó todas mis otras identidades y me enseñó que soy negra.
14,Etijazz.pdf,experiencia immigracion,Pero Estados Unidos abandonó todas mis otras identidades y me enseñó que soy negra.
59,Etijazz.pdf,experiencia immigracion,Pero Estados Unidos abandonó todas mis otras identidades y me enseñó que soy negra. Fue sutil y rápido. Sucedió a través de una serie de pequeños incidentes en mis primeros días de orientación universitaria en Houston.
15,Etijazz.pdf,Sentirse etiquetado:,"Esperando pacientemente a que el a explicara porque lo preguntaba. “Oh, eres la primera persona negra que he conocido que no tiene voz para cantar”. Esta no solo fue la primera vez que alguien me etiquetó como negra, sino también la primera vez que me di cuenta de las expectativas que vienen con la raza y el origen étnico."
16,Etijazz.pdf,Sentirse etiquetado:,"Dije: “Mi beca paga la mayor parte de mi matrícula”. Él respondió: “Guau, tienes tanta suerte de ser negra. Desearía ser negro para que me consideraran para tales becas”. Dado que mi beca se basaba en el mérito, me preguntaba por qué hacía esos paralelismos con mi raza, una raza con la que aún no había aprendido a identificarme"
72,Etijazz.pdf,,"Dije: “Mi beca paga la mayor parte de mi matrícula”. Él respondió: “Guau, tienes tanta suerte de ser negra. Desearía ser negro para que me consideraran para tales becas”. Dado que mi beca se basaba en el mérito, me preguntaba por qué hacía esos paralelismos con mi raza, una raza con la que aún no había aprendido a identificarme. Fue solo un comentario casual para él, pero dio forma a mis cuatro años en esa escuela. Innumerables veces, dudé si merecía estar allí."
17,Etijazz.pdf,Sentirse etiquetado:,"Mi compañera de cuarto señala esto, enmarcándolo como algo negativo e insinuando que todos los negros son ruidosos. Recordando mi nueva identidad, dije: ""Pero soy negra y no soy ruidosa"". El a respondió: “Sí, pero no eres como una verdadera persona negra. Eres como una persona negra blanca”. El a me sonrió. Su tono sugirió que se suponía que debía tomar esto como un cumplido. No lo hice."
18,Etijazz.pdf,sentirse en la mitad,"Fue entonces cuando descubrí lo degradante que es que otros definan mi identidad por mí. Fue entonces cuando entendí que aquí la gente te dice lo que eres. Aquí, blanco es ""bueno"" y negro es ""malo"" y yo era negro."
58,Etijazz.pdf,lucha o acción educativa,"Aquí, blanco es ""bueno"" y negro es ""malo"" y yo era negro. Y este fue el punto en el que me negué a dejar que sucediera de nuevo."
75,Etijazz.pdf,Sentirse etiquetado:,"Aquí, blanco es ""bueno"" y negro es ""malo"" y yo era negro. Y este fue el punto en el que me negué a dejar que sucediera de nuevo."
75,Etijazz.pdf,raza-etnicidad,"Aquí, blanco es ""bueno"" y negro es ""malo"" y yo era negro. Y este fue el punto en el que me negué a dejar que sucediera de nuevo."
75,Etijazz.pdf,discriminacion,"Aquí, blanco es ""bueno"" y negro es ""malo"" y yo era negro. Y este fue el punto en el que me negué a dejar que sucediera de nuevo."
76,Etijazz.pdf,lucha o acción educativa,Y este fue el punto en el que me negué a dejar que sucediera de nuevo.
19,Etijazz.pdf,raza-etnicidad,"Me di cuenta de que aquí, la gente me ve como una sola unidad, sin saber del ejército que tengo detrás de mí, sin saber de los ancestros sobre cuyos hombros me apoyo, sin saber de los padres, hermanos, tías y tíos que sacrificaron tanto para que yo esté aquí. Quizás por eso se toman a la ligera mi identidad, me pegan etiquetas a las que no les di permiso."
73,Etijazz.pdf,raza-etnicidad,"O tal vez les permití hacer esto cuando contorsioné mi nombre en sonidos que son más agradables a sus lenguas o permanecí en silencio ante sus ""cumplidos""."
39,Etijazz.pdf,,"Las microagresiones son sutiles y, al pie de la letra, inocuas. Son difíciles de identificar porque, al principio, solo se manifiestan como una bola en la garganta o un hoyo en el estómago; la reacción fisiológica de tu cuerpo diciéndote que algo no está del todo bien."
74,Etijazz.pdf,lucha o acción educativa,"Pero en algún momento, aprendí a articular estas reacciones. Hay que ponerlas en palabras que luego pueda usar como escudo. Esto es un trabajo en progreso."
25,makchoa,Sentirse etiquetado:,"Cuando tenía 9 años, recuerdo estar confundida sobre qué casil a marcar en una prueba estandarizada en la escuela para indicar mi etnicidad."
50,makchoa,Familia,"Soy mitad filipina por cortesía de mi mamá y mezcla de alemana, irlandesa y galesa por cortesía de mi papá. En realidad, nunca hablamos sobre la raza en mi familia o la combinación única de antecedentes que nos hacía diferentes a otros niños"
7,makchoa,sentirse en la mitad,"cada año, cuando l egaban las pruebas estandarizadas del estado, estaba en conflicto. Aunque mis genes indican diferentes porcentajes en los tipos de raza, siempre me encontré marcando la casil a de asiática"
8,makchoa,sentirse en la mitad,"Tengo la piel morena y cabel o oscuro, me sentiría como una impostora si me atrevo a marcar esa casil a. Mientras tanto, en realidad no me identifico mucho con mis raíces filipinas porque mi madre se mudó a los Estados Unidos cuando tenía 2 años y no tenemos su familia cerca. Sin embargo, mi propia conciencia de mi apariencia externa siempre me l evó a marcar “asiática”."
51,makchoa,Amigos,"Tenía dos grupos de amigos muy separados en la escuela. Pensando ahora, mis amigos asiáticos y mis amigos blancos nunca se mezclaron realmente. Si bien creo que ser parte racial de ambos grupos me ayudó a estar con diferentes amigos, aunque también me sentí fuera de lugar en ambos grupos, y la mayor parte del tiempo me molestaba ser asiático cuando eso me destacaba."
9,makchoa,sentirse en la mitad,"creo que ser parte racial de ambos grupos me ayudó a estar con diferentes amigos, aunque también me sentí fuera de lugar en ambos grupos, y la mayor parte del tiempo me molestaba ser asiático cuando eso me destacaba"
26,makchoa,Sentirse etiquetado:,Los sutiles estereotipos asiáticos me molestaban
27,makchoa,Sentirse etiquetado:,"Aunque era buena en la escuela y particularmente en matemáticas, no tenía respuesta para los amigos que decían ""bueno, es porque eres asiática"" cuando sacaba buenas notas."
52,makchoa,Amigos,"Aunque era buena en la escuela y particularmente en matemáticas, no tenía respuesta para los amigos que decían ""bueno, es porque eres asiática"" cuando sacaba buenas notas."
53,makchoa,Amigos,"Incluso mi mejor amiga blanca decía “pero Jana no es realmente asiática, es de las islas del Pacífico” como si eso me hiciera más aceptable y tal vez exótica y fuera menos como los otros asiáticos recién l egados de nuestra escuela."
28,makchoa,Sentirse etiquetado:,"ncluso mi mejor amiga blanca decía “pero Jana no es realmente asiática, es de las islas del Pacífico” como si eso me hiciera más aceptable y tal vez exótica y fuera menos como los otros asiáticos recién l egados de nuestra escuela."
10,makchoa,sentirse en la mitad,"Odiaba mi segundo nombre mientras crecía porque me hacía sobresalir en todas las formas en que intentaba encajar. Era el apel ido de soltera de mi madre, una práctica común en la cultura filipina y el segundo nombre que mis otras dos hermanas también l evaban"
68,makchoa,Familia,"Odiaba mi segundo nombre mientras crecía porque me hacía sobresalir en todas las formas en que intentaba encajar. Era el apel ido de soltera de mi madre, una práctica común en la cultura filipina y el segundo nombre que mis otras dos hermanas también l evaban. Cada vez que surgía el tema de los segundos nombres y entraba en una explicación defensiva para adelantarme a la confusión predecible de las personas, secretamente deseaba que mi segundo nombre fuera algo normal como Carol o Jenifer. Pero debería estar orgul osa de l evar ese nombre. Cuando mi mamá tuvo tres niñas, significó mucho para mi abuelo que aún pudiéramos continuar con ese apel ido."
69,makchoa,experiencia immigracion,"Otro dilema vino más adelante en mi vida, cuando vivía en el África subsahariana y no me parecía en nada a la gente de la comunidad en la que vivía. Debido a que soy estadounidense, algunos extraños se referirían a mí como ""makhooa"", que significa ""persona blanca"". .” Esto siempre me hacía sentir un poco incómoda. Me sentía incómoda al aceptar esta etiqueta por la misma razón que me sentía incómoda al marcar la casil a que"
11,makchoa,sentirse en la mitad,"Debido a que soy estadounidense, algunos extraños se referirían a mí como ""makhooa"", que significa ""persona blanca"". .” Esto siempre me hacía sentir un poco incómoda. Me sentía incómoda al aceptar esta etiqueta por la misma razón que me sentía incómoda al marcar la casil a que decía Blanco en la prueba. Al mismo tiempo, otros extraños me gritaban “Machina” en la calle, el nombre de una persona china, porque esta era la única raza asiática con la que estaban algo familiarizados"
11,makchoa,Sentirse etiquetado:,"Debido a que soy estadounidense, algunos extraños se referirían a mí como ""makhooa"", que significa ""persona blanca"". .” Esto siempre me hacía sentir un poco incómoda. Me sentía incómoda al aceptar esta etiqueta por la misma razón que me sentía incómoda al marcar la casil a que decía Blanco en la prueba. Al mismo tiempo, otros extraños me gritaban “Machina” en la calle, el nombre de una persona china, porque esta era la única raza asiática con la que estaban algo familiarizados"
29,makchoa,Sentirse etiquetado:,"Debido a que soy estadounidense, algunos extraños se referirían a mí como ""makhooa"", que significa ""persona blanca"". .” Esto siempre me hacía sentir un poco incómoda. Me sentía incómoda al aceptar esta etiqueta por la misma razón que me sentía incómoda al marcar la casil a que decía Blanco en la prueba."
30,makchoa,Sentirse etiquetado:,"Este término me hizo sentir la necesidad de estar aún más a la defensiva, pero ¿lo odiaba porque era una categorización incorrecta de mí o porque eso me ponía en lo que yo pensaba que era una categoría inferior en sus mentes?"
12,makchoa,sentirse en la mitad,"¿Cómo rechazo la categoría en la que la gente me pone a primera vista sin negar toda mi historia, raza y antecedentes que vienen con el hecho de que esas son precisamente mis identidades?"
12,makchoa,Sentirse etiquetado:,"¿Cómo rechazo la categoría en la que la gente me pone a primera vista sin negar toda mi historia, raza y antecedentes que vienen con el hecho de que esas son precisamente mis identidades?"
31,makchoa,Sentirse etiquetado:,"no estoy segura de cómo explicar mis identidades entrecruzadas a aquel os en mi comunidad montañosa muy rural en África que nunca se han encontrado con una filipina, o para el caso, una persona filipina-alemana-irlandesa-galesa antes."
32,makchoa,Sentirse etiquetado:,"ncluso en mi propio país, las suposiciones de la gente sobre mi apariencia externa también me reducen a una casil a de verificación."
70,snickerdoodle.pdf,gastronomia,"Recuerdo que entré al Kindergarden con mis galletas chinas almendradas, lista para celebrar mi cumpleaños con los demás niños"
71,snickerdoodle.pdf,gastronomia,"El cumpleañero o la cumpleañera traía galletas para compartir con todos, y nuestras jóvenes papilas gustativas adictas al azúcar se encontraban en el cielo. Las galletas chinas eran un postre típico en mi casa. Siempre acompañaba a mi madre al supermercado asiático los fines de semana para comprar todos los deliciosos dulces asiáticos: las bolas de mochi rel enas de maní, los pasteles de arroz con sabor a plátano rellenos pasta de frijol rojo y, lo mejor, los pasteles de luna durante el Festival de la Luna."
54,snickerdoodle.pdf,Familia,Las galletas chinas eran un postre típico en mi casa. Siempre acompañaba a mi madre al supermercado asiático los fines de semana para comprar todos los deliciosos dulces asiáticos
13,snickerdoodle.pdf,sentirse en la mitad,"Mi condición asiática era normal para mí, pero completamente desconocida para el os."
55,snickerdoodle.pdf,Amigos,"Pero, ¿iba a compartir partes de mi vida con mis amigos no asiáticos?"
56,snickerdoodle.pdf,Amigos,"Hablaba con una de mis amigas, que es afrolatina, sobre su identidad. Siempre me ha encantado hablar sobre la intersección de identidades raciales y étnicas con cualquier persona que pueda identificarse así. Mi amiga es bailarina de bachata y habla español con fluidez, una dominicana de pies a cabeza. Pero me dijo que, cuando entra a una tienda de comestibles en Hialeah, que es una comunidad predominantemente hispanolatina en"
90,snickerdoodle.pdf,raza-etnicidad,"Ela se enfrenta a la discriminación dentro de su comunidad latina por parecer negra, pero yo experimento muchos privilegios al presentarme como blanca o pasar por blanca. Me da el privilegio de no ser discriminada por mi apariencia, de no ser ignorada para un trabajo por mi nombre, y de sentirme segura en una comunidad blanca o en comunidades donde el racismo está muy arraigado."
90,snickerdoodle.pdf,privilegio,"Ela se enfrenta a la discriminación dentro de su comunidad latina por parecer negra, pero yo experimento muchos privilegios al presentarme como blanca o pasar por blanca. Me da el privilegio de no ser discriminada por mi apariencia, de no ser ignorada para un trabajo por mi nombre, y de sentirme segura en una comunidad blanca o en comunidades donde el racismo está muy arraigado."
33,snickerdoodle.pdf,Sentirse etiquetado:,"Es muy interesante ver las reacciones de las personas cuando se enteran de que soy china, especialmente después de hacer una broma o decir algo ofensivo sobre los asiáticos, y específicamente sobre los asiáticos orientales. Dicen: ""Lo siento"", como si mi repentina transformación al blanco justificara una disculpa a la broma."
34,snickerdoodle.pdf,Sentirse etiquetado:,"Me pueden ofender sin que nadie se dé cuenta y, sinceramente, no importa porque no soy una persona de color. Yo soy blanca. Este conflicto de identidad es algo que he sentido a lo largo de los años, pero que recientemente comencé a procesar"
87,snickerdoodle.pdf,lucha o acción educativa,No ayuda a nadie ignorar la ofensa y guardar tu diversidad racial y cultural para ti misma. Desafiar estas suposiciones y estereotipos es probablemente una de mis cosas favoritas hoy.
88,snickerdoodle.pdf,raza-etnicidad,De lo que muchas personas no se dan cuenta es que nuestras intersecciones culturales y raciales l enan nuestras vidas con una riqueza increíble que probablemente el as nunca experimentarán. No puedo estar más orgullosa cuando mi identidad causa tal confusión.
40,alicia.pdf,Familia,"Mis padres se conocieron en una gasolinera en Miami. Unos meses después de que yo fuera concebida, se casaron. Si bien el matrimonio de mi madre haitiana y mi padre italoamericano no duró mucho después de mi primer cumpleaños, su unión tuvo efectos"
35,alicia.pdf,,"Mis raíces birraciales significan que mi aspecto es ambiguo, dejándome con la tarea de identificarme ante otros que ya me han categorizado automáticamente por el color de mi piel y mis rasgos."
20,alicia.pdf,Sentirse etiquetado:,"Mis primas por parte de mi madre me decían “niña blanca”. Me explicaron que mi piel y mi cabel o significaban que nunca compartiría sus experiencias racistas. Mientras que a otros haitiano-estadounidenses en la escuela los l amaban “boat people”, yo recibí “cumplidos”"
20,alicia.pdf,Familia,"Mis primas por parte de mi madre me decían “niña blanca”. Me explicaron que mi piel y mi cabel o significaban que nunca compartiría sus experiencias racistas. Mientras que a otros haitiano-estadounidenses en la escuela los l amaban “boat people”, yo recibí “cumplidos”"
80,alicia.pdf,privilegio,"Mis primas por parte de mi madre me decían “niña blanca”. Me explicaron que mi piel y mi cabel o significaban que nunca compartiría sus experiencias racistas. Mientras que a otros haitiano-estadounidenses en la escuela los l amaban “boat people”, yo recibí “cumplidos”"
41,alicia.pdf,Familia,"Como mandaba el acuerdo de custodia, pasaba las vacaciones con la familia de mi padre. Yo era, como dijo mi prima con tanta elocuencia, su ""prima negra"""
21,alicia.pdf,Sentirse etiquetado:,"Años después, en su boda, el cura me preguntó si era adoptada. Cuando mi abuela dijo que no lo era, él dijo: ""Bueno, pensé..., ya sabes..., te ves diferente"", mientras tiraba de las puntas de su cabel o lacio y frotaba la piel pálida de su antebrazo."
21,alicia.pdf,discriminacion,"Años después, en su boda, el cura me preguntó si era adoptada. Cuando mi abuela dijo que no lo era, él dijo: ""Bueno, pensé..., ya sabes..., te ves diferente"", mientras tiraba de las puntas de su cabel o lacio y frotaba la piel pálida de su antebrazo."
42,alicia.pdf,Familia,"Cuando estoy con el os, veo claramente sus privilegios. Mi abuela estaciona en dos espacios para asegurarse de que nadie robe su Lexus, y mi padre se enfada con los cajeros por no aceptar una devolución después del período de devolución de 30 días. Hay un sentido de derecho aquí que no veo en la familia de mi madre. Tienen expectativas y hacen cosas que la otra mitad de mi familia nunca haría. Hay, sin embargo, otra cara de este aspecto."
79,alicia.pdf,privilegio,"A través de elos tengo acceso a espacios de “blancos”: estaciones de esquí, ranchos, rutas de senderismo en Europa y Estados Unidos, heladerías veganas después de una clase de yoga… Mi padre hace una broma constante sobre que somos las únicas personas negras en la habitación. Por supuesto, él es blanco, y estos lugares no están segregados legalmente, pero la deficiencia de melanina en estos lugares es suficiente para que me dé cuenta del privilegio que tengo solo por estar allí."
22,alicia.pdf,Sentirse etiquetado:,Mi padre hace una broma constante sobre que somos las únicas personas negras en la habitación.
43,alicia.pdf,Familia,Mi padre hace una broma constante sobre que somos las únicas personas negras en la habitación
60,alicia.pdf,experiencia immigracion,"La primera vez que visité Haití experimenté otro tipo de privilegio. Mucho de lo que damos por sentado es un lujo allí. Según los estándares estadounidenses, mi familia es pobre; el agua corriente y la electricidad son inconsistentes. Aun así, están mucho mejor que la mayoría de la población de Haití que vive en chozas rurales y asentamientos urbanos en mal estado. Yo ya sabía el idioma y que mis antepasados se habían ganado la libertad de los colonizadores. Disfruto de mi rica cultura e historia, algo que un amigo me señaló, es más de lo que muchos estadounidenses tienen."
60,alicia.pdf,privilegio,"La primera vez que visité Haití experimenté otro tipo de privilegio. Mucho de lo que damos por sentado es un lujo allí. Según los estándares estadounidenses, mi familia es pobre; el agua corriente y la electricidad son inconsistentes. Aun así, están mucho mejor que la mayoría de la población de Haití que vive en chozas rurales y asentamientos urbanos en mal estado. Yo ya sabía el idioma y que mis antepasados se habían ganado la libertad de los colonizadores. Disfruto de mi rica cultura e historia, algo que un amigo me señaló, es más de lo que muchos estadounidenses tienen."
81,alicia.pdf,raza-etnicidad,"Disfruto de mi rica cultura e historia, algo que un amigo me señaló, es más de lo que muchos estadounidenses tienen."
3,alicia.pdf,sentirse en la mitad,"Aunque soy mitad blanca, no paso por blanca (piensa en Alicia Keys versus Meghan Markle)."
77,alicia.pdf,discriminacion,"Nunca tendré el 'privilegio blanco' y me enfrento al sexismo, al racismo y la discriminación a diario."
78,alicia.pdf,privilegio,"Nunca tendré el 'privilegio blanco' y me enfrento al sexismo, al racismo y la discriminación a diario. Aun así, reconozco que soy muy privilegiada."
89,alicia.pdf,privilegio,"Aun así, reconozco que soy muy privilegiada."
44,cafeteria.pdf,Amigos,"Hace apenas una semana estaba en casa, disfrutando de mis últimos momentos con amigos que conocía y con los que había ido a la escuela durante años."
61,cafeteria.pdf,experiencia immigracion,"Todavía recuerdo el día que entré por primera vez en mi nueva escuela de secundaria. Los pasil os estaban l enos de estudiantes; la gente estaba l ena de energía. Todo era tan nuevo para mí, me sentía sobre estimulado. En cada clase, me presentaron como el chico nuevo de un país del que la mitad de los niños nunca habían oído hablar."
67,cafeteria.pdf,,Compré un almuerzo estándar de tonos grises y me senté solo en una mesa en la parte trasera de la cafetería.
86,cafeteria.pdf,experiencia immigracion,"sa fue mi realidad durante mucho tiempo. Temía ir a almorzar. En clase, podía hablar con las personas que me rodeaban, pero nuestra amistad nunca se extendió a la cafetería. Veía a todas las personas que conocía en la cafetería mientras hablaban con sus amigos en sus mesas de almuerzo. Seguía siendo el chico nuevo, y no cualquier chico nuevo, sino un chico nuevo que emigró de un país del tercer mundo."
62,cafeteria.pdf,Amigos,"Afortunadamente, en unas semanas encontré un grupo de personas a las que podía lamar amigos. Estaba agradecido. Me brindaron estabilidad mientras navegaba por un nuevo hogar, una nueva ciudad, un nuevo país y una nueva cultura. No puedo recordar la mayoría de sus nombres ahora, especialmente porque rápidamente me uní a un grupo de personas más tarde en la primavera con las que tenía más similitudes, pero aún atesoro la amistad que me habían brindado."
63,cafeteria.pdf,Familia,"La amistad siempre ha sido una gran parte de mi vida. En muchos sentidos, valoro la amistad más que la familia."
63,cafeteria.pdf,Amigos,"La amistad siempre ha sido una gran parte de mi vida. En muchos sentidos, valoro la amistad más que la familia."
64,cafeteria.pdf,Familia,"La amistad siempre ha sido una gran parte de mi vida. En muchos sentidos, valoro la amistad más que la familia. Mi familia siempre estará ahí para mí, para bien o para mal, nací en el a. Pero amigos, esos los puedo elegir. Puedo tratar de formar conexiones con las personas y alejarme de su presencia si no los veo como una relación mutuamente"
64,cafeteria.pdf,Amigos,"La amistad siempre ha sido una gran parte de mi vida. En muchos sentidos, valoro la amistad más que la familia. Mi familia siempre estará ahí para mí, para bien o para mal, nací en el a. Pero amigos, esos los puedo elegir. Puedo tratar de formar conexiones con las personas y alejarme de su presencia si no los veo como una relación mutuamente"
65,cafeteria.pdf,Familia,"Puede que sea un cliché, pero creo firmemente que los amigos son la familia que podemos elegir. En esta etapa de mi vida, confío más en mis amigos que en mi familia, especialmente porque he pasado más tiempo fuera de casa."
65,cafeteria.pdf,Amigos,"Puede que sea un cliché, pero creo firmemente que los amigos son la familia que podemos elegir. En esta etapa de mi vida, confío más en mis amigos que en mi familia, especialmente porque he pasado más tiempo fuera de casa."
66,cafeteria.pdf,experiencia immigracion,¿Quién sabía que el inmigrante incómodo y sin amigos con quien comer volvería a prosperar socialmente?
