"ad_id","voice_tone","product_type"
131,"Warm/Sweet","Charity/Social Cause"
132,"Warm/Sweet","Food/Beverage"
133,"Warm/Sweet","Charity/Social Cause"
134,"Funny/Playful","Automotive"
135,"Inspirational/Uplifting","Retail/General"
136,"Inspirational/Uplifting","Automotive"
137,"Inspirational/Uplifting","Charity/Social Cause"
138,"Neutral/Informative","Retail/General"
139,"Inspirational/Uplifting","Automotive"
140,"Serious/Authoritative","Automotive"
141,"Neutral/Informative","Charity/Social Cause"
142,"Serious/Authoritative","Food/Beverage"
143,"Inspirational/Uplifting","Charity/Social Cause"
144,"Funny/Playful","Food/Beverage"
145,"Inspirational/Uplifting","Charity/Social Cause"
146,"Serious/Authoritative","Charity/Social Cause"
147,"Inspirational/Uplifting","Charity/Social Cause"
148,"Funny/Playful","Technology/Electronics"
149,"Inspirational/Uplifting","Charity/Social Cause"
150,"Neutral/Informative","Automotive"
151,"Serious/Authoritative","Health/Beauty"
152,"Neutral/Informative","Technology/Electronics"
153,"Funny/Playful","Food/Beverage"
154,"Neutral/Informative","Food/Beverage"
155,"Warm/Sweet","Retail/General"
156,"Inspirational/Uplifting","Charity/Social Cause"
157,"Inspirational/Uplifting","Charity/Social Cause"
158,"Warm/Sweet","Technology/Electronics"
159,"Serious/Authoritative","Automotive"
160,"Warm/Sweet","Food/Beverage"
161,"Neutral/Informative","Charity/Social Cause"
162,"Inspirational/Uplifting","Charity/Social Cause"
163,"Warm/Sweet","Charity/Social Cause"
164,"Warm/Sweet","Charity/Social Cause"
165,"Funny/Playful","Retail/General"
166,"Serious/Authoritative","Automotive"
167,"Serious/Authoritative","Automotive"
168,"Warm/Sweet","Health/Beauty"
169,"Warm/Sweet","Health/Beauty"
170,"Neutral/Informative","Health/Beauty"
171,"Inspirational/Uplifting","Retail/General"
172,"Inspirational/Uplifting","Automotive"
173,"Warm/Sweet","Charity/Social Cause"
174,"Funny/Playful","Food/Beverage"
175,"Inspirational/Uplifting","Automotive"
176,"Neutral/Informative","Health/Beauty"
177,"Serious/Authoritative","Retail/General"
178,"Inspirational/Uplifting","Automotive"
179,"Warm/Sweet","Charity/Social Cause"
180,"Inspirational/Uplifting","Technology/Electronics"
181,"Neutral/Informative","Food/Beverage"
182,"Neutral/Informative","Health/Beauty"
183,"Warm/Sweet","Charity/Social Cause"
184,"Warm/Sweet","Retail/General"
185,"Warm/Sweet","Retail/General"
186,"Inspirational/Uplifting","Technology/Electronics"
187,"Warm/Sweet","Food/Beverage"
188,"Neutral/Informative","Technology/Electronics"
189,"Funny/Playful","Food/Beverage"
190,"Funny/Playful","Food/Beverage"
191,"Neutral/Informative","Food/Beverage"
192,"Serious/Authoritative","Technology/Electronics"
193,"Inspirational/Uplifting","Charity/Social Cause"
194,"Funny/Playful","Retail/General"
195,"Serious/Authoritative","Technology/Electronics"
196,"Warm/Sweet","Retail/General"
197,"Inspirational/Uplifting","Charity/Social Cause"
198,"Warm/Sweet","Charity/Social Cause"
199,"Neutral/Informative","Automotive"
200,"Warm/Sweet","Retail/General"
201,"Serious/Authoritative","Food/Beverage"
202,"Inspirational/Uplifting","Health/Beauty"
203,"Inspirational/Uplifting","Food/Beverage"
204,"Warm/Sweet","Food/Beverage"
205,"Neutral/Informative","Food/Beverage"
206,"Funny/Playful","Health/Beauty"
207,"Warm/Sweet","Charity/Social Cause"
208,"Warm/Sweet","Charity/Social Cause"
209,"Neutral/Informative","Food/Beverage"
210,"Neutral/Informative","Technology/Electronics"
211,"Warm/Sweet","Charity/Social Cause"
212,"Warm/Sweet","Charity/Social Cause"
213,"Warm/Sweet","Charity/Social Cause"
214,"Serious/Authoritative","Automotive"
215,"Inspirational/Uplifting","Food/Beverage"
216,"Neutral/Informative","Charity/Social Cause"
217,"Serious/Authoritative","Technology/Electronics"
218,"Neutral/Informative","Automotive"
219,"Neutral/Informative","Technology/Electronics"
220,"Warm/Sweet","Food/Beverage"
221,"Serious/Authoritative","Automotive"
222,"Serious/Authoritative","Health/Beauty"
223,"Warm/Sweet","Charity/Social Cause"
224,"Funny/Playful","Technology/Electronics"
225,"Warm/Sweet","Technology/Electronics"
226,"Neutral/Informative","Charity/Social Cause"
227,"Funny/Playful","Food/Beverage"
228,"Warm/Sweet","Health/Beauty"
229,"Serious/Authoritative","Automotive"
230,"Neutral/Informative","Charity/Social Cause"
231,"Neutral/Informative","Retail/General"
232,"Warm/Sweet","Food/Beverage"
233,"Serious/Authoritative","Automotive"
234,"Funny/Playful","Food/Beverage"
235,"Neutral/Informative","Technology/Electronics"
236,"Serious/Authoritative","Automotive"
237,"Serious/Authoritative","Automotive"
238,"Funny/Playful","Food/Beverage"
239,"Neutral/Informative","Health/Beauty"
240,"Funny/Playful","Food/Beverage"
241,"Warm/Sweet","Retail/General"
242,"Warm/Sweet","Health/Beauty"
243,"Neutral/Informative","Food/Beverage"
244,"Inspirational/Uplifting","Automotive"
245,"Neutral/Informative","Technology/Electronics"
246,"Serious/Authoritative","Automotive"
247,"Serious/Authoritative","Health/Beauty"
248,"Serious/Authoritative","Technology/Electronics"
249,"Serious/Authoritative","Technology/Electronics"
250,"Warm/Sweet","Charity/Social Cause"
251,"Neutral/Informative","Retail/General"
252,"Neutral/Informative","Retail/General"
253,"Warm/Sweet","Charity/Social Cause"
254,"Neutral/Informative","Health/Beauty"
255,"Funny/Playful","Technology/Electronics"
256,"Warm/Sweet","Retail/General"
257,"Neutral/Informative","Automotive"
258,"Serious/Authoritative","Automotive"
259,"Inspirational/Uplifting","Automotive"
260,"Warm/Sweet","Food/Beverage"
261,"Neutral/Informative","Food/Beverage"
262,"Neutral/Informative","Retail/General"
263,"Neutral/Informative","Health/Beauty"
264,"Inspirational/Uplifting","Automotive"
265,"Inspirational/Uplifting","Retail/General"
266,"Warm/Sweet","Charity/Social Cause"
267,"Funny/Playful","Technology/Electronics"
268,"Serious/Authoritative","Automotive"
269,"Warm/Sweet","Charity/Social Cause"
270,"Funny/Playful","Retail/General"
271,"Warm/Sweet","Technology/Electronics"
272,"Neutral/Informative","Technology/Electronics"
273,"Funny/Playful","Retail/General"
274,"Warm/Sweet","Technology/Electronics"
275,"Warm/Sweet","Charity/Social Cause"
276,"Neutral/Informative","Food/Beverage"
277,"Warm/Sweet","Retail/General"
278,"Inspirational/Uplifting","Retail/General"
279,"Serious/Authoritative","Automotive"
280,"Serious/Authoritative","Automotive"
281,"Neutral/Informative","Food/Beverage"
282,"Neutral/Informative","Retail/General"
283,"Warm/Sweet","Charity/Social Cause"
284,"Funny/Playful","Food/Beverage"
285,"Serious/Authoritative","Food/Beverage"
286,"Inspirational/Uplifting","Technology/Electronics"
287,"Warm/Sweet","Retail/General"
288,"Serious/Authoritative","Automotive"
289,"Serious/Authoritative","Technology/Electronics"
290,"Warm/Sweet","Food/Beverage"
291,"Serious/Authoritative","Automotive"
292,"Neutral/Informative","Retail/General"
293,"Neutral/Informative","Health/Beauty"
294,"Serious/Authoritative","Automotive"
295,"Funny/Playful","Retail/General"
296,"Neutral/Informative","Retail/General"
297,"Neutral/Informative","Food/Beverage"
298,"Neutral/Informative","Retail/General"
299,"Inspirational/Uplifting","Automotive"
300,"Serious/Authoritative","Health/Beauty"
301,"Neutral/Informative","Health/Beauty"
302,"Serious/Authoritative","Health/Beauty"
303,"Warm/Sweet","Retail/General"
304,"Serious/Authoritative","Health/Beauty"
305,"Warm/Sweet","Retail/General"
306,"Warm/Sweet","Retail/General"
307,"Funny/Playful","Technology/Electronics"
308,"Serious/Authoritative","Health/Beauty"
309,"Serious/Authoritative","Automotive"
310,"Serious/Authoritative","Health/Beauty"
311,"Neutral/Informative","Technology/Electronics"
312,"Inspirational/Uplifting","Automotive"
313,"Neutral/Informative","Technology/Electronics"
314,"Neutral/Informative","Retail/General"
315,"Neutral/Informative","Charity/Social Cause"
316,"Inspirational/Uplifting","Automotive"
317,"Serious/Authoritative","Retail/General"
318,"Neutral/Informative","Health/Beauty"
319,"Warm/Sweet","Food/Beverage"
320,"Funny/Playful","Food/Beverage"
321,"Serious/Authoritative","Automotive"
322,"Funny/Playful","Health/Beauty"
323,"Inspirational/Uplifting","Technology/Electronics"
324,"Warm/Sweet","Charity/Social Cause"
325,"Inspirational/Uplifting","Technology/Electronics"
326,"Serious/Authoritative","Automotive"
327,"Inspirational/Uplifting","Automotive"
328,"Neutral/Informative","Technology/Electronics"
329,"Neutral/Informative","Retail/General"
330,"Neutral/Informative","Health/Beauty"
331,"Warm/Sweet","Food/Beverage"
332,"Neutral/Informative","Retail/General"
333,"Warm/Sweet","Charity/Social Cause"
334,"Neutral/Informative","Retail/General"
335,"Funny/Playful","Health/Beauty"
336,"Serious/Authoritative","Health/Beauty"
337,"Warm/Sweet","Food/Beverage"
338,"Funny/Playful","Food/Beverage"
339,"Serious/Authoritative","Automotive"
340,"Neutral/Informative","Food/Beverage"
341,"Warm/Sweet","Health/Beauty"
342,"Inspirational/Uplifting","Charity/Social Cause"
343,"Neutral/Informative","Food/Beverage"
344,"Inspirational/Uplifting","Retail/General"
345,"Funny/Playful","Food/Beverage"
346,"Neutral/Informative","Charity/Social Cause"
347,"Funny/Playful","Food/Beverage"
348,"Neutral/Informative","Automotive"
349,"Warm/Sweet","Health/Beauty"
350,"Neutral/Informative","Food/Beverage"
351,"Funny/Playful","Retail/General"
352,"Inspirational/Uplifting","Technology/Electronics"
353,"Serious/Authoritative","Technology/Electronics"
354,"Inspirational/Uplifting","Automotive"
355,"Neutral/Informative","Automotive"
356,"Serious/Authoritative","Technology/Electronics"
357,"Inspirational/Uplifting","Retail/General"
358,"Neutral/Informative","Automotive"
359,"Serious/Authoritative","Technology/Electronics"
360,"Inspirational/Uplifting","Charity/Social Cause"
361,"Warm/Sweet","Retail/General"
362,"Neutral/Informative","Technology/Electronics"
363,"Serious/Authoritative","Food/Beverage"
364,"Serious/Authoritative","Health/Beauty"
365,"Neutral/Informative","Food/Beverage"
366,"Inspirational/Uplifting","Retail/General"
367,"Funny/Playful","Retail/General"
368,"Inspirational/Uplifting","Health/Beauty"
369,"Neutral/Informative","Retail/General"
370,"Neutral/Informative","Automotive"
371,"Neutral/Informative","Technology/Electronics"
372,"Funny/Playful","Health/Beauty"
373,"Warm/Sweet","Health/Beauty"
374,"Warm/Sweet","Retail/General"
375,"Neutral/Informative","Health/Beauty"
376,"Inspirational/Uplifting","Health/Beauty"
377,"Inspirational/Uplifting","Technology/Electronics"
378,"Neutral/Informative","Health/Beauty"
379,"Neutral/Informative","Technology/Electronics"
380,"Warm/Sweet","Automotive"
381,"Funny/Playful","Technology/Electronics"
382,"Warm/Sweet","Retail/General"
383,"Inspirational/Uplifting","Food/Beverage"
384,"Neutral/Informative","Automotive"
385,"Inspirational/Uplifting","Retail/General"
386,"Funny/Playful","Charity/Social Cause"
387,"Funny/Playful","Health/Beauty"
388,"Funny/Playful","Retail/General"
389,"Warm/Sweet","Charity/Social Cause"
390,"Neutral/Informative","Health/Beauty"
391,"Inspirational/Uplifting","Retail/General"
392,"Warm/Sweet","Automotive"
393,"Serious/Authoritative","Automotive"
394,"Neutral/Informative","Technology/Electronics"
395,"Warm/Sweet","Retail/General"
396,"Funny/Playful","Retail/General"
397,"Warm/Sweet","Retail/General"
398,"Serious/Authoritative","Technology/Electronics"
399,"Funny/Playful","Retail/General"
400,"Warm/Sweet","Retail/General"
401,"Funny/Playful","Food/Beverage"
402,"Inspirational/Uplifting","Health/Beauty"
403,"Funny/Playful","Retail/General"
404,"Neutral/Informative","Automotive"
405,"Serious/Authoritative","Food/Beverage"
406,"Inspirational/Uplifting","Technology/Electronics"
407,"Funny/Playful","Retail/General"
408,"Warm/Sweet","Charity/Social Cause"
409,"Serious/Authoritative","Health/Beauty"
410,"Neutral/Informative","Health/Beauty"
411,"Funny/Playful","Retail/General"
412,"Warm/Sweet","Charity/Social Cause"
413,"Serious/Authoritative","Retail/General"
414,"Funny/Playful","Food/Beverage"
415,"Neutral/Informative","Technology/Electronics"
416,"Neutral/Informative","Technology/Electronics"
417,"Warm/Sweet","Charity/Social Cause"
418,"Warm/Sweet","Technology/Electronics"
419,"Neutral/Informative","Technology/Electronics"
420,"Warm/Sweet","Food/Beverage"
421,"Neutral/Informative","Automotive"
422,"Serious/Authoritative","Retail/General"
423,"Serious/Authoritative","Retail/General"
424,"Serious/Authoritative","Automotive"
425,"Serious/Authoritative","Food/Beverage"
426,"Inspirational/Uplifting","Automotive"
427,"Neutral/Informative","Retail/General"
428,"Neutral/Informative","Technology/Electronics"
429,"Neutral/Informative","Food/Beverage"
430,"Warm/Sweet","Technology/Electronics"
431,"Serious/Authoritative","Automotive"
432,"Warm/Sweet","Retail/General"
433,"Funny/Playful","Health/Beauty"
434,"Inspirational/Uplifting","Health/Beauty"
435,"Neutral/Informative","Technology/Electronics"
436,"Inspirational/Uplifting","Charity/Social Cause"
437,"Warm/Sweet","Charity/Social Cause"
438,"Inspirational/Uplifting","Technology/Electronics"
439,"Funny/Playful","Food/Beverage"
440,"Inspirational/Uplifting","Health/Beauty"
441,"Warm/Sweet","Health/Beauty"
442,"Warm/Sweet","Health/Beauty"
443,"Serious/Authoritative","Automotive"
444,"Funny/Playful","Retail/General"
445,"Warm/Sweet","Charity/Social Cause"
446,"Inspirational/Uplifting","Retail/General"
447,"Inspirational/Uplifting","Charity/Social Cause"
448,"Funny/Playful","Retail/General"
449,"Inspirational/Uplifting","Food/Beverage"
450,"Warm/Sweet","Retail/General"
451,"Serious/Authoritative","Technology/Electronics"
452,"Warm/Sweet","Health/Beauty"
453,"Funny/Playful","Food/Beverage"
454,"Warm/Sweet","Charity/Social Cause"
455,"Neutral/Informative","Technology/Electronics"
456,"Serious/Authoritative","Technology/Electronics"
457,"Funny/Playful","Automotive"
458,"Neutral/Informative","Retail/General"
459,"Neutral/Informative","Automotive"
460,"Inspirational/Uplifting","Technology/Electronics"
461,"Warm/Sweet","Food/Beverage"
462,"Warm/Sweet","Health/Beauty"
463,"Inspirational/Uplifting","Charity/Social Cause"
464,"Neutral/Informative","Retail/General"
465,"Neutral/Informative","Retail/General"
466,"Warm/Sweet","Charity/Social Cause"
467,"Serious/Authoritative","Automotive"
468,"Neutral/Informative","Food/Beverage"
469,"Neutral/Informative","Retail/General"
470,"Serious/Authoritative","Retail/General"
471,"Serious/Authoritative","Automotive"
472,"Inspirational/Uplifting","Health/Beauty"
473,"Serious/Authoritative","Automotive"
474,"Funny/Playful","Food/Beverage"
475,"Warm/Sweet","Charity/Social Cause"
476,"Inspirational/Uplifting","Food/Beverage"
477,"Serious/Authoritative","Charity/Social Cause"
478,"Inspirational/Uplifting","Charity/Social Cause"
479,"Inspirational/Uplifting","Retail/General"
480,"Serious/Authoritative","Retail/General"
481,"Warm/Sweet","Food/Beverage"
482,"Neutral/Informative","Retail/General"
483,"Funny/Playful","Retail/General"
484,"Serious/Authoritative","Automotive"
485,"Serious/Authoritative","Charity/Social Cause"
486,"Neutral/Informative","Technology/Electronics"
487,"Inspirational/Uplifting","Automotive"
488,"Warm/Sweet","Retail/General"
489,"Funny/Playful","Charity/Social Cause"
490,"Warm/Sweet","Health/Beauty"
491,"Funny/Playful","Health/Beauty"
492,"Inspirational/Uplifting","Automotive"
493,"Serious/Authoritative","Technology/Electronics"
494,"Warm/Sweet","Health/Beauty"
495,"Warm/Sweet","Health/Beauty"
496,"Funny/Playful","Health/Beauty"
497,"Warm/Sweet","Retail/General"
498,"Funny/Playful","Health/Beauty"
499,"Warm/Sweet","Charity/Social Cause"
500,"Neutral/Informative","Automotive"
