"political_affiliation","climate_belief"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","Yes"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Center","No"
"Right","Yes"
"Right","Yes"
"Right","Yes"
"Right","Yes"
"Right","Yes"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
"Far Right","No"
