pareja,actividad,quien
146,lunch,mujer
148,compras,conjuntamente
149,arreglos,hombre
150,arreglos,hombre
151,arreglos,hombre
152,ropa,mujer
153,seguro,hombre
154,lunch,mujer
158,finanzas,mujer
159,lunch,mujer
161,lunch,mujer
163,lunch,hombre
164,lunch,mujer
165,lunch,alternativamente
166,lunch,mujer
167,conducir,mujer
170,cena,mujer
171,cena,alternativamente
172,seguro,hombre
173,seguro,conjuntamente
174,lunch,mujer
175,cena,mujer
176,compras,conjuntamente
177,cena,hombre
178,finanzas,hombre
179,lunch,mujer
180,finanzas,conjuntamente
181,arreglos,hombre
185,compras,conjuntamente
186,lunch,mujer
187,ropa,alternativamente
188,seguro,conjuntamente
191,platos,mujer
192,lunch,mujer
193,arreglos,hombre
194,arreglos,hombre
195,lunch,alternativamente
196,platos,mujer
197,cena,mujer
199,finanzas,conjuntamente
200,cena,mujer
202,conducir,alternativamente
203,conducir,hombre
204,lunch,mujer
206,finanzas,conjuntamente
209,lunch,mujer
210,arreglos,hombre
211,platos,conjuntamente
213,ropa,conjuntamente
214,finanzas,conjuntamente
215,arreglos,hombre
216,finanzas,conjuntamente
217,conducir,hombre
218,arreglos,hombre
219,lunch,mujer
220,finanzas,conjuntamente
221,arreglos,hombre
222,conducir,alternativamente
223,lunch,mujer
224,platos,mujer
225,arreglos,hombre
227,ropa,mujer
228,finanzas,mujer
229,arreglos,hombre
230,cena,mujer
231,ropa,conjuntamente
232,lunch,mujer
233,lunch,alternativamente
234,platos,conjuntamente
235,cena,mujer
237,lunch,alternativamente
238,ropa,alternativamente
239,finanzas,hombre
240,seguro,hombre
241,ropa,conjuntamente
242,finanzas,alternativamente
244,conducir,alternativamente
245,cena,mujer
246,ropa,mujer
247,platos,mujer
248,lunch,mujer
249,arreglos,hombre
250,conducir,alternativamente
251,lunch,mujer
256,finanzas,conjuntamente
257,ropa,alternativamente
258,arreglos,hombre
259,platos,conjuntamente
260,compras,mujer
262,lunch,conjuntamente
263,seguro,conjuntamente
264,conducir,hombre
265,finanzas,alternativamente
267,cena,mujer
269,conducir,conjuntamente
272,lunch,hombre
273,lunch,hombre
274,lunch,alternativamente
276,seguro,conjuntamente
277,ropa,mujer
278,cena,mujer
279,seguro,conjuntamente
280,platos,mujer
281,seguro,conjuntamente
282,lunch,mujer
284,lunch,mujer
285,finanzas,conjuntamente
288,arreglos,hombre
289,conducir,hombre
290,compras,conjuntamente
292,ropa,mujer
293,platos,conjuntamente
295,arreglos,hombre
296,lunch,alternativamente
297,finanzas,alternativamente
298,arreglos,hombre
300,lunch,mujer
302,conducir,alternativamente
304,ropa,mujer
305,conducir,hombre
306,finanzas,conjuntamente
307,arreglos,hombre
308,platos,mujer
309,lunch,mujer
310,lunch,mujer
312,lunch,alternativamente
313,arreglos,hombre
314,lunch,mujer
315,arreglos,hombre
316,finanzas,conjuntamente
317,lunch,mujer
318,lunch,mujer
319,conducir,hombre
321,conducir,alternativamente
322,finanzas,conjuntamente
323,lunch,alternativamente
324,arreglos,hombre
326,seguro,conjuntamente
327,ropa,mujer
329,arreglos,hombre
330,conducir,mujer
331,lunch,alternativamente
332,arreglos,hombre
333,conducir,alternativamente
334,compras,conjuntamente
335,conducir,alternativamente
336,seguro,conjuntamente
337,cena,conjuntamente
338,lunch,hombre
339,lunch,alternativamente
341,lunch,conjuntamente
342,platos,mujer
343,seguro,hombre
344,ropa,conjuntamente
345,conducir,hombre
346,arreglos,hombre
347,compras,mujer
348,arreglos,hombre
349,finanzas,mujer
350,cena,conjuntamente
351,arreglos,hombre
352,cena,mujer
353,platos,conjuntamente
354,seguro,mujer
355,platos,conjuntamente
356,lunch,mujer
357,lunch,mujer
358,ropa,conjuntamente
359,cena,mujer
361,seguro,hombre
362,seguro,conjuntamente
363,cena,mujer
364,platos,mujer
365,seguro,hombre
367,arreglos,alternativamente
370,conducir,hombre
372,ropa,alternativamente
373,conducir,alternativamente
374,lunch,mujer
376,lunch,mujer
377,arreglos,hombre
378,ropa,mujer
379,platos,conjuntamente
380,lunch,mujer
381,conducir,hombre
383,finanzas,mujer
384,ropa,alternativamente
386,cena,mujer
387,arreglos,hombre
389,lunch,mujer
390,seguro,hombre
391,cena,conjuntamente
392,cena,mujer
393,compras,hombre
394,lunch,alternativamente
395,seguro,hombre
396,finanzas,hombre
398,lunch,mujer
399,conducir,alternativamente
400,seguro,hombre
401,lunch,mujer
402,ropa,mujer
403,seguro,conjuntamente
404,arreglos,hombre
407,lunch,mujer
408,lunch,mujer
410,compras,conjuntamente
411,lunch,mujer
412,seguro,conjuntamente
413,seguro,conjuntamente
414,platos,conjuntamente
416,lunch,mujer
417,cena,mujer
418,lunch,alternativamente
419,conducir,hombre
420,lunch,mujer
421,finanzas,conjuntamente
422,lunch,alternativamente
423,seguro,conjuntamente
425,lunch,mujer
426,platos,conjuntamente
427,platos,conjuntamente
429,finanzas,conjuntamente
430,cena,mujer
431,cena,mujer
433,compras,mujer
434,compras,conjuntamente
435,conducir,hombre
436,ropa,alternativamente
437,seguro,hombre
438,cena,mujer
439,finanzas,hombre
440,cena,mujer
441,cena,conjuntamente
442,arreglos,hombre
443,arreglos,hombre
444,arreglos,hombre
445,seguro,conjuntamente
446,lunch,mujer
447,conducir,hombre
448,cena,mujer
449,conducir,alternativamente
450,seguro,conjuntamente
451,lunch,mujer
452,seguro,conjuntamente
453,seguro,conjuntamente
454,lunch,mujer
457,cena,mujer
458,conducir,hombre
459,seguro,mujer
460,finanzas,conjuntamente
461,lunch,alternativamente
462,lunch,mujer
463,cena,mujer
464,ropa,mujer
465,compras,conjuntamente
467,platos,mujer
468,seguro,conjuntamente
469,lunch,alternativamente
470,seguro,hombre
472,arreglos,hombre
473,cena,mujer
475,arreglos,hombre
476,lunch,mujer
478,lunch,mujer
479,cena,mujer
480,lunch,mujer
481,conducir,alternativamente
482,platos,mujer
483,seguro,conjuntamente
484,platos,conjuntamente
485,arreglos,hombre
487,platos,conjuntamente
488,platos,mujer
489,finanzas,hombre
491,finanzas,mujer
494,arreglos,hombre
495,seguro,conjuntamente
497,platos,conjuntamente
498,conducir,hombre
499,lunch,mujer
500,lunch,mujer
501,conducir,hombre
502,arreglos,hombre
505,lunch,mujer
507,ropa,conjuntamente
508,compras,conjuntamente
509,lunch,mujer
512,arreglos,hombre
513,lunch,alternativamente
514,ropa,conjuntamente
516,lunch,alternativamente
517,lunch,mujer
518,lunch,mujer
519,platos,mujer
520,arreglos,hombre
521,compras,conjuntamente
522,ropa,conjuntamente
523,arreglos,hombre
524,arreglos,hombre
525,cena,mujer
526,lunch,mujer
527,lunch,mujer
530,ropa,mujer
531,lunch,mujer
532,conducir,hombre
533,platos,conjuntamente
534,ropa,conjuntamente
535,lunch,mujer
536,lunch,mujer
538,lunch,mujer
539,lunch,alternativamente
541,seguro,hombre
542,lunch,mujer
544,seguro,conjuntamente
546,lunch,alternativamente
547,conducir,hombre
548,lunch,mujer
549,lunch,hombre
551,arreglos,hombre
553,seguro,conjuntamente
554,lunch,alternativamente
555,ropa,mujer
556,seguro,conjuntamente
557,cena,mujer
558,platos,mujer
559,conducir,mujer
560,compras,conjuntamente
561,conducir,hombre
562,finanzas,conjuntamente
563,seguro,conjuntamente
564,seguro,conjuntamente
565,lunch,mujer
566,cena,mujer
567,platos,conjuntamente
568,seguro,hombre
569,cena,mujer
570,finanzas,alternativamente
571,finanzas,conjuntamente
572,lunch,mujer
573,conducir,hombre
574,arreglos,hombre
575,ropa,mujer
576,lunch,mujer
577,lunch,hombre
578,lunch,mujer
579,lunch,mujer
580,lunch,mujer
582,ropa,conjuntamente
583,lunch,mujer
586,lunch,mujer
587,platos,conjuntamente
589,lunch,alternativamente
590,arreglos,hombre
591,compras,conjuntamente
592,conducir,alternativamente
593,conducir,hombre
594,lunch,mujer
595,finanzas,conjuntamente
597,conducir,hombre
599,cena,mujer
600,platos,conjuntamente
601,platos,conjuntamente
602,ropa,mujer
604,seguro,mujer
605,compras,conjuntamente
606,cena,mujer
607,arreglos,hombre
609,lunch,alternativamente
612,lunch,mujer
613,conducir,hombre
615,arreglos,hombre
616,finanzas,mujer
617,arreglos,hombre
620,lunch,mujer
621,arreglos,hombre
623,lunch,mujer
624,ropa,conjuntamente
625,arreglos,hombre
626,finanzas,conjuntamente
627,lunch,mujer
628,finanzas,conjuntamente
629,lunch,mujer
630,conducir,hombre
631,finanzas,conjuntamente
632,conducir,hombre
633,lunch,mujer
634,arreglos,hombre
635,finanzas,mujer
636,cena,mujer
638,conducir,alternativamente
639,arreglos,hombre
640,compras,conjuntamente
641,conducir,alternativamente
642,cena,conjuntamente
644,conducir,mujer
645,finanzas,conjuntamente
646,arreglos,hombre
647,conducir,alternativamente
649,lunch,mujer
650,conducir,hombre
651,platos,conjuntamente
652,ropa,conjuntamente
653,arreglos,hombre
654,lunch,mujer
655,seguro,conjuntamente
656,seguro,hombre
657,lunch,mujer
658,platos,mujer
660,arreglos,hombre
661,ropa,mujer
662,cena,mujer
663,arreglos,hombre
664,lunch,mujer
665,lunch,hombre
667,conducir,hombre
668,seguro,conjuntamente
669,arreglos,conjuntamente
670,cena,mujer
671,conducir,hombre
672,cena,mujer
673,finanzas,conjuntamente
674,lunch,mujer
676,cena,conjuntamente
677,lunch,mujer
678,conducir,hombre
680,lunch,hombre
681,platos,conjuntamente
682,ropa,conjuntamente
683,compras,hombre
686,ropa,conjuntamente
687,lunch,mujer
689,lunch,mujer
690,ropa,conjuntamente
692,lunch,mujer
693,ropa,mujer
694,seguro,conjuntamente
695,conducir,conjuntamente
696,lunch,hombre
697,lunch,mujer
698,lunch,mujer
700,seguro,conjuntamente
702,platos,conjuntamente
703,cena,mujer
704,seguro,conjuntamente
705,arreglos,hombre
706,platos,conjuntamente
707,seguro,conjuntamente
708,lunch,mujer
709,lunch,mujer
710,lunch,hombre
711,lunch,mujer
712,seguro,conjuntamente
714,lunch,mujer
715,lunch,alternativamente
717,ropa,mujer
718,lunch,mujer
721,compras,conjuntamente
722,lunch,mujer
723,arreglos,hombre
724,arreglos,hombre
725,lunch,mujer
726,lunch,mujer
727,ropa,mujer
728,lunch,mujer
729,cena,mujer
731,seguro,mujer
732,seguro,hombre
734,lunch,mujer
735,lunch,alternativamente
736,lunch,alternativamente
737,lunch,mujer
738,conducir,alternativamente
740,conducir,alternativamente
741,platos,conjuntamente
742,conducir,hombre
743,lunch,alternativamente
744,lunch,mujer
745,seguro,hombre
746,conducir,alternativamente
748,lunch,mujer
749,platos,conjuntamente
750,arreglos,hombre
751,conducir,hombre
752,compras,mujer
753,arreglos,hombre
754,finanzas,alternativamente
755,lunch,mujer
756,seguro,conjuntamente
757,lunch,mujer
758,seguro,conjuntamente
759,finanzas,conjuntamente
760,cena,conjuntamente
761,finanzas,conjuntamente
762,cena,mujer
765,finanzas,mujer
766,lunch,alternativamente
767,ropa,conjuntamente
769,arreglos,hombre
770,ropa,mujer
772,compras,conjuntamente
773,arreglos,hombre
774,arreglos,hombre
778,lunch,mujer
779,platos,conjuntamente
782,cena,alternativamente
783,arreglos,hombre
784,arreglos,hombre
787,finanzas,hombre
789,arreglos,hombre
790,seguro,conjuntamente
791,platos,conjuntamente
792,seguro,conjuntamente
793,finanzas,conjuntamente
794,platos,mujer
795,seguro,mujer
796,ropa,mujer
798,conducir,hombre
799,lunch,mujer
801,conducir,alternativamente
802,seguro,conjuntamente
803,cena,alternativamente
804,conducir,hombre
805,seguro,hombre
806,conducir,hombre
807,ropa,mujer
808,conducir,alternativamente
809,lunch,hombre
812,arreglos,hombre
813,seguro,conjuntamente
814,conducir,hombre
815,lunch,mujer
816,compras,mujer
817,cena,mujer
818,cena,mujer
819,cena,hombre
820,finanzas,hombre
821,seguro,alternativamente
822,arreglos,hombre
823,lunch,mujer
825,conducir,hombre
826,finanzas,conjuntamente
827,arreglos,hombre
829,lunch,conjuntamente
830,conducir,alternativamente
831,compras,conjuntamente
832,arreglos,hombre
833,cena,mujer
834,lunch,mujer
835,lunch,mujer
836,platos,conjuntamente
837,seguro,hombre
838,seguro,hombre
839,arreglos,hombre
840,ropa,conjuntamente
841,arreglos,hombre
842,seguro,hombre
843,lunch,mujer
844,ropa,mujer
845,seguro,conjuntamente
846,cena,mujer
847,arreglos,hombre
849,conducir,hombre
850,conducir,alternativamente
852,lunch,mujer
853,ropa,mujer
854,cena,mujer
856,arreglos,hombre
857,cena,alternativamente
858,finanzas,hombre
859,seguro,conjuntamente
860,cena,mujer
861,arreglos,hombre
862,conducir,hombre
863,ropa,mujer
866,seguro,conjuntamente
868,lunch,alternativamente
869,ropa,mujer
871,cena,conjuntamente
872,compras,hombre
873,arreglos,hombre
875,arreglos,hombre
876,conducir,hombre
877,ropa,mujer
878,lunch,mujer
879,lunch,mujer
880,lunch,mujer
881,cena,mujer
882,lunch,mujer
883,cena,mujer
885,finanzas,conjuntamente
886,ropa,conjuntamente
887,arreglos,hombre
890,compras,hombre
891,finanzas,conjuntamente
892,finanzas,conjuntamente
893,seguro,hombre
894,lunch,mujer
895,seguro,conjuntamente
896,compras,conjuntamente
898,lunch,alternativamente
899,platos,conjuntamente
900,ropa,conjuntamente
902,arreglos,hombre
903,compras,mujer
904,ropa,alternativamente
905,arreglos,hombre
906,conducir,alternativamente
907,ropa,mujer
908,lunch,mujer
911,arreglos,hombre
912,cena,mujer
913,conducir,alternativamente
914,compras,conjuntamente
915,conducir,hombre
916,compras,mujer
917,ropa,mujer
918,seguro,hombre
919,lunch,mujer
920,ropa,mujer
921,lunch,mujer
922,cena,mujer
923,conducir,hombre
924,arreglos,hombre
925,lunch,mujer
926,lunch,mujer
927,seguro,hombre
928,ropa,mujer
929,lunch,mujer
930,platos,mujer
931,conducir,hombre
933,lunch,alternativamente
934,seguro,hombre
935,arreglos,hombre
936,seguro,hombre
937,compras,conjuntamente
938,compras,conjuntamente
939,seguro,hombre
940,platos,conjuntamente
941,lunch,mujer
942,compras,conjuntamente
943,compras,conjuntamente
944,lunch,mujer
946,compras,mujer
948,lunch,mujer
949,conducir,mujer
950,conducir,hombre
951,cena,mujer
952,platos,mujer
953,lunch,alternativamente
954,conducir,hombre
956,conducir,hombre
958,lunch,mujer
959,lunch,mujer
960,arreglos,hombre
961,finanzas,conjuntamente
962,conducir,alternativamente
963,lunch,alternativamente
964,compras,conjuntamente
965,cena,mujer
966,lunch,conjuntamente
967,platos,conjuntamente
968,platos,mujer
969,platos,conjuntamente
970,finanzas,conjuntamente
971,ropa,mujer
972,compras,conjuntamente
973,cena,mujer
974,platos,conjuntamente
975,seguro,mujer
976,finanzas,conjuntamente
978,lunch,hombre
979,lunch,mujer
980,conducir,hombre
981,lunch,mujer
982,lunch,mujer
983,lunch,mujer
984,seguro,conjuntamente
986,finanzas,conjuntamente
988,compras,hombre
989,finanzas,conjuntamente
990,cena,mujer
991,lunch,mujer
992,lunch,hombre
995,cena,mujer
996,arreglos,hombre
997,seguro,hombre
998,compras,conjuntamente
1000,lunch,mujer
1001,conducir,alternativamente
1002,arreglos,hombre
1003,seguro,conjuntamente
1004,platos,mujer
1005,conducir,hombre
1006,seguro,hombre
1007,ropa,alternativamente
1008,compras,hombre
1009,conducir,hombre
1010,seguro,hombre
1011,conducir,hombre
1012,lunch,conjuntamente
1013,seguro,mujer
1014,seguro,mujer
1015,platos,conjuntamente
1016,lunch,mujer
1017,conducir,hombre
1018,conducir,alternativamente
1019,seguro,hombre
1022,arreglos,hombre
1023,conducir,alternativamente
1024,finanzas,conjuntamente
1025,seguro,hombre
1026,seguro,conjuntamente
1028,arreglos,hombre
1029,seguro,hombre
1033,compras,conjuntamente
1034,arreglos,alternativamente
1035,finanzas,mujer
1036,conducir,hombre
1038,lunch,mujer
1039,compras,conjuntamente
1042,finanzas,conjuntamente
1043,ropa,conjuntamente
1044,compras,conjuntamente
1045,lunch,mujer
1046,cena,mujer
1047,lunch,mujer
1048,lunch,conjuntamente
1049,finanzas,hombre
1050,finanzas,hombre
1052,finanzas,conjuntamente
1053,ropa,conjuntamente
1054,seguro,conjuntamente
1055,lunch,hombre
1056,lunch,alternativamente
1057,finanzas,conjuntamente
1058,lunch,alternativamente
1060,seguro,conjuntamente
1061,ropa,conjuntamente
1065,seguro,hombre
1066,ropa,mujer
1068,seguro,conjuntamente
1069,arreglos,hombre
1070,arreglos,hombre
1071,ropa,conjuntamente
1073,platos,conjuntamente
1074,cena,mujer
1077,conducir,hombre
1078,lunch,alternativamente
1079,platos,mujer
1080,platos,mujer
1081,cena,mujer
1082,conducir,alternativamente
1083,lunch,alternativamente
1084,cena,mujer
1085,lunch,alternativamente
1087,arreglos,hombre
1088,platos,hombre
1090,ropa,conjuntamente
1091,finanzas,conjuntamente
1092,lunch,alternativamente
1093,lunch,mujer
1095,lunch,mujer
1096,seguro,conjuntamente
1097,arreglos,hombre
1100,seguro,hombre
1101,cena,alternativamente
1102,lunch,hombre
1103,lunch,mujer
1104,finanzas,conjuntamente
1105,ropa,conjuntamente
1106,arreglos,hombre
1107,arreglos,hombre
1109,ropa,conjuntamente
1110,arreglos,hombre
1112,cena,mujer
1113,seguro,conjuntamente
1114,platos,mujer
1115,cena,alternativamente
1116,lunch,mujer
1118,arreglos,hombre
1119,arreglos,hombre
1120,arreglos,hombre
1121,lunch,alternativamente
1122,ropa,mujer
1123,compras,hombre
1124,arreglos,hombre
1125,compras,conjuntamente
1126,lunch,mujer
1127,ropa,conjuntamente
1128,lunch,mujer
1130,lunch,hombre
1131,ropa,conjuntamente
1132,cena,conjuntamente
1133,conducir,hombre
1134,cena,mujer
1135,seguro,conjuntamente
1136,finanzas,conjuntamente
1137,arreglos,hombre
1138,compras,conjuntamente
1139,finanzas,conjuntamente
1140,platos,conjuntamente
1142,compras,conjuntamente
1144,platos,conjuntamente
1145,finanzas,alternativamente
1147,lunch,mujer
1148,cena,mujer
1150,ropa,mujer
1151,ropa,conjuntamente
1152,lunch,alternativamente
1153,seguro,hombre
1154,cena,conjuntamente
1155,arreglos,hombre
1156,arreglos,hombre
1157,conducir,hombre
1158,finanzas,conjuntamente
1159,finanzas,mujer
1160,arreglos,hombre
1161,lunch,conjuntamente
1162,arreglos,hombre
1163,conducir,alternativamente
1164,ropa,conjuntamente
1165,platos,conjuntamente
1166,lunch,mujer
1167,lunch,mujer
1168,conducir,mujer
1169,arreglos,hombre
1171,platos,mujer
1172,ropa,mujer
1173,lunch,mujer
1174,arreglos,hombre
1175,arreglos,hombre
1176,lunch,alternativamente
1177,conducir,hombre
1178,conducir,alternativamente
1179,cena,mujer
1180,cena,mujer
1181,platos,mujer
1183,lunch,mujer
1184,platos,conjuntamente
1185,compras,mujer
1188,seguro,hombre
1189,platos,mujer
1190,seguro,conjuntamente
1191,seguro,conjuntamente
1192,finanzas,alternativamente
1193,lunch,mujer
1194,arreglos,hombre
1195,conducir,alternativamente
1197,finanzas,conjuntamente
1198,lunch,conjuntamente
1199,arreglos,alternativamente
1200,conducir,hombre
1201,cena,alternativamente
1202,lunch,alternativamente
1203,arreglos,hombre
1204,arreglos,hombre
1206,finanzas,conjuntamente
1207,lunch,mujer
1208,platos,hombre
1209,cena,mujer
1210,seguro,hombre
1211,arreglos,hombre
1214,platos,conjuntamente
1215,lunch,mujer
1216,conducir,hombre
1217,conducir,alternativamente
1218,ropa,mujer
1219,lunch,mujer
1220,platos,mujer
1222,ropa,mujer
1223,compras,conjuntamente
1224,cena,alternativamente
1226,compras,mujer
1227,ropa,mujer
1228,lunch,mujer
1229,conducir,hombre
1230,lunch,mujer
1231,arreglos,hombre
1232,conducir,alternativamente
1233,arreglos,hombre
1234,lunch,hombre
1235,cena,hombre
1236,arreglos,hombre
1237,conducir,hombre
1238,ropa,mujer
1239,conducir,alternativamente
1240,arreglos,hombre
1242,ropa,conjuntamente
1243,cena,mujer
1246,lunch,mujer
1247,lunch,mujer
1248,lunch,mujer
1249,seguro,hombre
1250,finanzas,mujer
1251,cena,conjuntamente
1252,arreglos,hombre
1253,ropa,conjuntamente
1254,arreglos,hombre
1255,seguro,hombre
1257,cena,mujer
1258,cena,mujer
1259,cena,mujer
1260,lunch,mujer
1261,platos,conjuntamente
1262,conducir,hombre
1263,ropa,hombre
1264,lunch,conjuntamente
1265,seguro,conjuntamente
1266,compras,conjuntamente
1267,conducir,alternativamente
1268,finanzas,conjuntamente
1269,seguro,conjuntamente
1270,lunch,mujer
1272,compras,conjuntamente
1273,seguro,conjuntamente
1274,ropa,mujer
1275,finanzas,conjuntamente
1276,cena,mujer
1277,lunch,mujer
1278,arreglos,hombre
1279,conducir,hombre
1280,conducir,mujer
1282,lunch,mujer
1283,cena,conjuntamente
1284,lunch,alternativamente
1285,arreglos,hombre
1286,ropa,conjuntamente
1287,finanzas,conjuntamente
1288,arreglos,hombre
1289,lunch,mujer
1290,seguro,conjuntamente
1291,seguro,hombre
1292,arreglos,hombre
1294,compras,hombre
1295,arreglos,hombre
1296,lunch,mujer
1298,lunch,alternativamente
1299,platos,mujer
1300,seguro,hombre
1301,arreglos,hombre
1302,ropa,mujer
1303,finanzas,hombre
1304,ropa,conjuntamente
1305,compras,hombre
1306,ropa,alternativamente
1307,lunch,mujer
1308,cena,mujer
1309,seguro,conjuntamente
1310,lunch,mujer
1311,compras,conjuntamente
1312,lunch,mujer
1314,compras,mujer
1315,conducir,hombre
1316,lunch,mujer
1317,seguro,hombre
1319,cena,mujer
1320,conducir,alternativamente
1321,platos,hombre
1323,cena,hombre
1325,ropa,alternativamente
1327,finanzas,hombre
1328,finanzas,hombre
1329,ropa,mujer
1332,seguro,conjuntamente
1333,lunch,mujer
1334,lunch,alternativamente
1335,conducir,alternativamente
1336,finanzas,hombre
1337,compras,conjuntamente
1338,lunch,mujer
1339,arreglos,hombre
1340,lunch,mujer
1341,ropa,conjuntamente
1342,ropa,conjuntamente
1345,ropa,conjuntamente
1346,arreglos,hombre
1348,seguro,conjuntamente
1349,lunch,mujer
1350,lunch,alternativamente
1351,seguro,conjuntamente
1352,arreglos,hombre
1353,lunch,mujer
1354,lunch,alternativamente
1355,seguro,conjuntamente
1356,arreglos,hombre
1357,seguro,hombre
1358,finanzas,alternativamente
1359,compras,mujer
1360,finanzas,conjuntamente
1361,lunch,alternativamente
1362,lunch,mujer
1364,finanzas,conjuntamente
1365,compras,conjuntamente
1366,arreglos,hombre
1367,conducir,hombre
1368,seguro,conjuntamente
1369,lunch,mujer
1371,ropa,conjuntamente
1372,lunch,conjuntamente
1373,arreglos,hombre
1374,conducir,alternativamente
1375,arreglos,hombre
1376,cena,mujer
1377,arreglos,hombre
1378,finanzas,hombre
1379,conducir,alternativamente
1380,conducir,hombre
1381,arreglos,hombre
1382,compras,conjuntamente
1383,lunch,mujer
1384,lunch,hombre
1386,ropa,conjuntamente
1387,lunch,mujer
1388,lunch,mujer
1390,seguro,conjuntamente
1391,arreglos,hombre
1392,arreglos,hombre
1393,arreglos,hombre
1394,compras,mujer
1395,conducir,alternativamente
1396,finanzas,alternativamente
1397,ropa,conjuntamente
1398,cena,hombre
1399,lunch,mujer
1400,lunch,alternativamente
1401,finanzas,hombre
1402,ropa,conjuntamente
1403,compras,mujer
1404,finanzas,mujer
1405,compras,conjuntamente
1406,lunch,mujer
1409,platos,mujer
1410,ropa,conjuntamente
1411,lunch,alternativamente
1412,finanzas,hombre
1413,compras,mujer
1414,cena,mujer
1415,arreglos,hombre
1416,arreglos,hombre
1417,compras,conjuntamente
1418,compras,conjuntamente
1420,cena,hombre
1421,finanzas,conjuntamente
1422,ropa,mujer
1423,lunch,hombre
1424,arreglos,hombre
1425,seguro,hombre
1426,arreglos,hombre
1427,lunch,mujer
1429,cena,mujer
1430,seguro,hombre
1431,finanzas,hombre
1434,lunch,mujer
1435,platos,conjuntamente
1436,lunch,mujer
1438,arreglos,hombre
1439,lunch,hombre
1440,cena,hombre
1441,ropa,mujer
1442,ropa,conjuntamente
1446,conducir,alternativamente
1447,conducir,alternativamente
1448,conducir,hombre
1449,conducir,conjuntamente
1450,compras,conjuntamente
1451,arreglos,hombre
1452,compras,conjuntamente
1453,arreglos,conjuntamente
1455,finanzas,alternativamente
1457,lunch,mujer
1458,arreglos,hombre
1460,seguro,conjuntamente
1461,conducir,mujer
1462,ropa,conjuntamente
1463,conducir,alternativamente
1464,compras,conjuntamente
1465,conducir,mujer
1466,arreglos,hombre
1467,lunch,mujer
1469,lunch,mujer
1470,platos,conjuntamente
1471,platos,conjuntamente
1472,lunch,alternativamente
1473,lunch,mujer
1474,ropa,mujer
1475,arreglos,hombre
1476,conducir,hombre
1477,lunch,conjuntamente
1478,conducir,alternativamente
1479,finanzas,conjuntamente
1480,arreglos,hombre
1481,lunch,mujer
1482,arreglos,hombre
1483,finanzas,conjuntamente
1484,finanzas,hombre
1485,ropa,mujer
1486,seguro,conjuntamente
1487,arreglos,hombre
1488,seguro,hombre
1489,platos,mujer
1490,ropa,mujer
1491,finanzas,conjuntamente
1492,conducir,hombre
1494,finanzas,conjuntamente
1496,arreglos,hombre
1497,compras,conjuntamente
1498,lunch,mujer
